year,window_id,local_peak_day,local_peak_score,peak_rank_within_year,is_peak_detected_near_window,overlap_ratio_with_window,overlap_days_with_window
1979,W001,42,23.893267422185893,27,True,0.5,4
1979,W002,78,36.2209214859994,9,True,0.45454545454545453,5
1979,W003,113,48.11864929843393,1,True,0.7777777777777778,7
1979,W004,136,29.749484779894427,14,True,0.125,1
1979,W005,157,11.617751578861991,100,True,0.0,0
1980,W001,42,19.379002818120313,36,True,0.08333333333333333,1
1980,W002,84,27.22765425947775,8,True,0.25,3
1980,W003,116,17.719186329422325,47,True,0.0,0
1980,W004,134,16.333801706152983,58,True,0.0,0
1980,W005,158,29.172472608423586,2,True,0.625,5
1981,W001,42,17.300190060280883,70,True,0.0,0
1981,W002,80,40.93380650636702,2,True,0.7,7
1981,W003,116,16.187643979470927,81,True,0.0,0
1981,W004,132,12.950914713133375,107,True,0.0,0
1981,W005,160,41.133336400465936,1,True,0.875,7
1982,W001,44,30.824528681697913,16,True,0.6666666666666666,4
1982,W002,82,44.713867833185425,1,True,0.5,5
1982,W003,114,39.03368154242337,6,True,0.5555555555555556,5
1982,W004,138,15.27715495509871,90,True,0.0,0
1982,W005,158,17.754072797937187,61,True,0.125,1
1983,W001,45,9.789719154147967,119,True,0.0,0
1983,W002,82,15.212492225952136,72,True,0.0,0
1983,W003,116,25.51221797682083,23,True,0.0,0
1983,W004,138,25.64829078235305,22,True,0.0,0
1983,W005,163,15.70853015756538,69,True,0.0,0
1984,W001,42,18.481668371657257,62,True,0.0,0
1984,W002,78,28.35819499049979,22,True,0.2,3
1984,W003,116,12.66018869525319,107,True,0.0,0
1984,W004,135,22.6434260190726,32,True,0.25,1
1984,W005,163,36.46429777946739,6,True,0.5714285714285714,8
1985,W001,45,19.32236287687666,49,True,0.0,0
1985,W002,78,21.99613448910314,34,True,0.17647058823529413,3
1985,W003,111,16.86158996962564,58,True,0.25,2
1985,W004,132,15.351808428379101,82,True,0.0,0
1985,W005,163,22.927528368302386,27,True,0.0,0
1986,W001,43,16.020646455585506,52,True,0.0,0
1986,W002,78,13.176628427113002,86,True,0.0,0
1986,W003,116,39.00324148463578,2,True,0.45454545454545453,5
1986,W004,138,22.80201134615114,32,True,0.0,0
1986,W005,157,29.915931152478837,11,True,0.18181818181818182,2
1987,W001,46,17.077694474017267,84,True,0.2,1
1987,W002,78,19.504687371999097,68,True,0.0,0
1987,W003,110,19.770211310843315,67,True,0.0,0
1987,W004,132,32.04273789900061,11,True,0.0,0
1987,W005,157,30.163660965736184,17,True,0.15384615384615385,2
1988,W001,48,9.764650401418505,120,True,0.0,0
1988,W002,84,23.547352744642225,46,True,0.0,0
1988,W003,115,27.797360344380344,22,True,0.45454545454545453,5
