window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,score_group,object,n_bootstrap_group,n_valid_peak,missing_peak_fraction,mean_peak_day,median_peak_day,q25_peak_day,q75_peak_day,std_peak_day,min_peak_day,max_peak_day,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,Je,333,333,0.0,46.051051051051054,46.0,45.0,47.0,2.0136074234616026,30.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,Jw,333,333,0.0,42.46246246246246,42.0,40.0,45.0,2.9953683024649895,32.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,P,333,333,0.0,44.03903903903904,45.0,43.0,45.0,2.0959603231412105,35.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,V,333,333,0.0,45.08108108108108,45.0,44.0,46.0,1.9065603378123939,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,H,334,334,0.0,38.9251497005988,36.0,34.0,45.0,7.325370111797747,20.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,Je,334,334,0.0,45.41616766467066,45.0,45.0,46.0,2.6628084107695016,22.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,Jw,334,334,0.0,45.64670658682635,46.0,44.0,48.0,2.93181337424433,34.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,P,334,334,0.0,43.67365269461078,44.0,42.0,45.0,2.397087912780698,31.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,V,334,334,0.0,45.24251497005988,45.0,44.0,46.0,1.9291943014969688,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,H,333,333,0.0,38.93993993993994,36.0,34.0,46.0,6.7993618585223805,23.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,Je,333,333,0.0,46.627627627627625,46.0,46.0,47.0,1.614902199494821,34.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,Jw,333,333,0.0,40.67867867867868,40.0,39.0,42.0,2.083077700586943,33.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,P,333,333,0.0,44.28228228228228,45.0,44.0,45.0,1.9102335893444644,35.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,V,333,333,0.0,45.04504504504504,45.0,44.0,46.0,1.8743065579744518,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,H,333,333,0.0,38.75675675675676,36.0,34.0,45.0,7.004580536037489,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,Je,333,333,0.0,46.0960960960961,46.0,45.0,47.0,2.1972908599609307,30.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,Jw,333,333,0.0,42.768768768768766,42.0,40.0,45.0,3.2686882502150554,32.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,P,333,333,0.0,44.04504504504504,45.0,42.0,45.0,2.1201303696021645,35.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,mid,V,333,333,0.0,45.06006006006006,45.0,44.0,46.0,1.9763654718471566,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,H,334,334,0.0,40.88922155688623,37.0,33.0,47.0,8.38361429106777,24.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,Je,334,334,0.0,45.293413173652695,45.0,44.0,46.0,1.7885568099472031,33.0,56.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,Jw,334,334,0.0,42.97904191616767,42.0,40.0,45.0,3.304766460977405,34.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,P,334,334,0.0,42.74251497005988,43.0,41.0,45.0,2.2673132937129123,31.0,47.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,high,V,334,334,0.0,44.296407185628745,45.0,43.0,45.0,1.932537649733091,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,H,333,333,0.0,37.88288288288288,36.0,35.0,38.0,5.44258986467265,23.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,Je,333,333,0.0,46.888888888888886,47.0,46.0,48.0,2.6279824645538787,22.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,Jw,333,333,0.0,43.1051051051051,42.0,40.0,46.0,3.6269246329551033,33.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,P,333,333,0.0,45.090090090090094,45.0,45.0,46.0,1.6031757802002795,39.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,low,V,333,333,0.0,45.9009009009009,46.0,45.0,47.0,1.7577108347802846,40.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,H,333,333,0.0,37.84384384384384,36.0,34.0,40.0,6.54867775669898,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,Je,333,333,0.0,45.95795795795796,46.0,45.0,47.0,1.9707281170877313,30.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_P_vs_H_delta_peak,P-H,added_all_pair,False,mid,Jw,333,333,0.0,43.01801801801802,42.0,40.0,46.0,3.4683994659058612,32.0,51.0,strict_99,direction_specific_99,stable,False
