relative_path,size_bytes,main_tree_role
audit/bootstrap_selected_peak_days_diff_summary_by_window_object.csv,73,generated_v10_a_hotfix02_main_output
audit/v10_vs_v9_all_diff_detail.csv,22,generated_v10_a_hotfix02_main_output
audit/v10_vs_v9_subpeak_regression_audit.csv,1521,generated_v10_a_hotfix02_main_output
cross_window/accepted_windows_used_v10_a.csv,563,generated_v10_a_hotfix02_main_output
cross_window/bootstrap_selected_peak_days_all_windows.csv,355788,generated_v10_a_hotfix02_main_output
cross_window/cross_window_object_peak_registry.csv,2744,generated_v10_a_hotfix02_main_output
cross_window/cross_window_pairwise_peak_order.csv,4247,generated_v10_a_hotfix02_main_output
cross_window/cross_window_pairwise_peak_synchrony.csv,4772,generated_v10_a_hotfix02_main_output
cross_window/cross_window_subpeak_candidate_registry.csv,5886,generated_v10_a_hotfix02_main_output
cross_window/excluded_mainline_windows_v10_a.csv,149,generated_v10_a_hotfix02_main_output
cross_window/input_key_audit_v10_peak_subpeak_reproduce_a.csv,186,generated_v10_a_hotfix02_main_output
cross_window/main_window_selection_all_windows.csv,2744,generated_v10_a_hotfix02_main_output
cross_window/object_profile_window_registry_all_windows.csv,5886,generated_v10_a_hotfix02_main_output
cross_window/object_registry_v10_peak_subpeak_reproduce_a.csv,524,generated_v10_a_hotfix02_main_output
cross_window/pairwise_peak_order_test_all_windows.csv,4247,generated_v10_a_hotfix02_main_output
cross_window/pairwise_synchrony_equivalence_test_all_windows.csv,4772,generated_v10_a_hotfix02_main_output
cross_window/pairwise_window_overlap_all_windows.csv,3883,generated_v10_a_hotfix02_main_output
cross_window/peak_valid_day_audit_all_windows.csv,3930,generated_v10_a_hotfix02_main_output
cross_window/raw_profile_detector_scores_all_windows.csv,36869,generated_v10_a_hotfix02_main_output
cross_window/run_window_selection_audit_v10_a.csv,333,generated_v10_a_hotfix02_main_output
cross_window/selected_peak_delta_all_windows.csv,6177,generated_v10_a_hotfix02_main_output
cross_window/tau_sync_estimate_all_windows.csv,425,generated_v10_a_hotfix02_main_output
cross_window/timing_resolution_audit_all_windows.csv,1568,generated_v10_a_hotfix02_main_output
cross_window/V10_PEAK_SUBPEAK_REPRODUCE_A_SUMMARY.md,1390,generated_v10_a_hotfix02_main_output
