rep,global_max_score,point_id,local_null_peak_score,local_null_peak_day
0,67.50734857012537,RP001,18.935705820831473,45
0,67.50734857012537,RP002,67.50734857012537,81
0,67.50734857012537,RP003,40.78102912390991,110
0,67.50734857012537,LP006,17.83963411995841,131
0,67.50734857012537,RP004,24.190388716987833,138
0,67.50734857012537,RP005,25.60427524072224,157
1,40.31495848497181,RP001,39.98083478172245,42
1,40.31495848497181,RP002,32.15357359127975,80
1,40.31495848497181,RP003,23.147860446027668,110
1,40.31495848497181,LP006,35.46019280320823,132
1,40.31495848497181,RP004,35.46019280320823,132
1,40.31495848497181,RP005,18.670787344478676,163
2,44.82585209918829,RP001,26.56880555733046,48
2,44.82585209918829,RP002,21.8754345158965,78
2,44.82585209918829,RP003,26.13335849562715,113
2,44.82585209918829,LP006,15.106778309683964,129
2,44.82585209918829,RP004,14.799713427055643,132
2,44.82585209918829,RP005,29.082533894706017,157
3,30.71581873046857,RP001,14.005260105128105,48
3,30.71581873046857,RP002,19.542627472162238,83
3,30.71581873046857,RP003,14.64019202002898,116
3,30.71581873046857,LP006,23.607114221093788,135
3,30.71581873046857,RP004,23.607114221093788,135
3,30.71581873046857,RP005,16.73445377773765,157
4,26.12272183355525,RP001,10.175259280703525,42
4,26.12272183355525,RP002,22.103994954178482,81
4,26.12272183355525,RP003,21.871021093490775,110
4,26.12272183355525,LP006,17.243867859833298,130
4,26.12272183355525,RP004,16.521672302460054,132
4,26.12272183355525,RP005,18.328669227125886,157
5,58.67070967615007,RP001,30.34774040793505,45
5,58.67070967615007,RP002,25.54404065845566,81
5,58.67070967615007,RP003,35.36838341099724,113
5,58.67070967615007,LP006,39.57379200808005,129
5,58.67070967615007,RP004,37.233620325461956,135
5,58.67070967615007,RP005,16.728457376931104,163
6,64.31419384553428,RP001,8.739762460790129,48
6,64.31419384553428,RP002,13.769391300146047,83
6,64.31419384553428,RP003,20.556920086300597,116
6,64.31419384553428,LP006,18.722043856778026,129
6,64.31419384553428,RP004,12.25720707919552,132
6,64.31419384553428,RP005,12.775559952331164,157
7,41.01354767833679,RP001,24.001822470170396,46
7,41.01354767833679,RP002,15.702032665752895,78
7,41.01354767833679,RP003,11.179289214470302,113
7,41.01354767833679,LP006,35.78264655830568,133
7,41.01354767833679,RP004,35.78264655830568,133
7,41.01354767833679,RP005,16.03425121376044,161
8,47.131886430886254,RP001,12.47490139609965,48
8,47.131886430886254,RP002,10.301432086640956,78
8,47.131886430886254,RP003,20.211238376373107,115
8,47.131886430886254,LP006,28.482695968707453,132
8,47.131886430886254,RP004,28.482695968707453,132
8,47.131886430886254,RP005,7.518673875950434,163
9,28.42781608332008,RP001,18.184410132125954,44
9,28.42781608332008,RP002,16.473773755215777,79
9,28.42781608332008,RP003,8.707334357232636,116
9,28.42781608332008,LP006,13.380139928040833,134
9,28.42781608332008,RP004,13.737192890116868,138
9,28.42781608332008,RP005,16.225552277684866,157
10,46.10108116768986,RP001,27.28589408636136,42
10,46.10108116768986,RP002,20.816931723921876,84
10,46.10108116768986,RP003,18.722911204949007,110
10,46.10108116768986,LP006,24.8235219338665,135
10,46.10108116768986,RP004,26.37207304597277,137
10,46.10108116768986,RP005,24.751142053867937,157
11,29.93351491985482,RP001,13.770293486795673,42
11,29.93351491985482,RP002,27.100698062054875,78
11,29.93351491985482,RP003,14.400631148122478,110
11,29.93351491985482,LP006,19.835222726872065,135
11,29.93351491985482,RP004,20.9311789784103,136
11,29.93351491985482,RP005,16.539549558633723,159
12,37.55436261207829,RP001,21.71993067641159,45
12,37.55436261207829,RP002,16.387223224504453,80
12,37.55436261207829,RP003,25.676105963044243,116
12,37.55436261207829,LP006,21.737895549948185,131
12,37.55436261207829,RP004,19.34511146602765,132
12,37.55436261207829,RP005,19.493093102356482,160
13,49.34143048179726,RP001,26.934472260887954,48
13,49.34143048179726,RP002,30.024257425082737,78
13,49.34143048179726,RP003,23.086647705335746,115
13,49.34143048179726,LP006,12.54315990910981,129
13,49.34143048179726,RP004,14.949386091717813,138
13,49.34143048179726,RP005,28.824909005224306,157
14,77.4466817076776,RP001,31.967236953740297,48
14,77.4466817076776,RP002,18.643696086085313,84
14,77.4466817076776,RP003,22.27873394762992,111
14,77.4466817076776,LP006,52.51889927682807,134
14,77.4466817076776,RP004,52.51889927682807,134
14,77.4466817076776,RP005,53.28708896179046,159
15,25.08080598596316,RP001,15.668943665414218,46
15,25.08080598596316,RP002,16.623186537991003,78
15,25.08080598596316,RP003,13.753621179359508,116
15,25.08080598596316,LP006,10.79837008617838,135
15,25.08080598596316,RP004,13.472058948342628,138
15,25.08080598596316,RP005,11.222960457414683,157
16,33.551044311831845,RP001,27.459539104112153,42
16,33.551044311831845,RP002,8.563913544517545,84
16,33.551044311831845,RP003,23.203455833499184,114
16,33.551044311831845,LP006,33.551044311831845,132
16,33.551044311831845,RP004,33.551044311831845,132
16,33.551044311831845,RP005,12.053856212816804,163
17,51.14823348707391,RP001,28.24701282809213,48
17,51.14823348707391,RP002,21.89730342036738,83
17,51.14823348707391,RP003,20.816826458851605,116
17,51.14823348707391,LP006,27.70250537839389,129
17,51.14823348707391,RP004,15.769676325447026,132
17,51.14823348707391,RP005,14.600210000567799,157
18,45.73366408895426,RP001,15.733881059867993,48
18,45.73366408895426,RP002,45.73366408895426,78
18,45.73366408895426,RP003,16.815362862749488,116
18,45.73366408895426,LP006,14.19068882175921,135
18,45.73366408895426,RP004,15.20308142979425,137
18,45.73366408895426,RP005,33.29210673735278,163
19,45.42557393553622,RP001,28.848836173347124,47
19,45.42557393553622,RP002,22.555033863714527,78
19,45.42557393553622,RP003,15.945791970481174,114
19,45.42557393553622,LP006,27.992196851038493,135
19,45.42557393553622,RP004,45.42557393553622,138
19,45.42557393553622,RP005,23.050744258252937,161
20,41.72056757796936,RP001,18.110801033346927,47
20,41.72056757796936,RP002,20.706236485680535,84
20,41.72056757796936,RP003,36.946284642505695,110
20,41.72056757796936,LP006,31.370319187082167,133
20,41.72056757796936,RP004,31.370319187082167,133
20,41.72056757796936,RP005,39.65599259645406,157
21,33.111475984799306,RP001,13.818889762479564,42
21,33.111475984799306,RP002,19.512730668148404,78
21,33.111475984799306,RP003,27.64605505971381,112
21,33.111475984799306,LP006,21.15974265774519,135
21,33.111475984799306,RP004,21.83808999155814,136
21,33.111475984799306,RP005,12.323154232284296,163
22,66.79594263756155,RP001,13.89280336687701,44
22,66.79594263756155,RP002,11.587051895182213,84
22,66.79594263756155,RP003,11.33860079975487,112
22,66.79594263756155,LP006,25.666006605851152,135
22,66.79594263756155,RP004,25.666006605851152,135
22,66.79594263756155,RP005,12.279222997731104,163
23,31.974555058958856,RP001,13.23794945008247,48
23,31.974555058958856,RP002,25.63385740691342,84
23,31.974555058958856,RP003,27.779702467349956,110
23,31.974555058958856,LP006,19.74826006118417,129
23,31.974555058958856,RP004,17.808865817025783,138
23,31.974555058958856,RP005,19.19108456140452,157
24,48.776035539905,RP001,18.243880824800854,48
24,48.776035539905,RP002,37.7866407780664,82
24,48.776035539905,RP003,24.303827520634947,111
24,48.776035539905,LP006,26.749148692896853,135
24,48.776035539905,RP004,27.34095208426337,138
24,48.776035539905,RP005,21.163595739441273,157
25,40.521276593891855,RP001,18.994634295840463,48
25,40.521276593891855,RP002,26.689283151647462,78
25,40.521276593891855,RP003,18.40715466362262,110
25,40.521276593891855,LP006,16.726638430974283,129
25,40.521276593891855,RP004,13.144226398688884,138
25,40.521276593891855,RP005,15.945431915138961,157
26,47.87141277234613,RP001,37.66756895838728,42
26,47.87141277234613,RP002,22.158525986063992,84
26,47.87141277234613,RP003,22.170774394686198,116
26,47.87141277234613,LP006,18.36663596515566,131
26,47.87141277234613,RP004,17.183427109578957,132
26,47.87141277234613,RP005,32.38902565658368,159
27,49.50192707048025,RP001,23.871331321471345,43
27,49.50192707048025,RP002,27.943788051759565,78
27,49.50192707048025,RP003,18.307934457109916,116
27,49.50192707048025,LP006,20.016906311125187,134
27,49.50192707048025,RP004,20.016906311125187,134
27,49.50192707048025,RP005,13.298987723609137,158
28,43.00683064505387,RP001,43.00683064505387,45
28,43.00683064505387,RP002,37.24789174534432,81
28,43.00683064505387,RP003,40.31100948662835,110
28,43.00683064505387,LP006,39.50577890105169,135
28,43.00683064505387,RP004,41.584265952386176,136
28,43.00683064505387,RP005,36.081845809917716,163
29,76.03183816565534,RP001,19.120830283821647,47
29,76.03183816565534,RP002,37.33280997043344,79
29,76.03183816565534,RP003,50.606613916398274,115
29,76.03183816565534,LP006,26.716683795470843,132
29,76.03183816565534,RP004,26.716683795470843,132
29,76.03183816565534,RP005,16.233532950953176,157
30,43.952943012165434,RP001,22.68012184155147,48
30,43.952943012165434,RP002,19.874566463393357,84
30,43.952943012165434,RP003,13.112403475505781,116
30,43.952943012165434,LP006,7.554399042941212,135
30,43.952943012165434,RP004,12.542183414035279,138
30,43.952943012165434,RP005,43.952943012165434,159
31,79.05266153393387,RP001,25.13761226649964,48
31,79.05266153393387,RP002,33.83643418127131,78
31,79.05266153393387,RP003,23.72521520109641,110
31,79.05266153393387,LP006,22.485015581890273,129
31,79.05266153393387,RP004,28.521838157192178,138
31,79.05266153393387,RP005,41.502658013417665,163
32,45.47225500224248,RP001,41.6400549868753,48
32,45.47225500224248,RP002,17.049889833751944,78
32,45.47225500224248,RP003,20.193767636769152,112
32,45.47225500224248,LP006,30.527342624705753,129
32,45.47225500224248,RP004,34.15104480750599,138
32,45.47225500224248,RP005,23.541039899579943,163
33,40.50166337834227,RP001,29.392454829122492,46
33,40.50166337834227,RP002,21.739942136495223,78
33,40.50166337834227,RP003,12.298219309895448,116
33,40.50166337834227,LP006,13.794809720683254,135
33,40.50166337834227,RP004,17.69447239657244,137
33,40.50166337834227,RP005,16.925618527196136,163
34,35.229190702505356,RP001,20.03618889009762,42
34,35.229190702505356,RP002,16.304902964270436,84
34,35.229190702505356,RP003,15.43874992262504,114
34,35.229190702505356,LP006,35.229190702505356,135
34,35.229190702505356,RP004,35.229190702505356,135
34,35.229190702505356,RP005,13.020524552456866,160
35,29.903258033688182,RP001,19.50333602881127,42
35,29.903258033688182,RP002,22.956613780564528,84
35,29.903258033688182,RP003,29.903258033688182,116
35,29.903258033688182,LP006,18.503301471379977,129
35,29.903258033688182,RP004,12.177389322586398,138
35,29.903258033688182,RP005,20.52557293985555,160
36,30.874815851367373,RP001,17.076680898681456,44
36,30.874815851367373,RP002,21.446576733313606,84
36,30.874815851367373,RP003,23.823450364285907,110
36,30.874815851367373,LP006,23.904884666112935,135
36,30.874815851367373,RP004,23.904884666112935,135
36,30.874815851367373,RP005,10.7861548505815,157
37,32.930991242653604,RP001,26.15559409820233,48
37,32.930991242653604,RP002,14.322680356667334,78
37,32.930991242653604,RP003,26.297110278490067,114
37,32.930991242653604,LP006,24.31960197172048,135
37,32.930991242653604,RP004,32.930991242653604,138
37,32.930991242653604,RP005,21.996435184581003,163
38,32.388017248073886,RP001,11.707588043084385,48
38,32.388017248073886,RP002,11.57283154189793,84
38,32.388017248073886,RP003,17.22892517510176,116
38,32.388017248073886,LP006,26.054074064248702,132
38,32.388017248073886,RP004,26.054074064248702,132
38,32.388017248073886,RP005,20.0497674512899,161
39,46.00999983959694,RP001,43.2435545533202,42
39,46.00999983959694,RP002,28.939578078480462,80
