peak_day,peak_value,peak_prominence,peak_width,peak_width_zero,band_start_day,band_end_day,band_threshold,assigned_window_id
45,5.878578493131532,3.6472619692422086,9.29217982582303,False,43,47,5.08044936098908,RW01
81,9.238311473412097,4.2285212740596405,11.265043411947495,False,76,85,7.758329027491222,RW02
113,9.678099825113602,7.556092339736476,11.304310092709997,False,109,116,7.033467506205835,RW03
135,3.7666081070788318,1.4709574724059107,12.429376625085467,False,135,135,5.08044936098908,RW04
160,7.120567750300529,2.684733245250058,10.017284904107129,False,156,163,6.180911114463008,RW05
