window_id,retained_or_dropped,retention_reason_primary,retention_reason_secondary,related_point_ids,related_band_ids,n_mapped_retention_rows,n_primary_rows,n_edge_rows,n_dropped_rows,retention_rule_version,retention_semantics,is_window_native_consistent,retention_warning
W001,retained,has_legacy_primary_peak,aggregated_from_legacy_peak_rows,RP001,RB01,1,1,0,0,audit_sync_window_native_v1,window_native_aggregated_from_legacy_peak_rows,true,
W002,retained_with_semantic_conflict,legacy_rows_only_edge_for_current_main_window,aggregated_from_legacy_peak_rows,RP002,RB02,1,0,1,0,audit_sync_window_native_v1,window_native_aggregated_from_legacy_peak_rows,false,legacy_retention_marks_main_window_as_edge
W003,retained_with_semantic_conflict,legacy_rows_only_edge_for_current_main_window,aggregated_from_legacy_peak_rows,RP003,RB03,1,0,1,0,audit_sync_window_native_v1,window_native_aggregated_from_legacy_peak_rows,false,legacy_retention_marks_main_window_as_edge
W004,retained,has_legacy_primary_peak,aggregated_from_legacy_peak_rows,RP004,RB04,1,1,0,0,audit_sync_window_native_v1,window_native_aggregated_from_legacy_peak_rows,true,
W005,retained,has_legacy_primary_peak,aggregated_from_legacy_peak_rows,RP005,RB05,1,1,0,0,audit_sync_window_native_v1,window_native_aggregated_from_legacy_peak_rows,true,
