scope,object,config_id,candidate_id,point_day,month_day,registry_rank,source_run_tag,peak_score,peak_prominence,is_formal_primary,nearest_primary_day,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
V_only,V,BAND_PROM_045,CP001,16,04-17,1,v10_3_V_only_BAND_PROM_045,5.335538519795408,0.6464691597620895,False,45,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
V_only,V,BAND_PROM_045,CP002,30,05-01,2,v10_3_V_only_BAND_PROM_045,6.941599316355871,1.4532927572151895,False,45,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
V_only,V,BAND_PROM_045,CP003,45,05-16,3,v10_3_V_only_BAND_PROM_045,19.235007755373612,15.74030989036649,True,45,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
V_only,V,BAND_PROM_045,CP004,69,06-09,4,v10_3_V_only_BAND_PROM_045,15.678308096706484,0.30203060447690255,False,80,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
V_only,V,BAND_PROM_045,CP005,80,06-20,5,v10_3_V_only_BAND_PROM_045,20.958436491781047,17.66532173359322,True,80,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
V_only,V,BAND_PROM_045,CP006,95,07-05,6,v10_3_V_only_BAND_PROM_045,10.70290382054478,3.944954001370127,False,80,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
V_only,V,BAND_PROM_045,CP007,114,07-24,7,v10_3_V_only_BAND_PROM_045,20.004865865386734,16.643147862922163,True,114,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
V_only,V,BAND_PROM_045,CP008,136,08-15,8,v10_3_V_only_BAND_PROM_045,8.498506242322458,4.24103342475215,True,136,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
V_only,V,BAND_PROM_045,CP009,161,09-09,9,v10_3_V_only_BAND_PROM_045,34.08042868585578,13.347286740821886,True,161,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
