window_id,object_A,object_B,baseline_config,branch,A_internal_coordinate_status,B_internal_coordinate_status,A_common_process_status,B_common_process_status,pair_corr,pair_spearman,mapping_slope_A,mapping_slope_B,mapping_slope_ratio,time_to_q_consistency_status,alt_q_time_to_q_consistency_status,raw_deltaS_block_direction_summary,raw_deltaS_supported_tendency_direction,deltaS_vs_time_to_q_consistency,scale_comparability_status,allowed_interpretation_level,comparability_notes,tA_q25,tB_q25,delta_t_q25,tA_q5,tB_q5,delta_t_q5,tA_q75,tB_q75,delta_t_q75
W045,P,V,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.987358131005929,0.9842387659289066,1.0652138095113317,0.8983802410135875,1.1857048506649213,mixed_q_order,mixed_q_order,B_dominant:4-15:unresolved:0.644; A_dominant:39-62:unresolved:0.557; A_dominant:65-74:unresolved:0.679,no_supported_or_tendency_dominant_blocks,no_raw_dominant_to_compare,common_process_diagnostic_raw_deltaS_not_interpretable,2,time_to_q_not_consistently_ordered_or_incomplete,35.0,31.0,4.0,41.0,44.0,-3.0,47.0,51.0,-4.0
W045,P,H,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9583726272556776,0.9623071763916833,1.0652138095113317,0.9606364310397004,1.108862598890245,mixed_q_order,mixed_q_order,B_dominant:4-18:supported:0.993; B_dominant:23-44:supported:0.985; B_dominant:55-64:exploratory_signal:0.824,B_dominant_blocks_only,time_to_q_mixed_order,common_process_diagnostic_raw_deltaS_not_interpretable,2,time_to_q_not_consistently_ordered_or_incomplete,35.0,29.0,6.0,41.0,35.0,6.0,47.0,51.0,-4.0
W045,P,Je,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9680161868953859,0.9755868544600939,1.0652138095113317,0.9414912421084475,1.1314112780548127,mixed_q_order,mixed_q_order,B_dominant:4-19:supported:0.974; B_dominant:23-43:supported:0.978; A_dominant:44-55:unresolved:0.519,B_dominant_blocks_only,time_to_q_mixed_order,common_process_diagnostic_raw_deltaS_not_interpretable,2,time_to_q_not_consistently_ordered_or_incomplete,35.0,29.0,6.0,41.0,36.0,5.0,47.0,52.0,-5.0
W045,P,Jw,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9719105412198589,0.9699530516431925,1.0652138095113317,1.0012218636782493,1.0639138518190079,mixed_q_order,mixed_q_order,B_dominant:4-15:exploratory_signal:0.809; B_dominant:23-38:unresolved:0.512; A_dominant:39-55:exploratory_signal:0.848,no_supported_or_tendency_dominant_blocks,no_raw_dominant_to_compare,common_process_diagnostic_raw_deltaS_not_interpretable,2,time_to_q_not_consistently_ordered_or_incomplete,35.0,32.0,3.0,41.0,45.0,-4.0,47.0,52.0,-5.0
W045,V,H,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9648873560130489,0.9725352112676057,0.8983802410135875,0.9606364310397004,0.9351927659471203,B_earlier_or_same_across_q,B_earlier_or_same_across_q,B_dominant:4-18:unresolved:0.397; B_dominant:25-63:unresolved:0.736; B_dominant:65-74:supported:0.977,B_dominant_blocks_only,raw_deltaS_B_direction_consistent_with_time_to_q,calibrated_time_to_q_progress_comparison_allowed,3,time_to_q_calibrated_comparison_available; raw_deltaS_direction_agrees_with_time_to_q_but_raw_scale_not_auto_licensed,31.0,29.0,2.0,44.0,35.0,9.0,51.0,51.0,0.0
W045,V,Je,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9781384014821459,0.980617035546613,0.8983802410135875,0.9414912421084475,0.9542098756029701,mixed_q_order,B_earlier_or_same_across_q,B_dominant:26-49:exploratory_signal:0.857; B_dominant:53-74:unresolved:0.708,no_supported_or_tendency_dominant_blocks,no_raw_dominant_to_compare,common_process_diagnostic_raw_deltaS_not_interpretable,2,time_to_q_not_consistently_ordered_or_incomplete,31.0,29.0,2.0,44.0,36.0,8.0,51.0,52.0,-1.0
W045,V,Jw,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9870163107278057,0.9800469483568075,0.8983802410135875,1.0012218636782493,0.8972838824285695,A_earlier_or_same_across_q,mixed_q_order,B_dominant:53-74:unresolved:0.720,no_supported_or_tendency_dominant_blocks,no_raw_dominant_to_compare,calibrated_time_to_q_progress_comparison_allowed,3,time_to_q_calibrated_comparison_available,31.0,32.0,-1.0,44.0,45.0,-1.0,51.0,52.0,-1.0
W045,H,Je,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9964746497843294,0.9940979208584841,0.9606364310397004,0.9414912421084475,1.0203349623182663,A_earlier_or_same_across_q,A_earlier_or_same_across_q,no_dominant_blocks_observed,no_supported_or_tendency_dominant_blocks,no_raw_dominant_to_compare,calibrated_time_to_q_progress_comparison_allowed,3,time_to_q_calibrated_comparison_available,29.0,29.0,0.0,35.0,36.0,-1.0,51.0,52.0,-1.0
W045,H,Jw,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9656995926735875,0.9930583501006036,0.9606364310397004,1.0012218636782493,0.9594640967093471,A_earlier_or_same_across_q,A_earlier_or_same_across_q,A_dominant:4-19:tendency:0.928; A_dominant:21-62:supported:0.977,A_dominant_blocks_only,raw_deltaS_A_direction_consistent_with_time_to_q,calibrated_time_to_q_progress_comparison_allowed,3,time_to_q_calibrated_comparison_available; raw_deltaS_direction_agrees_with_time_to_q_but_raw_scale_not_auto_licensed,29.0,32.0,-3.0,35.0,45.0,-10.0,51.0,52.0,-1.0
W045,Je,Jw,C0_full_stage,dist,caution_object_internal_coordinate,caution_object_internal_coordinate,common_process_consistent,common_process_consistent,0.9769823329925541,0.9944332662642522,0.9414912421084475,1.0012218636782493,0.9403422720411181,A_earlier_or_same_across_q,A_earlier_or_same_across_q,A_dominant:4-22:exploratory_signal:0.837; A_dominant:27-52:supported:0.998,A_dominant_blocks_only,raw_deltaS_A_direction_consistent_with_time_to_q,calibrated_time_to_q_progress_comparison_allowed,3,time_to_q_calibrated_comparison_available; raw_deltaS_direction_agrees_with_time_to_q_but_raw_scale_not_auto_licensed,29.0,32.0,-3.0,36.0,45.0,-9.0,52.0,52.0,0.0
