window_id,baseline_config,branch,object,n_common_days_for_LOO,LOO_corr,LOO_spearman,LOO_rmse,LOO_spearman_perm_support,LOO_spearman_support_class,PC1_explained_variance,object_pc1_loading,object_pc1_corr,peak_day,state_at_peak,local_state_change_around_peak,peak_state_alignment_status,coordinate_validity_status,common_process_status,common_process_notes
W045,C0_full_stage,dist,P,71,0.9793089836126146,0.9735412474849093,0.07873972809672355,1.0,supported,0.9803973933215671,0.4457206082340911,0.986844649061081,45.0,0.7018067676155135,0.37362635626191953,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C0_full_stage,dist,V,71,0.9888982434708617,0.9807511737089202,0.07409966393506069,1.0,supported,0.9803973933215671,0.4486252506543317,0.9932756526469522,45.0,0.5692798605720263,0.33676712002009535,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C0_full_stage,dist,H,71,0.9731438102235842,0.9899731723675385,0.09979583818908536,1.0,supported,0.9803973933215671,0.44570300559936094,0.9868056760686464,35.0,0.5051851017129853,0.359786593304945,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C0_full_stage,dist,Je,71,0.983203003238572,0.9956069751844399,0.07195789260214237,1.0,supported,0.9803973933215671,0.4488240992209295,0.99371591194907,46.0,0.6438215525379487,0.14969199634832242,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C0_full_stage,dist,Jw,71,0.9856879078886364,0.9916834339369549,0.06419688961066572,1.0,supported,0.9803973933215671,0.44718484168069417,0.9900865250593247,41.0,0.396042411925969,0.2243754670421365,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C0_full_stage,pattern,P,71,0.9406511308432886,0.8430583501006036,0.17082978425169332,1.0,supported,0.8889111542070118,0.4591531341331763,0.9679919222472265,45.0,0.9118444482504984,0.8467340825209226,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C0_full_stage,pattern,V,71,0.8676059635852661,0.7542588866532528,0.25542077015851095,1.0,supported,0.8889111542070118,0.4305234301198452,0.9076344507174884,45.0,0.6348150642126269,0.9328126074616745,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C0_full_stage,pattern,H,71,0.9083429855279611,0.8476861167002011,0.22438329765641155,1.0,supported,0.8889111542070118,0.44638549799214394,0.9410750447787911,35.0,0.2038770911661741,0.7152810562213121,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C0_full_stage,pattern,Je,71,0.8520112594201601,0.7669684775318577,0.33943874470938895,1.0,supported,0.8889111542070118,0.42698547522109104,0.9001756934779572,46.0,0.8328890826594358,-0.304292201073046,negative_state_change_near_peak,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C0_full_stage,pattern,Jw,71,0.986630584026652,0.9580482897384305,0.08057601220261307,1.0,supported,0.8889111542070118,0.4714354321283553,0.9938856042503168,41.0,0.6455239467753553,0.45336953714465694,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C1_buffered_stage,dist,P,71,0.9825514262844376,0.9765593561368208,0.07631531381033778,1.0,supported,0.9803142654039138,0.44652527474736736,0.9885843017157154,45.0,0.7400415557927756,0.35571134598129267,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C1_buffered_stage,dist,V,71,0.986704173325073,0.9754191817572098,0.07437095760084178,1.0,supported,0.9803142654039138,0.44799813760756846,0.9918451453555269,45.0,0.6090469169199441,0.3601527745898612,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C1_buffered_stage,dist,H,71,0.973755945693686,0.9889336016096578,0.09909716799761804,1.0,supported,0.9803142654039138,0.44594949246517146,0.9873095489579756,35.0,0.5458557985491381,0.3269234505534498,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C1_buffered_stage,dist,Je,71,0.9819341051014635,0.9938296445338697,0.074286791229406,1.0,supported,0.9803142654039138,0.44864418608747875,0.993275463909718,46.0,0.6778376402988325,0.1436418668146796,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C1_buffered_stage,dist,Jw,71,0.985003860023341,0.9944332662642522,0.06499830751000324,1.0,supported,0.9803142654039138,0.44694551365003965,0.989514689323421,41.0,0.429026013328151,0.21435924279348445,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.980
W045,C1_buffered_stage,pattern,P,71,0.9417997672496459,0.8441649899396377,0.16530191330562718,1.0,supported,0.8885122053844214,0.459402857568237,0.9683010291545578,45.0,0.9236573099946284,0.8298246868163712,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C1_buffered_stage,pattern,V,71,0.8633991186959723,0.7517437961099932,0.2623480135201528,1.0,supported,0.8885122053844214,0.4302775157889479,0.9069124288122642,45.0,0.6035586099504858,0.8828380308558472,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C1_buffered_stage,pattern,H,71,0.9103849397621745,0.86056338028169,0.23039401578104127,1.0,supported,0.8885122053844214,0.4461944581364305,0.9404611788954566,35.0,0.2685271365715944,0.716578639724204,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C1_buffered_stage,pattern,Je,71,0.8566674064638378,0.7791079812206572,0.2990101867292803,1.0,supported,0.8885122053844214,0.4271361205125681,0.9002911894599434,46.0,0.8705021596264593,-0.25826570772976476,negative_state_change_near_peak,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C1_buffered_stage,pattern,Jw,71,0.9845587977508664,0.9529845741113345,0.08250522248005662,1.0,supported,0.8885122053844214,0.4714610418119834,0.9937165267306054,41.0,0.6757758213645033,0.4173318311689182,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C2_immediate_pre,dist,P,71,0.9653950137815486,0.9776324614352782,0.0912856532183639,1.0,supported,0.975018647480769,0.44450404683663314,0.9814477467083759,45.0,0.6972979664222109,0.41760618257417503,peak_near_positive_state_transition,valid_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.975
W045,C2_immediate_pre,dist,V,71,0.9698834717322184,0.9626089872568745,0.07934547279821261,1.0,supported,0.975018647480769,0.44622224669299226,0.9852414655494511,45.0,0.5486874666584091,0.47294827051946625,peak_near_positive_state_transition,valid_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.975
W045,C2_immediate_pre,dist,H,71,0.9765410019253964,0.9791750503018108,0.07792421171408528,1.0,supported,0.975018647480769,0.44623947516233925,0.985279505343554,35.0,0.3041609950988014,0.5023151969859284,peak_near_positive_state_transition,valid_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.975
W045,C2_immediate_pre,dist,Je,71,0.988403606292521,0.9850771294433265,0.06388553422238927,1.0,supported,0.975018647480769,0.44988921795012343,0.9933379962856006,46.0,0.5350443763420019,0.18297018166823292,peak_near_positive_state_transition,valid_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.975
W045,C2_immediate_pre,dist,Jw,71,0.9887568132908995,0.9834339369550635,0.06333162892690769,1.0,supported,0.975018647480769,0.4491902506524172,0.9917947035209146,41.0,0.3061233537452826,0.31849937726437844,peak_near_positive_state_transition,valid_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.975
W045,C2_immediate_pre,pattern,P,71,0.9303697587040866,0.8329644533869885,0.2071036530148819,1.0,supported,0.8892545057921853,0.45889690575077785,0.9676385649524263,45.0,0.9180193133071582,0.9371950481341087,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C2_immediate_pre,pattern,V,71,0.8531360591713881,0.7433601609657947,0.28142003496832957,1.0,supported,0.8892545057921853,0.43091266457583577,0.9086304726500797,45.0,0.610918921942236,0.8705858127990828,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C2_immediate_pre,pattern,H,71,0.9099290456354318,0.86056338028169,0.25740890748146056,1.0,supported,0.8892545057921853,0.4467789318640432,0.9420863794507467,35.0,0.1812473282185518,0.7952483843507303,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C2_immediate_pre,pattern,Je,71,0.8510483536908295,0.7826961770623743,0.5010818545009783,1.0,supported,0.8892545057921853,0.42638290041358795,0.8990789275457176,46.0,0.7880066985477558,-0.41411574070634305,negative_state_change_near_peak,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
W045,C2_immediate_pre,pattern,Jw,71,0.9859936984627505,0.9584171696847753,0.1037293191220414,1.0,supported,0.8892545057921853,0.471501976324421,0.9942178516029846,41.0,0.6319253193046048,0.46195248283389656,peak_near_positive_state_transition,caution_object_internal_coordinate,common_process_consistent,LOO_common_coordinate_supported; PC1_EV=0.889
