feature_index,median,iqr,finite_fraction,used_in_energy,reason_if_excluded
0,-0.05777545469287938,0.5805193977849528,1.0,True,
1,0.031501680313213244,0.5578603062635804,1.0,True,
2,0.06493614231444028,0.5146993090883969,1.0,True,
3,0.03572336577670855,0.49120879734285744,1.0,True,
4,0.003678572417700447,0.34952335035397764,1.0,True,
5,0.10857964989969134,0.3845169407832789,1.0,True,
6,0.16330760890229154,0.4178920387807451,1.0,True,
7,0.18762610614921887,0.46843242983658095,1.0,True,
8,0.15616849236611122,0.5044468343557589,1.0,True,
9,0.12262641458900088,0.520710873638202,1.0,True,
10,0.10122355957744102,0.5175641777659177,1.0,True,
