sigma,day,energy_raw,energy_norm,energy_percentile,energy_robust_z,prominence_norm,boundary_risk_flag,nearest_target_label,nearest_target_day,nearest_target_distance
2.0,19,0.04812418757803629,1.0,95.40229885057471,1.2967111515161112,0.6366434866289199,False,H19,19,0
2.0,36,0.03953037146332951,0.798907980434484,85.63218390804597,0.8517499241599346,0.4244979392122873,False,H35,35,1
3.0,18,0.043570251609724504,1.0,95.40229885057471,1.0896462927015131,0.5131733527107845,False,H19,19,1
3.0,36,0.03478028474321197,0.7640726444586664,81.60919540229885,0.6387241380970745,0.31687312434572085,False,H35,35,1
4.0,18,0.04014226770637215,0.9922316110629354,94.82758620689654,1.1630723840125305,0.4512094329198938,False,H19,19,1
4.0,35,0.030896925694667222,0.7200758764157725,79.88505747126436,0.6132875644243916,0.18048522321599292,False,H35,35,0
5.0,18,0.03729282106014012,1.0,95.40229885057471,1.0573568785952634,0.4508818016051356,True,H19,19,1
7.0,19,0.03287720560778536,1.0,95.40229885057471,0.9206828417928187,0.43881767585981246,True,H19,19,0
9.0,21,0.029763814825206757,1.0,95.40229885057471,0.8786977101008842,0.48157467516512054,True,H19,19,2
11.0,24,0.027181614554399422,1.0,96.55172413793103,0.7794329448404045,0.4946390325327341,True,H19,19,5
14.0,26,0.023654325702956308,1.0,99.42528735632183,0.5417411075776978,0.2748527017942233,True,H19,19,7
