feature_index,object_name,lat_value,raw_mean_day,raw_std_day,applied_weight
0,H,15.0,5870.418355375374,8.200365797725865,0.30151134457776363
1,H,17.0,5871.317577770058,7.897507690111094,0.30151134457776363
2,H,19.0,5871.484450855163,6.622382104244315,0.30151134457776363
3,H,21.0,5870.404372055525,5.82885083135065,0.30151134457776363
4,H,23.0,5867.385909924233,9.634557797507854,0.30151134457776363
5,H,25.0,5861.770874685085,17.430760071962855,0.30151134457776363
6,H,27.0,5852.869333764397,27.28880907074987,0.30151134457776363
7,H,29.0,5840.384353867296,37.99920245075669,0.30151134457776363
8,H,31.0,5824.281293020788,48.57676017181103,0.30151134457776363
9,H,33.0,5804.725033061952,58.38493273769546,0.30151134457776363
10,H,35.0,5782.461845107938,67.10960018010626,0.30151134457776363
