field,feature_id,marker,median,q05,q10,q25,q75,q90,q95,q025,q975,iqr,q90_width,q95_width,valid_fraction,same_day_fraction_if_relevant,edge_hit_fraction,bootstrap_stability_label
H,0,departure90,37.0,37.0,37.0,37.0,37.0,37.0,39.549999999999955,37.0,45.0,0.0,2.5499999999999545,8.0,0.99,0.9,0.0,stable_feature_marker
H,0,departure95,37.0,37.0,37.0,37.0,37.0,37.200000000000045,40.0,37.0,46.299999999999955,0.0,3.0,9.299999999999955,0.989,0.89,0.0,stable_feature_marker
H,0,t10,35.0,34.0,34.0,34.0,35.0,36.0,37.0,33.0,38.0,1.0,3.0,5.0,1.0,0.369,0.009,stable_feature_marker
H,0,t15,35.0,34.0,34.0,34.0,36.0,37.0,38.0,34.0,41.0,2.0,4.0,7.0,1.0,0.374,0.009,moderately_stable_feature_marker
H,0,t20,35.0,34.0,34.0,35.0,36.0,38.0,39.0,34.0,45.02499999999998,1.0,5.0,11.024999999999977,1.0,0.35,0.009,moderately_stable_feature_marker
H,0,t25,36.0,34.0,34.0,35.0,37.0,39.0,41.0,34.0,47.0,2.0,7.0,13.0,1.0,0.204,0.009,moderately_stable_feature_marker
H,0,t30,36.0,34.0,34.0,35.0,38.0,39.0,44.0,34.0,48.0,3.0,10.0,14.0,1.0,0.202,0.009,unstable_feature_marker
H,0,t35,36.0,34.0,35.0,35.0,38.0,41.0,46.0,34.0,50.0,3.0,12.0,16.0,1.0,0.193,0.009,unstable_feature_marker
H,0,t40,37.0,34.0,35.0,35.0,39.0,42.10000000000002,48.0,34.0,51.02499999999998,4.0,14.0,17.024999999999977,1.0,0.164,0.009,unstable_feature_marker
H,0,t45,37.0,34.0,35.0,36.0,39.0,47.0,50.0,34.0,52.0,3.0,16.0,18.0,1.0,0.175,0.009,unstable_feature_marker
H,0,t50,38.0,34.0,35.0,36.0,40.0,48.0,52.0,34.0,53.0,4.0,18.0,19.0,1.0,0.147,0.009,unstable_feature_marker
H,0,t75,40.0,35.0,35.0,37.75,50.0,53.0,54.0,34.0,55.0,12.25,19.0,21.0,1.0,0.078,0.009,unstable_feature_marker
H,0,peak_raw,40.0,33.0,33.0,34.0,60.0,60.0,60.0,32.0,60.0,26.0,27.0,28.0,1.0,0.06,0.274,unstable_feature_marker
H,0,peak_smooth3,38.0,32.0,33.0,34.0,53.0,59.0,59.0,32.0,59.0,19.0,27.0,27.0,1.0,0.042,0.0,unstable_feature_marker
H,0,duration_25_75,3.0,1.0,1.0,2.0,10.0,16.0,18.0,0.0,19.0,8.0,17.0,19.0,1.0,0.194,0.0,unstable_feature_marker
H,0,tail_50_75,2.0,0.0,1.0,1.0,3.0,12.0,15.0,0.0,16.0,2.0,15.0,16.0,1.0,0.222,0.0,unstable_feature_marker
H,0,early_span_25_50,2.0,0.0,0.0,1.0,3.0,7.0,12.0,0.0,14.0,2.0,12.0,14.0,1.0,0.284,0.0,unstable_feature_marker
H,1,departure90,37.0,37.0,37.0,37.0,39.0,45.0,49.94999999999993,37.0,53.0,2.0,12.949999999999932,16.0,0.982,0.62,0.0,unstable_feature_marker
H,1,departure95,37.0,37.0,37.0,37.0,39.0,46.0,50.0,37.0,53.0,2.0,13.0,16.0,0.978,0.612,0.0,unstable_feature_marker
H,1,t10,35.0,32.95,33.0,34.0,35.0,38.0,40.0,30.0,43.02499999999998,1.0,7.049999999999997,13.024999999999977,1.0,0.275,0.037,moderately_stable_feature_marker
H,1,t15,35.0,33.0,34.0,34.0,37.0,40.0,43.0,30.0,47.0,3.0,10.0,17.0,1.0,0.288,0.033,unstable_feature_marker
H,1,t20,35.0,33.0,34.0,34.0,38.0,41.0,47.0,30.0,49.0,4.0,14.0,19.0,1.0,0.255,0.028,unstable_feature_marker
H,1,t25,36.0,34.0,34.0,35.0,39.0,44.0,47.049999999999955,30.0,50.02499999999998,4.0,13.049999999999955,20.024999999999977,1.0,0.127,0.026,unstable_feature_marker
H,1,t30,37.0,34.0,34.0,35.0,40.0,46.0,48.0,30.0,52.0,5.0,14.0,22.0,1.0,0.088,0.026,unstable_feature_marker
