scope,object,config_id,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,object_support_class,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP001,13,0.625,0.678,0.174,0.148,7.925957945603471,2.0,object_weak_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP002,21,0.457,0.739,0.226,0.035,6.469120985339643,4.0,object_weak_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP003,31,0.556,0.805,0.12,0.075,7.697481798033117,3.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP004,42,0.767,0.97,0.027,0.003,15.990707617238325,1.5,object_strong_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP005,82,0.62,0.915,0.072,0.013,19.739984777306297,3.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP006,103,0.697,0.888,0.11,0.002,30.207580963763032,2.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP007,109,0.683,0.921,0.079,0.0,30.000865482293506,2.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP008,129,0.815,0.976,0.021,0.003,25.767947104972613,2.0,object_strong_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,CP009,152,0.58,0.854,0.081,0.065,17.255568708497755,3.0,object_candidate,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,run
