window_id,anchor_day,field,day,relative_to_anchor,projection_progress_raw,projection_progress_clipped_0_1,distance_progress,dist_to_pre,dist_to_post,projection_norm,orthogonal_residual_norm,total_norm_from_pre,projection_fraction_power,residual_fraction_power,progress_projection_minus_distance
W002,45,P,30,-15,-0.12322057317129732,0.0,0.15512321618175567,0.1817698015130101,0.9900070993725275,0.10740864711142964,0.14664120589988158,0.1817698015130101,0.34916847552562064,0.6508315244720513,-0.278343789353053
W002,45,P,31,-14,-0.10036678304410437,0.0,0.11383895386119458,0.12372886085974659,0.9631474381836991,0.08748750394714731,0.08749152909138355,0.12372886085974659,0.49997699641720594,0.5000230035777691,-0.21420573690529895
W002,45,P,32,-13,-0.06544023323864508,0.0,0.0907508072674293,0.09298351434839064,0.9316190996458973,0.057042803307269144,0.07343059669800846,0.09298351434839064,0.37634816914938796,0.6236518308417148,-0.15619104050607438
W002,45,P,33,-12,-0.033881154684341525,0.0,0.07490480195918835,0.07317199193862259,0.9036945109381253,0.02953345284443044,0.06694711022405411,0.07317199193862259,0.16290660517731853,0.8370933948083144,-0.10878595664352987
W002,45,P,34,-11,0.04241856632528453,0.04241856632528453,0.08985531826754105,0.08273046467151557,0.8379770267325956,0.0369753256631219,0.07400780416193259,0.08273046467151557,0.19975289778143265,0.8002471022073285,-0.047436751942256515
W002,45,P,35,-10,0.07205406794173694,0.07205406794173694,0.11169628759282108,0.10221236578977955,0.8128795140968106,0.06280793667254062,0.08063827138078931,0.10221236578977955,0.37759146749962863,0.6224085324930084,-0.03964221965108414
W002,45,P,36,-9,0.08506986386392859,0.08506986386392859,0.14278062550286116,0.13413598056151058,0.8053190756756529,0.07415351797524727,0.11177529715054497,0.13413598056151058,0.3056137869157444,0.6943862130799803,-0.05771076163893257
W002,45,P,37,-8,0.12336624600743852,0.12336624600743852,0.18012188791537717,0.1703687235101567,0.7754836961025963,0.10753562689936699,0.13214231304862328,0.1703687235101567,0.39840520492421305,0.6015947950731368,-0.05675564190793865
W002,45,P,38,-7,0.14050853662107918,0.14050853662107918,0.20635568653149905,0.19902423185977414,0.7654475266114316,0.12247818231697963,0.15687491744603987,0.19902423185977414,0.37870893528416794,0.6212910647138901,-0.06584714991041987
W002,45,P,39,-6,0.20119851062863522,0.20119851062863522,0.248726760448005,0.23642684925158,0.7141216515429497,0.17538028976227965,0.15855412012914752,0.23642684925158,0.5502600424146682,0.4497399575839556,-0.04752824981936979
