field,state_rebuild_available,median_projection_fraction_power,q05_projection_fraction_power,q95_projection_fraction_power,median_residual_fraction_power,q95_residual_fraction_power,corr_projection_vs_distance_progress,median_abs_projection_distance_diff,fraction_days_projection_distance_same_direction,fraction_projection_progress_outside_near_0_1,transition_direction_label,projection_progress_validity_label
P,True,0.9226655213110209,0.2526833423485885,0.9948835077412238,0.07733447868888434,0.7473166576436544,0.9847650782070447,0.05771076163893257,0.6666666666666666,0.22580645161290322,dominant_prepost_direction,usable_progress_proxy_with_caution
V,True,0.9438321040805423,0.49538890879256103,0.999609731778268,0.05616789591913428,0.5046110911273467,0.9975078043986513,0.011891935247869682,0.7666666666666667,0.03225806451612903,dominant_prepost_direction,valid_progress_proxy
H,True,0.9704418408095675,0.891101232410165,0.9989628928389218,0.02955815918962913,0.1088987675521361,0.9676696806235011,0.012900462770337406,0.7666666666666667,0.25806451612903225,dominant_prepost_direction,usable_progress_proxy_with_caution
Je,True,0.7984985803022275,0.028564239868928795,0.9991124225417074,0.20150141969658014,0.971435760070579,0.9693439867296957,0.05187668072687829,0.7666666666666667,0.22580645161290322,dominant_prepost_direction,usable_progress_proxy_with_caution
Jw,True,0.9028132815443086,0.7293910385317539,0.9988105360986693,0.09718671838884894,0.27060896145067703,0.9914932396134992,0.035382165992960735,0.8333333333333334,0.06451612903225806,dominant_prepost_direction,valid_progress_proxy
