window_id,target_name,contrast,object,day,profile_coord_index,difference_value_standardized
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,0,0.028097455576675312
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,1,0.025861642611362562
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,2,0.022948048016744195
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,3,0.020324613129557488
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,4,0.017254267372954088
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,5,0.013703992100983104
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,6,0.009238347936804607
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,7,0.002842932152361232
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,8,-0.005362156585566331
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,9,-0.011961201314546033
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,119,10,-0.014341246603371736
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,0,0.02620612640465976
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,1,0.02407682848802558
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,2,0.021625392779174052
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,3,0.018855300501570773
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,4,0.01604132585110974
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,5,0.012905644407630385
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,6,0.008893898333093474
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,7,0.003536906813278042
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,8,-0.004080225561295461
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,9,-0.011139916111849488
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,120,10,-0.014449992692587815
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,0,0.024352400993282557
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,1,0.02181579923462878
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,2,0.0197628519586305
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,3,0.016987117267556827
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,4,0.013882467922769894
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,5,0.011012699917154754
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,6,0.008167413022912757
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,7,0.004429047181614008
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,8,-0.001672672742738679
W160,W160_V_vs_Je_delta_peak,high_minus_low,H,121,9,-0.007903704317872249
