window_id,object,n_kept_features,note
W160,P,780,full X matrix stored in bootstrap_composite_X_matrix_*.npz
W160,V,660,full X matrix stored in bootstrap_composite_X_matrix_*.npz
W160,H,660,full X matrix stored in bootstrap_composite_X_matrix_*.npz
W160,Je,660,full X matrix stored in bootstrap_composite_X_matrix_*.npz
W160,Jw,660,full X matrix stored in bootstrap_composite_X_matrix_*.npz
