year,mode,object,metric,value
1979,raw,H,H_strength_transition,6.4435349281075105
1980,raw,H,H_strength_transition,4.375767305679801
1981,raw,H,H_strength_transition,-11.537327930376705
1982,raw,H,H_strength_transition,30.853494913346367
1983,raw,H,H_strength_transition,-21.38204194507034
1984,raw,H,H_strength_transition,11.83138625263382
1985,raw,H,H_strength_transition,37.58616724295098
1986,raw,H,H_strength_transition,-16.646689194398277
1987,raw,H,H_strength_transition,-0.15206665186542523
1988,raw,H,H_strength_transition,17.257624963618582
1989,raw,H,H_strength_transition,11.245996116909737
1990,raw,H,H_strength_transition,-3.2979494402379714
1991,raw,H,H_strength_transition,22.087377240542992
1992,raw,H,H_strength_transition,7.270353831526336
1993,raw,H,H_strength_transition,9.723309961048471
1994,raw,H,H_strength_transition,4.6056570251093945
1995,raw,H,H_strength_transition,-31.46378116251617
1996,raw,H,H_strength_transition,-4.239619934550319
1997,raw,H,H_strength_transition,12.367483841690046
1998,raw,H,H_strength_transition,3.6876790464866644
1999,raw,H,H_strength_transition,-14.011768737849707
2000,raw,H,H_strength_transition,-0.24795471245215595
2001,raw,H,H_strength_transition,0.22576215536537347
2002,raw,H,H_strength_transition,7.185497712591314
2003,raw,H,H_strength_transition,13.154719654740802
2004,raw,H,H_strength_transition,3.1974638081146622
2005,raw,H,H_strength_transition,-10.742651758350803
2006,raw,H,H_strength_transition,34.892943955965166
2007,raw,H,H_strength_transition,-1.2993008345483759
2008,raw,H,H_strength_transition,4.185085560651714
2009,raw,H,H_strength_transition,7.650724619371431
2010,raw,H,H_strength_transition,13.998549095719682
2011,raw,H,H_strength_transition,26.428788558898304
2012,raw,H,H_strength_transition,1.0054135070577104
2013,raw,H,H_strength_transition,19.834455294988402
2014,raw,H,H_strength_transition,11.182263888527814
2015,raw,H,H_strength_transition,8.224575880940392
2016,raw,H,H_strength_transition,28.03383208724972
2017,raw,H,H_strength_transition,32.4167006783764
2018,raw,H,H_strength_transition,4.000714218618668
2019,raw,H,H_strength_transition,-7.275588688769858
