mode,h_metric,field_mode,diff_norm,diff_abs_mean,positive_area_fraction,negative_area_fraction,permutation_null_p90_norm,permutation_p
anomaly,H_west_extent_lon_transition,P_M_full_field,2.1450739746635112,1.7171560304236417,0.42669115396388124,0.5733088460361188,2.12926743081172,0.09698060387922415
anomaly,H_west_extent_lon_transition,P_M_transition_field,1.9018767221946937,1.580820275106591,0.5482093663911846,0.45179063360881544,2.151039715671376,0.24575084983003398
anomaly,H_zonal_width_transition,P_M_full_field,2.158897711149041,1.7671610366729815,0.5098459340883583,0.4901540659116417,2.1446485941350724,0.09518096380723855
anomaly,H_zonal_width_transition,P_M_transition_field,2.5429665247499127,2.1422221666683026,0.37996122844607694,0.6200387715539231,2.169332333492793,0.020595880823835233
anomaly,H_north_edge_lat_transition,P_M_full_field,1.4202399745222938,1.1163033137202116,0.44322007958371595,0.5567799204162841,2.141940849748933,0.7756448710257948
anomaly,H_north_edge_lat_transition,P_M_transition_field,1.8866105300539588,1.4402703858862138,0.5646362616059586,0.4353637383940414,2.167424264432292,0.26614677064587083
local_background_removed,H_west_extent_lon_transition,P_M_full_field,1.9965850376994303,1.6003819789146827,0.5006631976328946,0.49933680236710537,2.1645837497893816,0.1803639272145571
local_background_removed,H_west_extent_lon_transition,P_M_transition_field,1.5179677814056753,1.1996273545274605,0.4805632078359351,0.5194367921640649,2.0551733559472822,0.639872025594881
local_background_removed,H_zonal_width_transition,P_M_full_field,1.9807091087107345,1.6501039326883762,0.4781144781144781,0.5218855218855218,2.1611739233343967,0.1839632073585283
local_background_removed,H_zonal_width_transition,P_M_transition_field,1.6917734423510518,1.376898553253148,0.45719824507703294,0.542801754922967,2.0386547748094355,0.379124175164967
local_background_removed,H_north_edge_lat_transition,P_M_full_field,1.3807079667355644,1.083528813736453,0.2737475767778798,0.7262524232221202,2.174934810344515,0.8356328734253149
local_background_removed,H_north_edge_lat_transition,P_M_transition_field,1.4818323167628973,1.1060043467617318,0.5827976737067646,0.4172023262932354,2.0361888194882174,0.7006598680263947
