mode,h_metric,group_fraction,year,group,h_metric_value,h_metric_z
anomaly,H_zonal_width_transition,0.3,2007,high,13.649999999999999,1.6487170651888057
anomaly,H_zonal_width_transition,0.3,2008,middle,-3.3500000000000014,-0.30250285261663434
anomaly,H_zonal_width_transition,0.3,2009,high,16.25,1.9471389349708146
anomaly,H_zonal_width_transition,0.3,2010,middle,0.0,0.08200224883326136
anomaly,H_zonal_width_transition,0.3,2011,middle,-4.15,-0.39432496639571374
anomaly,H_zonal_width_transition,0.3,2012,low,-11.950000000000001,-1.2895905757417394
anomaly,H_zonal_width_transition,0.3,2013,middle,-1.0500000000000007,-0.03851427550178061
anomaly,H_zonal_width_transition,0.3,2014,low,-4.899999999999999,-0.4804081980636006
anomaly,H_zonal_width_transition,0.3,2015,low,-12.600000000000001,-1.3641960431872415
anomaly,H_zonal_width_transition,0.3,2016,low,-12.149999999999999,-1.312546104186509
anomaly,H_zonal_width_transition,0.3,2017,low,-14.6,-1.5937513276349402
anomaly,H_zonal_width_transition,0.3,2018,low,-5.5,-0.5492747833979105
anomaly,H_zonal_width_transition,0.3,2019,middle,0.0,0.08200224883326136
anomaly,H_zonal_width_transition,0.3,2020,middle,-0.15000000000000213,0.0647856024996837
anomaly,H_zonal_width_transition,0.3,2021,low,-8.2,-0.8591744174023037
anomaly,H_zonal_width_transition,0.3,2022,high,7.199999999999999,0.9084012728449771
anomaly,H_zonal_width_transition,0.3,2023,high,13.05,1.5798504798544963
anomaly,H_north_edge_lat_transition,0.3,1979,low,-3.5500000000000007,-0.6483769521166014
anomaly,H_north_edge_lat_transition,0.3,1980,low,-3.0500000000000007,-0.5292386799841103
anomaly,H_north_edge_lat_transition,0.3,1981,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1982,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1983,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1984,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1985,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1986,middle,0.0,0.19750478002408517
anomaly,H_north_edge_lat_transition,0.3,1987,low,-3.1000000000000014,-0.5411525071973596
anomaly,H_north_edge_lat_transition,0.3,1988,low,-1.6999999999999957,-0.20756534522638334
anomaly,H_north_edge_lat_transition,0.3,1989,high,1.8500000000000014,0.6383163869143023
anomaly,H_north_edge_lat_transition,0.3,1990,middle,0.0,0.19750478002408517
