window,family_direction,v1_stability_judgement,n_pairs
S1,H→Je,not_supported,12
S1,H→Jw,not_supported,12
S1,H→P,not_supported,20
S1,H→P,significant_lagged_but_tau0_coupled,2
S1,H→P,stable_lag_dominant,6
S1,H→V,not_supported,10
S1,H→V,significant_lagged_but_tau0_coupled,2
S1,Je→H,not_supported,11
S1,Je→H,stable_lag_dominant,1
S1,Je→Jw,not_supported,9
S1,Je→P,audit_sensitive,1
S1,Je→P,not_supported,20
S1,Je→V,not_supported,8
S1,Je→V,stable_lag_dominant,1
S1,Jw→H,not_supported,12
S1,Jw→Je,not_supported,8
S1,Jw→Je,stable_lag_dominant,1
S1,Jw→P,not_supported,21
S1,Jw→V,not_supported,9
S1,P→H,audit_sensitive,1
S1,P→H,not_supported,23
S1,P→H,stable_lag_dominant,4
S1,P→Je,not_supported,16
S1,P→Je,significant_lagged_but_tau0_coupled,2
S1,P→Je,stable_lag_dominant,3
S1,P→Jw,not_supported,21
S1,P→V,not_supported,21
S1,V→H,not_supported,12
S1,V→Je,not_supported,6
S1,V→Je,stable_lag_dominant,3
S1,V→Jw,not_supported,8
S1,V→Jw,stable_lag_dominant,1
S1,V→P,not_supported,5
S1,V→P,significant_lagged_but_tau0_coupled,4
S1,V→P,stable_lag_dominant,12
S2,H→Je,not_supported,12
S2,H→Jw,not_supported,12
S2,H→P,not_supported,20
S2,H→P,significant_lagged_but_tau0_coupled,2
S2,H→P,stable_lag_dominant,6
S2,H→V,not_supported,9
S2,H→V,significant_lagged_but_tau0_coupled,1
S2,H→V,stable_lag_dominant,2
S2,Je→H,not_supported,10
S2,Je→H,significant_lagged_but_tau0_coupled,2
S2,Je→Jw,not_supported,9
S2,Je→P,not_supported,20
S2,Je→P,significant_lagged_but_tau0_coupled,1
S2,Je→V,not_supported,9
S2,Jw→H,not_supported,12
S2,Jw→Je,not_supported,7
S2,Jw→Je,significant_lagged_but_tau0_coupled,1
S2,Jw→Je,stable_lag_dominant,1
S2,Jw→P,not_supported,18
S2,Jw→P,significant_lagged_but_tau0_coupled,3
S2,Jw→V,not_supported,9
S2,P→H,not_supported,28
S2,P→Je,not_supported,19
S2,P→Je,significant_lagged_but_tau0_coupled,1
S2,P→Je,stable_lag_dominant,1
S2,P→Jw,not_supported,17
S2,P→Jw,significant_lagged_but_tau0_coupled,2
S2,P→Jw,stable_lag_dominant,2
S2,P→V,not_supported,21
S2,V→H,not_supported,9
S2,V→H,significant_lagged_but_tau0_coupled,2
S2,V→H,stable_lag_dominant,1
S2,V→Je,not_supported,9
S2,V→Jw,not_supported,7
S2,V→Jw,stable_lag_dominant,2
S2,V→P,not_supported,5
S2,V→P,significant_lagged_but_tau0_coupled,7
S2,V→P,stable_lag_dominant,9
S3,H→Je,not_supported,12
S3,H→Jw,not_supported,12
S3,H→P,audit_sensitive,2
S3,H→P,not_supported,23
S3,H→P,significant_lagged_but_tau0_coupled,1
S3,H→P,stable_lag_dominant,2
S3,H→V,not_supported,9
S3,H→V,significant_lagged_but_tau0_coupled,2
S3,H→V,stable_lag_dominant,1
S3,Je→H,not_supported,10
S3,Je→H,significant_lagged_but_tau0_coupled,1
S3,Je→H,stable_lag_dominant,1
S3,Je→Jw,not_supported,9
S3,Je→P,not_supported,20
