window,lag_vs_tau0_label,n_pairs
S1,lag_tau0_close_or_coupled,196
S1,stable_lag_dominant,48
S1,stable_tau0_dominant,64
S2,lag_tau0_close_or_coupled,212
S2,stable_lag_dominant,33
S2,stable_tau0_dominant,63
S3,lag_tau0_close_or_coupled,233
S3,stable_lag_dominant,27
S3,stable_tau0_dominant,48
S4,lag_tau0_close_or_coupled,252
S4,stable_lag_dominant,26
S4,stable_tau0_dominant,30
S5,lag_tau0_close_or_coupled,260
S5,stable_lag_dominant,22
S5,stable_tau0_dominant,26
T1,lag_tau0_close_or_coupled,252
T1,stable_lag_dominant,13
T1,stable_tau0_dominant,43
T2,lag_tau0_close_or_coupled,239
T2,stable_lag_dominant,30
T2,stable_tau0_dominant,39
T3,lag_tau0_close_or_coupled,275
T3,stable_lag_dominant,13
T3,stable_tau0_dominant,20
T4,lag_tau0_close_or_coupled,276
T4,stable_lag_dominant,14
T4,stable_tau0_dominant,18
