window,v1_stability_judgement,n_pairs
S1,audit_sensitive,2
S1,not_supported,264
S1,significant_lagged_but_tau0_coupled,10
S1,stable_lag_dominant,32
S2,not_supported,262
S2,significant_lagged_but_tau0_coupled,22
S2,stable_lag_dominant,24
S3,audit_sensitive,2
S3,not_supported,275
S3,significant_lagged_but_tau0_coupled,10
S3,stable_lag_dominant,21
S4,audit_sensitive,1
S4,not_supported,284
S4,significant_lagged_but_tau0_coupled,8
S4,stable_lag_dominant,15
S5,audit_sensitive,3
S5,not_supported,286
S5,significant_lagged_but_tau0_coupled,12
S5,stable_lag_dominant,7
T1,audit_sensitive,2
T1,not_supported,278
T1,significant_lagged_but_tau0_coupled,18
T1,stable_lag_dominant,10
T2,audit_sensitive,3
T2,not_supported,280
T2,significant_lagged_but_tau0_coupled,6
T2,stable_lag_dominant,19
T3,not_supported,298
T3,significant_lagged_but_tau0_coupled,7
T3,stable_lag_dominant,3
T4,not_supported,297
T4,significant_lagged_but_tau0_coupled,7
T4,stable_lag_dominant,4
