object,baseline_config,metric_family,profile_value,field2d_value,difference_2d_minus_profile,agreement_class,interpretation
H,C0_full_stage,dist_core_growth_share,0.02702378849233597,0.034487670389135354,0.007463881896799383,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,dist_early_growth_share,0.39153045301151546,0.40314553007029347,0.011615077058778012,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,dist_growth_center,38.673876674752144,38.31117218225128,-0.36270449250086045,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,dist_late_growth_share,0.15695202091431648,0.14229001077947515,-0.014662010134841336,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,dist_mean_compare,0.673656862604474,0.6764813501762071,0.0028244875717331475,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,dist_mean_core,0.6762329781898765,0.6844487944233625,0.008215816233485995,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,dist_mean_early,0.4872579583638615,0.4851825828918998,-0.0020753754719616824,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,dist_mean_late,0.7263282184687553,0.7270609758370091,0.0007327573682538446,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,dist_positive_growth_area,,0.9606673591744722,,unresolved,Comparison unresolved due to missing or invalid values.
H,C0_full_stage,pattern_core_growth_share,0.11007238492878751,0.11714388887453193,0.00707150394574442,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,pattern_early_growth_share,0.2489469869264449,0.18432635465626596,-0.06462063227017895,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,pattern_growth_center,48.56360727550423,51.89080995719616,3.3272026816919293,similar_tendency,2D-field metric has a similar tendency but differs moderately in magnitude/timing.
H,C0_full_stage,pattern_late_growth_share,0.018940222181855912,0.008780578809204128,-0.010159643372651784,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,pattern_mean_compare,0.658642731272042,0.5281039566040636,-0.13053877466797836,similar_tendency,2D-field metric has a similar tendency but differs moderately in magnitude/timing.
H,C0_full_stage,pattern_mean_core,0.832777949594063,0.597230835986596,-0.23554711360746705,similar_tendency,2D-field metric has a similar tendency but differs moderately in magnitude/timing.
H,C0_full_stage,pattern_mean_early,0.21743058056940448,0.1717660903093285,-0.04566449026007599,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,pattern_mean_late,0.6926415032262808,0.625245524417307,-0.06739597880897386,consistent,2D-field metric is consistent with the profile-based metric.
H,C0_full_stage,pattern_positive_growth_area,,2.1763501707212978,,unresolved,Comparison unresolved due to missing or invalid values.
H,C1_buffered_stage,dist_core_growth_share,0.023643322792245115,0.029351187622605437,0.005707864830360322,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,dist_early_growth_share,0.35541169195213784,0.36270901953950735,0.0072973275873695065,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,dist_growth_center,37.487558801949135,37.32242666655324,-0.16513213539589344,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,dist_late_growth_share,0.14319978667113473,0.13468409302797058,-0.008515693643164152,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,dist_mean_compare,0.6985264430769088,0.7014547832747092,0.0029283401978004164,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,dist_mean_core,0.7002708745500587,0.7066159414447967,0.006345066894738016,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,dist_mean_early,0.5293483175257151,0.5275717725812802,-0.0017765449444349102,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,dist_mean_late,0.7466272700386423,0.7492063632624631,0.002579093223820883,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,dist_positive_growth_area,,0.9683756841597201,,unresolved,Comparison unresolved due to missing or invalid values.
H,C1_buffered_stage,pattern_core_growth_share,0.10971672770397826,0.12540859601078078,0.01569186830680251,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,pattern_early_growth_share,0.24885998113981175,0.18954960919663882,-0.05931037194317293,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,pattern_growth_center,48.581527086839245,51.11342597143253,2.531898884593282,similar_tendency,2D-field metric has a similar tendency but differs moderately in magnitude/timing.
H,C1_buffered_stage,pattern_late_growth_share,0.01921754548054548,0.02261288380812155,0.003395338327576068,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,pattern_mean_compare,0.7239890629099861,0.573501343653398,-0.1504877192565881,similar_tendency,2D-field metric has a similar tendency but differs moderately in magnitude/timing.
H,C1_buffered_stage,pattern_mean_core,0.8979799501193756,0.6283014298509002,-0.2696785202684754,same_side_different_magnitude,"Profile and 2D metrics are on the same side of the reference level, but magnitudes differ."
H,C1_buffered_stage,pattern_mean_early,0.28210893185804,0.1995059714255499,-0.08260296043249007,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,pattern_mean_late,0.7583047193767685,0.6940939981924426,-0.06421072118432591,consistent,2D-field metric is consistent with the profile-based metric.
H,C1_buffered_stage,pattern_positive_growth_area,,2.0863909453444016,,unresolved,Comparison unresolved due to missing or invalid values.
H,C2_immediate_pre,dist_core_growth_share,0.03962871434633736,0.048704284715767404,0.009075570369430047,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,dist_early_growth_share,0.4963979864044849,0.5076123876052882,0.011214401200803248,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,dist_growth_center,44.12207110556851,43.860088312513525,-0.2619827930549832,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,dist_late_growth_share,0.2164891383458375,0.2047769887674084,-0.011712149578429087,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,dist_mean_compare,0.539737481367537,0.546966319158699,0.007228837791162013,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,dist_mean_core,0.5444778804398529,0.5575102064271513,0.013032325987298421,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,dist_mean_early,0.27932598059121716,0.27960833035275007,0.00028234976153290736,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,dist_mean_late,0.6128345557164352,0.6183525040204896,0.0055179483040543875,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,dist_positive_growth_area,,0.9711294994225,,unresolved,Comparison unresolved due to missing or invalid values.
H,C2_immediate_pre,pattern_core_growth_share,0.10977121001495534,0.13384152039659633,0.024070310381640994,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,pattern_early_growth_share,0.24841640669797643,0.18830668301523035,-0.060109723682746086,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,pattern_growth_center,48.6257514524089,50.262175733170125,1.6364242807612257,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,pattern_late_growth_share,0.019681415404663827,0.056840293173892276,0.03715887776922845,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,pattern_mean_compare,0.688665891546811,0.5115256350313232,-0.17714025651548782,similar_tendency,2D-field metric has a similar tendency but differs moderately in magnitude/timing.
H,C2_immediate_pre,pattern_mean_core,0.880392460921137,0.5411320012234498,-0.33926045969768714,same_side_different_magnitude,"Profile and 2D metrics are on the same side of the reference level, but magnitudes differ."
H,C2_immediate_pre,pattern_mean_early,0.19631309276846914,0.11114739323755685,-0.0851656995309123,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,pattern_mean_late,0.7290852138285641,0.6705398218731693,-0.058545391955394765,consistent,2D-field metric is consistent with the profile-based metric.
H,C2_immediate_pre,pattern_positive_growth_area,,2.0581216487667398,,unresolved,Comparison unresolved due to missing or invalid values.
Je,C0_full_stage,dist_core_growth_share,0.09257356667275997,0.08712654038735171,-0.00544702628540826,consistent,2D-field metric is consistent with the profile-based metric.
Je,C0_full_stage,dist_early_growth_share,0.3186814332020704,0.316165363430427,-0.00251606977164337,consistent,2D-field metric is consistent with the profile-based metric.
Je,C0_full_stage,dist_growth_center,40.286521620525114,39.88029745350798,-0.40622416701713604,consistent,2D-field metric is consistent with the profile-based metric.
Je,C0_full_stage,dist_late_growth_share,0.16258886428780595,0.16916336405531252,0.00657449976750657,consistent,2D-field metric is consistent with the profile-based metric.
Je,C0_full_stage,dist_mean_compare,0.6254042526577537,0.624554507238847,-0.0008497454189067,consistent,2D-field metric is consistent with the profile-based metric.
Je,C0_full_stage,dist_mean_core,0.6085992460844191,0.6057118049765334,-0.0028874411078856355,consistent,2D-field metric is consistent with the profile-based metric.
Je,C0_full_stage,dist_mean_early,0.4519288447591935,0.46127318030365033,0.00934433554445685,consistent,2D-field metric is consistent with the profile-based metric.
