window,source,target,source_family,target_family,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,p_pos_surrogate,q_pos_within_window,q_pos_global,T_pos_null95,strength_excess,strength_ratio,statistical_support,strength_tier,same_day_coupling_flag,direction_label,lead_lag_label,lead_lag_group,failure_reason,risk_note,suggested_reverse_direction,sample_status
T3_current,V_strength,P_main_band_share,V,P,2,0.13120015154244155,0.13120015154244155,-4,-0.11415183551352633,0.11415183551352633,0.04620468076352475,0.04620468076352475,0.3706293706293706,0.5053143577733742,0.5053143577733742,0.24721693202088818,-0.11601678047844663,0.5307085985977531,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_south_band_share_18_24,V,P,5,-0.25317461822099196,0.25317461822099196,-3,0.1008920441587263,0.1008920441587263,-0.027450310920756664,0.027450310920756664,0.055944055944055944,0.18068469991546915,0.18068469991546915,0.2591003809662939,-0.005925762745301932,0.9771294711215697,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_main_minus_south,V,P,4,0.18633990738050907,0.18633990738050907,-3,-0.11921325653431662,0.11921325653431662,0.04235583975817976,0.04235583975817976,0.18081918081918083,0.346920521339126,0.346920521339126,0.261296378027895,-0.07495647064738595,0.7131362048983937,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_spread_lat,V,P,5,0.24000510971520364,0.24000510971520364,-1,0.05456374047481893,0.05456374047481893,0.08398218394523928,0.08398218394523928,0.056943056943056944,0.18068469991546915,0.18068469991546915,0.24712231428709044,-0.007117204571886804,0.9711996685025436,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_north_band_share_35_45,V,P,4,0.22953140871101077,0.22953140871101077,-1,0.08944944441522368,0.08944944441522368,0.1349990718422728,0.1349990718422728,0.06893106893106893,0.196097006441834,0.196097006441834,0.23989110730662475,-0.010359698595613975,0.9568149953037968,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_north_minus_main_35_45,V,P,5,0.05402351493171728,0.05402351493171728,-3,0.08956128473605972,0.08956128473605972,0.0349805432926268,0.0349805432926268,0.8001998001998002,0.815018315018315,0.815018315018315,0.24731048931721805,-0.19328697438550077,0.21844409058777475,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_total_centroid_lat_10_50,V,P,3,0.24724977209439244,0.24724977209439244,-4,-0.10377407480612688,0.10377407480612688,0.11908833451091866,0.11908833451091866,0.06393606393606394,0.1918081918081918,0.1918081918081918,0.26006915781697426,-0.012819385722581816,0.950707781613983,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_main_28_35_mean,V,P,2,0.1882867439081478,0.1882867439081478,-1,0.11087142252230099,0.11087142252230099,0.16023946272524225,0.16023946272524225,0.16183816183816183,0.3217264663047795,0.3217264663047795,0.2559778425825651,-0.0676910986744173,0.735558757775749,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_south_10_25_mean,V,P,4,-0.2823497021419935,0.2823497021419935,-4,0.15687458831249407,0.15687458831249407,-0.08532012069763129,0.08532012069763129,0.03196803196803197,0.13524936601859677,0.13524936601859677,0.26170654602742555,0.020643156114567962,1.0788790209030716,marginal,moderate_above_null,False,direction_not_assessed_as_strict_due_to_marginal_stat_support,lead_lag_ambiguous_marginal_statistical_support,lead_lag_ambiguous,marginal_statistical_support,marginal,,ok
T3_current,V_strength,P_scs_10_20_mean,V,P,3,-0.20961362221441862,0.20961362221441862,-4,0.16816750802333125,0.16816750802333125,-0.07852821519457871,0.07852821519457871,0.1258741258741259,0.26627218934911245,0.26627218934911245,0.2613148242953083,-0.05170120208088966,0.8021497547247345,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_highlat_40_60_mean,V,P,1,0.2127301100710166,0.2127301100710166,-1,0.1868818267348312,0.1868818267348312,0.20899184471562957,0.20899184471562957,0.1048951048951049,0.24841355827271322,0.24841355827271322,0.2568959761363663,-0.04416586606534967,0.8280787938776222,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_highlat_35_60_mean,V,P,1,0.32705070170003303,0.32705070170003303,-1,0.31388487315026553,0.31388487315026553,0.33172231579024286,0.33172231579024286,0.00999000999000999,0.07883420926899189,0.07883420926899189,0.2559226330296747,0.07112806867035831,1.277928012182146,supported,strong_above_null,True,bidirectional_close,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok
T3_current,V_strength,P_highlat_minus_main,V,P,2,-0.10964695095674289,0.10964695095674289,-1,-0.040172098864658584,0.040172098864658584,-0.07758955251859932,0.07758955251859932,0.46853146853146854,0.5726495726495726,0.5726495726495726,0.25332487711634444,-0.14367792615960157,0.4328313594972568,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_strength,P_south_minus_main,V,P,3,-0.26364103064548,0.26364103064548,-4,0.10553283220107351,0.10553283220107351,-0.1361472425012823,0.1361472425012823,0.04795204795204795,0.16483516483516483,0.16483516483516483,0.2598209990683892,0.003820031577090821,1.0147025513364505,marginal,moderate_above_null,False,direction_not_assessed_as_strict_due_to_marginal_stat_support,lead_lag_ambiguous_marginal_statistical_support,lead_lag_ambiguous,marginal_statistical_support,marginal,,ok
T3_current,V_strength,P_south_plus_highlat_minus_main,V,P,3,-0.23084028633068615,0.23084028633068615,-4,0.11538861634268255,0.11538861634268255,-0.09611948936250013,0.09611948936250013,0.09290709290709291,0.23226773226773229,0.23226773226773229,0.26084566864966213,-0.03000538231897598,0.8849688305184176,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_pos_centroid_lat,P_main_band_share,V,P,5,-0.20791883974813627,0.20791883974813627,-2,0.15444594131658446,0.15444594131658446,0.11373484781638331,0.11373484781638331,0.1068931068931069,0.24841355827271322,0.24841355827271322,0.24876257684694522,-0.04084373709880895,0.8358123733219782,not_supported,not_supported,False,no_directional_signal,lead_lag_no_not_supported,lead_lag_no,positive_lag_not_supported,,,ok
T3_current,V_pos_centroid_lat,P_south_band_share_18_24,V,P,1,-0.4164502734188247,0.4164502734188247,-1,-0.3620410335555723,0.3620410335555723,-0.4254510364761468,0.4254510364761468,0.000999000999000999,0.027472527472527472,0.027472527472527472,0.2475704584541572,0.16887981496466747,1.682148492268269,supported,strong_above_null,True,bidirectional_close,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok
T3_current,V_pos_centroid_lat,P_main_minus_south,V,P,1,0.22464097727447088,0.22464097727447088,-1,0.2660904868795506,0.2660904868795506,0.2732298149168155,0.2732298149168155,0.08591408591408592,0.22823330515638207,0.22823330515638207,0.24163174972725124,-0.016990772452780356,0.9296831957225854,not_supported,not_supported,True,same_day_only,lead_lag_no_same_day_only,lead_lag_no,same_day_only_without_positive_lag_support,same_day_coupling,,ok
T3_current,V_pos_centroid_lat,P_spread_lat,V,P,1,0.5697633549128992,0.5697633549128992,-1,0.47793810842130596,0.47793810842130596,0.5618676570977882,0.5618676570977882,0.000999000999000999,0.027472527472527472,0.027472527472527472,0.24314040163423706,0.32662295327866214,2.3433512122350204,supported,strong_above_null,True,X_leads_Y_with_same_day_component,lead_lag_yes_with_same_day_coupling,lead_lag_yes,,same_day_coupling_present,,ok
