window,variable,surrogate_mode,n_years,n_days,n_finite,n_pair_for_phi,nan_fraction,mu,raw_phi_before_clip,phi,phi_after_clip,phi_clip_limit,phi_clipped_flag,phi_clip_amount,phi_clip_direction,phi_clip_severity,sigma,stationary_std,ar1_estimation_scope,family,n_as_source_pairs,n_as_source_yes,n_as_source_tier1,n_as_source_surrogate_sensitive,n_as_target_pairs,n_as_target_yes,n_as_target_tier1,n_as_target_surrogate_sensitive
T3_current,V_strength,pooled_window_variable_ar1,45,31,1395,1350,0.0,-9.168293364646454e-17,0.9458729035825371,0.9458729035825371,0.9458729035825371,0.95,False,0.0,none,none,0.40397596773569405,1.2447752065974362,window_variable_pooled_across_years,V,15,0,0,0,0,0,0,0
T3_current,V_pos_centroid_lat,pooled_window_variable_ar1,45,31,1395,1350,0.0,1.4261789678338928e-16,0.9128829190985331,0.9128829190985331,0.9128829190985331,0.95,False,0.0,none,none,1.058087482815855,2.5919446597629863,window_variable_pooled_across_years,V,15,1,1,0,0,0,0,0
T3_current,V_NS_diff,pooled_window_variable_ar1,45,31,1395,1350,0.0,5.215740225221094e-15,0.9486321910069337,0.9486321910069337,0.9486321910069337,0.95,False,0.0,none,none,28.60210930420335,90.40399125557778,window_variable_pooled_across_years,V,15,7,0,0,0,0,0,0
T3_current,V_pos_north_edge_lat,pooled_window_variable_ar1,45,31,1395,1350,0.0,-5.297236166240174e-16,0.8228962598605534,0.8228962598605534,0.8228962598605534,0.95,False,0.0,none,none,4.407086215380777,7.75633759094302,window_variable_pooled_across_years,V,15,1,0,0,0,0,0,0
T3_current,V_pos_south_edge_lat,pooled_window_variable_ar1,45,31,1395,1350,0.0,1.0186992627384949e-17,0.7351272869003472,0.7351272869003472,0.7351272869003472,0.95,False,0.0,none,none,1.1992871613078457,1.7690450986933322,window_variable_pooled_across_years,V,15,0,0,0,0,0,0,0
T3_current,V_pos_band_width,pooled_window_variable_ar1,45,31,1395,1350,0.0,4.889756461144775e-16,0.8220492822229413,0.8220492822229413,0.8220492822229413,0.95,False,0.0,none,none,4.548443905467004,7.9879053698580655,window_variable_pooled_across_years,V,15,1,0,0,0,0,0,0
T3_current,V_pos_centroid_lat_recomputed,pooled_window_variable_ar1,45,31,1395,1350,0.0,7.334634691717163e-16,0.9341677240386935,0.9341677240386935,0.9341677240386935,0.95,False,0.0,none,none,1.5003188279059902,4.204526156157293,window_variable_pooled_across_years,V,15,2,0,0,0,0,0,0
T3_current,V_highlat_35_55_mean,pooled_window_variable_ar1,45,31,1395,1350,0.0,-2.801422972530861e-17,0.9330857208705755,0.9330857208705755,0.9330857208705755,0.95,False,0.0,none,none,0.33946146608863903,0.9438555292024845,window_variable_pooled_across_years,V,15,3,2,0,0,0,0,0
T3_current,V_lowlat_20_30_mean,pooled_window_variable_ar1,45,31,1395,1350,0.0,1.0186992627384949e-17,0.9696742730036776,0.95,0.95,0.95,True,0.019674273003677634,upper,moderate,0.332695005554327,1.0654767403917518,window_variable_pooled_across_years,V,15,0,0,0,0,0,0,0
T3_current,V_high_minus_low_35_55_minus_20_30,pooled_window_variable_ar1,45,31,1395,1350,0.0,1.0186992627384949e-17,0.9534064430193816,0.95,0.95,0.95,True,0.003406443019381644,upper,minor,0.47592769647217303,1.5241884676159387,window_variable_pooled_across_years,V,15,0,0,0,0,0,0,0
