window_id,target_name,observed_abs_corr,permutation_percentile,permutation_empirical_p,perm_n
W045,W045_P_earlier_minus_Jw_earlier,0.82931712230075,0.99,0.01,500
W045,W045_V_earlier_minus_Jw_earlier,0.8012311631014889,0.962,0.038,500
W045,W045_V_earlier_minus_Je_earlier,0.7474832103848471,0.692,0.308,500
W045,W045_P_earlier_minus_V_earlier,0.7321929279452492,0.526,0.474,500
W045,W045_Je_earlier_minus_Jw_earlier,0.83265552753026,0.992,0.008,500
W045,W045_P_earlier_minus_Je_earlier,0.7733085372911621,0.852,0.148,500
W045,W045_P_late_minus_early_peak_influence,0.8328591220407886,0.992,0.008,500
W045,W045_Jw_late_minus_early_peak_influence,0.8159430514413935,0.972,0.028,500
W045,W045_Je_late_minus_early_peak_influence,0.7920488290469812,0.926,0.074,500
W081,W081_V_earlier_minus_Jw_earlier,0.8434133483828798,0.998,0.002,500
W081,W081_V_earlier_minus_Je_earlier,0.8421770417410637,1.0,0.0,500
W081,W081_P_earlier_minus_Jw_earlier,0.7566806197833651,0.89,0.11,500
W081,W081_H_earlier_minus_Jw_earlier,0.8829552805723188,1.0,0.0,500
W081,W081_P_earlier_minus_V_earlier,0.8394119397921258,1.0,0.0,500
W081,W081_Je_earlier_minus_Jw_earlier,0.7975754715529614,0.986,0.014,500
W081,W081_V_late_minus_early_peak_influence,0.8479274183942168,1.0,0.0,500
W081,W081_P_late_minus_early_peak_influence,0.800239029176525,0.984,0.016,500
W081,W081_Jw_late_minus_early_peak_influence,0.8919563510701599,1.0,0.0,500
W113,W113_Je_earlier_minus_Jw_earlier,0.7859666486433904,0.894,0.106,500
W113,W113_P_earlier_minus_V_earlier,0.819445231421735,0.982,0.018,500
W113,W113_V_earlier_minus_Je_earlier,0.8382463599883103,0.996,0.004,500
W113,W113_P_earlier_minus_H_earlier,0.8352153090676524,0.994,0.006,500
W113,W113_P_earlier_minus_Je_earlier,0.7392692645873933,0.602,0.398,500
W113,W113_H_earlier_minus_Je_earlier,0.8331050862721984,0.994,0.006,500
W113,W113_Je_late_minus_early_peak_influence,0.8412719033191298,0.998,0.002,500
W113,W113_V_late_minus_early_peak_influence,0.8098000628085343,0.98,0.02,500
W113,W113_H_late_minus_early_peak_influence,0.8375063328559844,0.99,0.01,500
W160,W160_V_earlier_minus_Je_earlier,0.789978275201985,0.938,0.062,500
W160,W160_P_earlier_minus_Jw_earlier,0.712735469804283,0.434,0.566,500
W160,W160_H_earlier_minus_Jw_earlier,0.7436259153339126,0.686,0.314,500
W160,W160_P_earlier_minus_V_earlier,0.7283296420388796,0.53,0.47,500
W160,W160_V_earlier_minus_Jw_earlier,0.7720742326537033,0.82,0.18,500
W160,W160_P_earlier_minus_Je_earlier,0.7707196055559602,0.864,0.136,500
W160,W160_P_late_minus_early_peak_influence,0.7930485029086825,0.942,0.058,500
W160,W160_Jw_late_minus_early_peak_influence,0.762301409504985,0.8,0.2,500
W160,W160_Je_late_minus_early_peak_influence,0.7349929240798928,0.596,0.404,500
