window_id,target_name,object,block_energy,block_contribution_fraction,dominant_object_warning
W045,W045_P_earlier_minus_Jw_earlier,P,0.14288929714450804,0.14288929714450802,False
W045,W045_P_earlier_minus_Jw_earlier,V,0.19675929872811806,0.196759298728118,False
W045,W045_P_earlier_minus_Jw_earlier,H,0.26949845350371504,0.269498453503715,False
W045,W045_P_earlier_minus_Jw_earlier,Je,0.19129195182961334,0.19129195182961328,False
W045,W045_P_earlier_minus_Jw_earlier,Jw,0.19956099879404565,0.1995609987940456,False
W045,W045_V_earlier_minus_Jw_earlier,P,0.14924085241190282,0.14924085241190282,False
W045,W045_V_earlier_minus_Jw_earlier,V,0.2049258076141166,0.2049258076141166,False
W045,W045_V_earlier_minus_Jw_earlier,H,0.26194261114204664,0.26194261114204664,False
W045,W045_V_earlier_minus_Jw_earlier,Je,0.18970969458663922,0.18970969458663922,False
W045,W045_V_earlier_minus_Jw_earlier,Jw,0.19418103424529462,0.19418103424529462,False
W045,W045_V_earlier_minus_Je_earlier,P,0.16406229866082223,0.16406229866082223,False
W045,W045_V_earlier_minus_Je_earlier,V,0.2536435136239147,0.2536435136239147,False
W045,W045_V_earlier_minus_Je_earlier,H,0.17532883131398275,0.17532883131398275,False
W045,W045_V_earlier_minus_Je_earlier,Je,0.18364043694771204,0.18364043694771204,False
W045,W045_V_earlier_minus_Je_earlier,Jw,0.2233249194535682,0.2233249194535682,False
W045,W045_P_earlier_minus_V_earlier,P,0.24128189184243942,0.24128189184243948,False
W045,W045_P_earlier_minus_V_earlier,V,0.2704405480235306,0.2704405480235307,False
W045,W045_P_earlier_minus_V_earlier,H,0.14833007925974612,0.14833007925974614,False
W045,W045_P_earlier_minus_V_earlier,Je,0.18358634230331666,0.1835863423033167,False
W045,W045_P_earlier_minus_V_earlier,Jw,0.15636113857096684,0.15636113857096687,False
W045,W045_Je_earlier_minus_Jw_earlier,P,0.1679847873076286,0.1679847873076286,False
W045,W045_Je_earlier_minus_Jw_earlier,V,0.1970768123168623,0.1970768123168623,False
W045,W045_Je_earlier_minus_Jw_earlier,H,0.25633575620877186,0.25633575620877186,False
W045,W045_Je_earlier_minus_Jw_earlier,Je,0.1745111755889868,0.1745111755889868,False
