window_id,target_name,target_type,object_A,object_B,x_feature_source,y_source,n_years,n_features,n_valid_target_years,target_variance,covariance_strength,corr_score_y,spearman_score_y,permutation_percentile,permutation_empirical_p,loo_pattern_corr_median,loo_pattern_corr_q025,loo_pattern_corr_q975,cv_corr,cv_spearman,cv_sign_accuracy,fit_status,mode_status,method_role
W081,W081_P_earlier_minus_Jw_earlier,pairwise_order_influence,P,Jw,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3363,45,0.019030997654490723,2.576349197489665,0.7566806197833651,0.683794466403162,0.89,0.11,0.9972706104801768,0.9564077345971117,0.9999995249797746,0.3761569939674476,0.33886693017127795,0.6444444444444445,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W081,W081_H_earlier_minus_Jw_earlier,pairwise_order_influence,H,Jw,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3363,45,0.011103909592553092,1.8904422572261619,0.8829552805723188,0.8638998682476943,1.0,0.0,0.9974967573020941,0.9450145607588657,0.9999841767920497,0.5053693114554259,0.48827404479578385,0.6222222222222222,ok,strict_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W081,W081_P_earlier_minus_V_earlier,pairwise_order_influence,P,V,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3363,45,0.01469868954273306,1.9023646511658925,0.8394119397921258,0.847957839262187,1.0,0.0,0.9926322192389925,0.9638911659760369,0.9999977272691792,0.10627955784035344,0.07180500658761528,0.5777777777777777,ok,credible_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W081,W081_Je_earlier_minus_Jw_earlier,pairwise_order_influence,Je,Jw,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3363,45,0.014928259734404445,2.133962412412914,0.7975754715529614,0.7851119894598154,0.986,0.014,0.996916003480501,0.9702412705280341,0.9999740415468917,0.3505837988066376,0.3511198945981554,0.5777777777777777,ok,credible_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W081,W081_V_late_minus_early_peak_influence,object_peak_shift_influence,V,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3363,45,0.02948618698369782,3.5752683627916304,0.8479274183942168,0.8114624505928852,1.0,0.0,0.9982816883331068,0.9754350862730956,0.999972803718504,0.530501677834353,0.5749670619235836,0.7111111111111111,ok,strict_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W081,W081_P_late_minus_early_peak_influence,object_peak_shift_influence,P,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3363,45,0.02461610583535215,3.008857837721538,0.800239029176525,0.7567852437417654,0.984,0.016,0.997868980240679,0.9685841821278529,0.9999926275582409,0.4353769604402778,0.40079051383399206,0.6444444444444445,ok,credible_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W081,W081_Jw_late_minus_early_peak_influence,object_peak_shift_influence,Jw,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3363,45,0.02236733042491791,2.670030929523608,0.8919563510701599,0.8901185770750987,1.0,0.0,0.9957602522437247,0.9593533131903358,0.9999392448102858,0.5125330585646187,0.5579710144927535,0.7555555555555555,ok,strict_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_Je_earlier_minus_Jw_earlier,pairwise_order_influence,Je,Jw,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.015790690730983208,2.0860469822483423,0.7859666486433904,0.6693017127799735,0.894,0.106,0.9953110326467869,0.9430425445797903,0.9999912360215673,0.25992736117752746,0.09710144927536231,0.4222222222222222,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_P_earlier_minus_V_earlier,pairwise_order_influence,P,V,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.02819364191183094,3.069299067294577,0.819445231421735,0.7978919631093543,0.982,0.018,0.9973067888206655,0.9515129276586854,0.9999977329062661,0.41744731158433634,0.41291172595520415,0.6222222222222222,ok,credible_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_V_earlier_minus_Je_earlier,pairwise_order_influence,V,Je,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.014244445404272369,2.22397614862462,0.8382463599883103,0.7952569169960473,0.996,0.004,0.9982414690899019,0.9717359588224476,0.9999926276686333,0.4652409177104531,0.4719367588932806,0.7111111111111111,ok,strict_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_P_earlier_minus_H_earlier,pairwise_order_influence,P,H,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.017798147361118472,2.4502898549755643,0.8352153090676524,0.8011857707509881,0.994,0.006,0.9971827893803603,0.9668390253598746,0.9999885864525949,0.43100619548098107,0.40210803689064556,0.5777777777777777,ok,credible_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_P_earlier_minus_Je_earlier,pairwise_order_influence,P,Je,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.018711084823747035,2.2833464482683126,0.7392692645873933,0.7380764163372858,0.602,0.398,0.9927197016380763,0.9728105190698761,0.9998552836067647,0.23170511862009224,0.22160737812911724,0.6222222222222222,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_H_earlier_minus_Je_earlier,pairwise_order_influence,H,Je,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.003326837175273172,0.9616384140094564,0.8331050862721984,0.7886693017127798,0.994,0.006,0.9954982867288178,0.952371181198466,0.9999947633242932,0.2355030926807173,0.2400527009222661,0.6,ok,credible_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_Je_late_minus_early_peak_influence,object_peak_shift_influence,Je,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.02504366558467826,3.3337710149459236,0.8412719033191298,0.8326745718050065,0.998,0.002,0.9974268190514867,0.9785069937961026,0.9999921025702118,0.6201528639921875,0.5704874835309617,0.7555555555555555,ok,strict_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_V_late_minus_early_peak_influence,object_peak_shift_influence,V,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.033165886522427246,3.347490707032528,0.8098000628085343,0.8142292490118576,0.98,0.02,0.9955336834487973,0.9664163750752508,0.9999892509128082,0.4162647265332038,0.3914361001317523,0.6666666666666666,ok,credible_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W113,W113_H_late_minus_early_peak_influence,object_peak_shift_influence,H,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3819,45,0.039522864755242436,3.7527337113434243,0.8375063328559844,0.8636363636363635,0.99,0.01,0.9977694368506677,0.9576125018019382,0.9999946500523332,0.502718268220025,0.46139657444005266,0.6222222222222222,ok,strict_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_V_earlier_minus_Je_earlier,pairwise_order_influence,V,Je,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.03133353129647217,3.1761991050511056,0.789978275201985,0.7560196321503122,0.938,0.062,0.9963255648812704,0.9690274699904738,0.9999749895093699,0.34980667706233876,0.3118679800104198,0.5555555555555556,ok,usable_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_P_earlier_minus_Jw_earlier,pairwise_order_influence,P,Jw,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.016818233874393053,1.8571434650322722,0.712735469804283,0.7054018445322793,0.434,0.566,0.9966811878727535,0.909661447123496,0.9999541334108424,-0.08555150811209421,-0.05520421607378129,0.4888888888888889,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_H_earlier_minus_Jw_earlier,pairwise_order_influence,H,Jw,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.01735369321547976,2.1537028928289756,0.7436259153339126,0.6350461133069828,0.686,0.314,0.9971894816510902,0.9544516848944253,0.9999617398866313,0.21922436585363053,0.09472990777338602,0.5777777777777777,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_P_earlier_minus_V_earlier,pairwise_order_influence,P,V,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.01097248967624408,2.006660586107431,0.7283296420388796,0.7126482213438734,0.53,0.47,0.9980727465655976,0.960242230029791,0.999999241249249,0.4384312548384126,0.42951251646903815,0.6222222222222222,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_V_earlier_minus_Jw_earlier,pairwise_order_influence,V,Jw,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.011863500595292772,1.7632083114620984,0.7720742326537033,0.7592885375494071,0.82,0.18,0.9976263558043381,0.9545826136435607,0.9999744813659234,0.14712022954997536,0.19670619235836626,0.4444444444444444,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_P_earlier_minus_Je_earlier,pairwise_order_influence,P,Je,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.008419495034894196,1.3201254839674157,0.7707196055559602,0.7723320158102766,0.864,0.136,0.9968218825894047,0.9371844403325682,0.9999901616763497,-0.0015741343886539441,0.07048748353096178,0.5333333333333333,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_P_late_minus_early_peak_influence,object_peak_shift_influence,P,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.024588859266755886,2.4011086158406814,0.7930485029086825,0.7768115942028985,0.942,0.058,0.9967218536110859,0.9077345762331357,0.9999983805049163,0.14417984664454134,0.18629776021080366,0.5111111111111111,ok,usable_targeted_mode,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_Jw_late_minus_early_peak_influence,object_peak_shift_influence,Jw,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.011372653243992522,1.8470176910369704,0.762301409504985,0.6550724637681159,0.8,0.2,0.9970292439697642,0.9571036778582431,0.9999923941316515,0.30750588700712833,0.14677206851119892,0.5111111111111111,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
W160,W160_Je_late_minus_early_peak_influence,object_peak_shift_influence,Je,,V9.1_d_MEOF_equal_weight_multi_object_window_anomaly_matrix,V9.1_c_bootstrap_year_influence,45,3648,45,0.03463754654307478,3.0575645436434535,0.7349929240798928,0.7179183135704874,0.596,0.404,0.995690299098452,0.9607092214505412,0.9999936875192811,0.169226750468415,0.21870882740447956,0.6444444444444445,ok,not_supported,target_guided_SVD_order_relevant_candidate_axis_not_physical_type
