window_id,target_name,phase_group,phase_group_size,skip_reason,targeted_mode_status,performance_gate
W045,W045_P_earlier_minus_Je_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W045,W045_P_earlier_minus_Je_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W045,W045_P_earlier_minus_Je_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W045,W045_P_earlier_minus_V_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W045,W045_P_earlier_minus_V_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W045,W045_P_earlier_minus_V_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W045,W045_V_earlier_minus_Je_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W045,W045_V_earlier_minus_Je_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W045,W045_V_earlier_minus_Je_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W081,W081_P_earlier_minus_Jw_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W081,W081_P_earlier_minus_Jw_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W081,W081_P_earlier_minus_Jw_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W113,W113_Je_earlier_minus_Jw_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W113,W113_Je_earlier_minus_Jw_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W113,W113_Je_earlier_minus_Jw_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W113,W113_P_earlier_minus_Je_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W113,W113_P_earlier_minus_Je_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W113,W113_P_earlier_minus_Je_earlier,target_mode_mid,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_H_earlier_minus_Jw_earlier,target_mode_high,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
W160,W160_H_earlier_minus_Jw_earlier,target_mode_low,15,targeted_mode_not_eligible_for_costly_group_peak_check,not_supported,skip_group_peak_for_unsupported_modes
