window,source,target,lag,n_pairs,n_years_used,valid_year_fraction,r,signed_r,abs_r,eff_n,p_effn,same_year_only,target_window_rule,sample_status
S3_equal11,V_strength,P_main_band_share,-10,495,45,1.0,0.07255799344442695,0.07255799344442695,0.07255799344442695,28.308566123261528,0.7146153655612686,True,True,ok
S3_equal11,V_strength,P_south_band_share_18_24,-10,495,45,1.0,0.09101796079322805,0.09101796079322805,0.09101796079322805,29.287345881601958,0.6398167882852523,True,True,ok
S3_equal11,V_strength,P_main_minus_south,-10,495,45,1.0,0.0087702012330378,0.0087702012330378,0.0087702012330378,27.44068570376063,0.9654155090832788,True,True,ok
S3_equal11,V_strength,P_spread_lat,-10,495,45,1.0,-0.1349185597548469,-0.1349185597548469,0.1349185597548469,32.586984764638764,0.46028531686784824,True,True,ok
S3_equal11,V_strength,P_north_band_share_35_45,-10,495,45,1.0,-0.0400910505871477,-0.0400910505871477,0.0400910505871477,36.019409188047796,0.8177057384874225,True,True,ok
S3_equal11,V_strength,P_north_minus_main_35_45,-10,495,45,1.0,-0.09529471197731264,-0.09529471197731264,0.09529471197731264,32.9379437267656,0.6009759961538066,True,True,ok
S3_equal11,V_strength,P_total_centroid_lat_10_50,-10,495,45,1.0,-0.01309898602356,-0.01309898602356,0.01309898602356,29.79871470177168,0.9459336815614827,True,True,ok
S3_equal11,V_strength,P_main_28_35_mean,-10,495,45,1.0,0.07109642438039812,0.07109642438039812,0.07109642438039812,31.505273965142205,0.7037764201333829,True,True,ok
S3_equal11,V_strength,P_south_10_25_mean,-10,495,45,1.0,-0.007026228358805435,-0.007026228358805435,0.007026228358805435,27.44068570376063,0.9722898529314685,True,True,ok
S3_equal11,V_strength,P_scs_10_20_mean,-10,495,45,1.0,-0.0596123072072382,-0.0596123072072382,0.0596123072072382,27.91640133083863,0.7657672782460261,True,True,ok
S3_equal11,V_strength,P_highlat_40_60_mean,-10,495,45,1.0,-0.1507439925251361,-0.1507439925251361,0.1507439925251361,36.30033676183013,0.3807200487862068,True,True,ok
S3_equal11,V_strength,P_highlat_35_60_mean,-10,495,45,1.0,-0.10593619939908397,-0.10593619939908397,0.10593619939908397,34.60803516089945,0.5499552002592609,True,True,ok
S3_equal11,V_strength,P_highlat_minus_main,-10,495,45,1.0,-0.10682529698741457,-0.10682529698741457,0.10682529698741457,30.57729092509055,0.5733450610712985,True,True,ok
S3_equal11,V_strength,P_south_minus_main,-10,495,45,1.0,-0.04330941154224073,-0.04330941154224073,0.04330941154224073,27.44068570376063,0.8303559911991427,True,True,ok
S3_equal11,V_strength,P_south_plus_highlat_minus_main,-10,495,45,1.0,-0.06774265912485196,-0.06774265912485196,0.06774265912485196,27.44068570376063,0.7373108234265269,True,True,ok
S3_equal11,V_pos_centroid_lat,P_main_band_share,-10,495,45,1.0,0.1035473276709499,0.1035473276709499,0.1035473276709499,34.27634492998341,0.5611230534026945,True,True,ok
S3_equal11,V_pos_centroid_lat,P_south_band_share_18_24,-10,495,45,1.0,-0.05676823165041018,-0.05676823165041018,0.05676823165041018,35.25360446026743,0.7468871604538285,True,True,ok
S3_equal11,V_pos_centroid_lat,P_main_minus_south,-10,495,45,1.0,0.09538411767115018,0.09538411767115018,0.09538411767115018,33.40977338848211,0.5977768388776077,True,True,ok
S3_equal11,V_pos_centroid_lat,P_spread_lat,-10,495,45,1.0,-0.05785179639255999,-0.05785179639255999,0.05785179639255999,38.54777399392173,0.7298618638275618,True,True,ok
S3_equal11,V_pos_centroid_lat,P_north_band_share_35_45,-10,495,45,1.0,0.03513842526190164,0.03513842526190164,0.03513842526190164,41.97394536672154,0.8262945129875596,True,True,ok
S3_equal11,V_pos_centroid_lat,P_north_minus_main_35_45,-10,495,45,1.0,-0.048365551431704915,-0.048365551431704915,0.048365551431704915,38.89811996866234,0.7718096069271989,True,True,ok
S3_equal11,V_pos_centroid_lat,P_total_centroid_lat_10_50,-10,495,45,1.0,0.15290882817318321,0.15290882817318321,0.15290882817318321,35.764160438206275,0.3776855928545837,True,True,ok
S3_equal11,V_pos_centroid_lat,P_main_28_35_mean,-10,495,45,1.0,0.015099585292505706,0.015099585292505706,0.015099585292505706,37.46791471832722,0.9293557233582797,True,True,ok
S3_equal11,V_pos_centroid_lat,P_south_10_25_mean,-10,495,45,1.0,-0.17210150176214228,-0.17210150176214228,0.17210150176214228,33.40977338848211,0.3377628958593597,True,True,ok
S3_equal11,V_pos_centroid_lat,P_scs_10_20_mean,-10,495,45,1.0,-0.16210497750176353,-0.16210497750176353,0.16210497750176353,33.8847761255969,0.3634022085213693,True,True,ok
S3_equal11,V_pos_centroid_lat,P_highlat_40_60_mean,-10,495,45,1.0,0.13632895643850096,0.13632895643850096,0.13632895643850096,42.25433571861005,0.3900663533068174,True,True,ok
S3_equal11,V_pos_centroid_lat,P_highlat_35_60_mean,-10,495,45,1.0,0.08191599007779772,0.08191599007779772,0.08191599007779772,40.56521208728744,0.614827561270308,True,True,ok
S3_equal11,V_pos_centroid_lat,P_highlat_minus_main,-10,495,45,1.0,0.02704557244040278,0.02704557244040278,0.02704557244040278,36.54147458097464,0.875502846324385,True,True,ok
S3_equal11,V_pos_centroid_lat,P_south_minus_main,-10,495,45,1.0,-0.1180729094629686,-0.1180729094629686,0.1180729094629686,33.40977338848211,0.5130054621709528,True,True,ok
S3_equal11,V_pos_centroid_lat,P_south_plus_highlat_minus_main,-10,495,45,1.0,-0.08862123758841856,-0.08862123758841856,0.08862123758841856,33.40977338848211,0.624142558453602,True,True,ok
S3_equal11,V_NS_diff,P_main_band_share,-10,495,45,1.0,0.10813578675997394,0.10813578675997394,0.10813578675997394,26.23621263864007,0.600763148662907,True,True,ok
S3_equal11,V_NS_diff,P_south_band_share_18_24,-10,495,45,1.0,0.049063136416910916,0.049063136416910916,0.049063136416910916,27.215453546798024,0.809067047398238,True,True,ok
S3_equal11,V_NS_diff,P_main_minus_south,-10,495,45,1.0,0.051509880763018406,0.051509880763018406,0.051509880763018406,25.367936925098565,0.807362087861569,True,True,ok
S3_equal11,V_NS_diff,P_spread_lat,-10,495,45,1.0,-0.1497067728062716,-0.1497067728062716,0.1497067728062716,30.51676689930595,0.4287950747667457,True,True,ok
S3_equal11,V_NS_diff,P_north_band_share_35_45,-10,495,45,1.0,-0.013195636108682338,-0.013195636108682338,0.013195636108682338,33.951129365679165,0.9414746726590484,True,True,ok
S3_equal11,V_NS_diff,P_north_minus_main_35_45,-10,495,45,1.0,-0.0960058256747338,-0.0960058256747338,0.0960058256747338,30.867914840381154,0.6111860208462125,True,True,ok
S3_equal11,V_NS_diff,P_total_centroid_lat_10_50,-10,495,45,1.0,0.07094947299893575,0.07094947299893575,0.07094947299893575,27.727069766395655,0.7237890301430563,True,True,ok
S3_equal11,V_NS_diff,P_main_28_35_mean,-10,495,45,1.0,0.05341152615517682,0.05341152615517682,0.05341152615517682,29.434486794595237,0.7834129155964578,True,True,ok
S3_equal11,V_NS_diff,P_south_10_25_mean,-10,495,45,1.0,-0.0963319176276947,-0.0963319176276947,0.0963319176276947,25.367936925098565,0.6476590969105411,True,True,ok
S3_equal11,V_NS_diff,P_scs_10_20_mean,-10,495,45,1.0,-0.13543902947468367,-0.13543902947468367,0.13543902947468367,25.84386764291567,0.5148291845215964,True,True,ok
S3_equal11,V_NS_diff,P_highlat_40_60_mean,-10,495,45,1.0,-0.04709018971150016,-0.04709018971150016,0.04709018971150016,34.23222441653958,0.7922715253912347,True,True,ok
S3_equal11,V_NS_diff,P_highlat_35_60_mean,-10,495,45,1.0,-0.04485314407776265,-0.04485314407776265,0.04485314407776265,32.53893421780286,0.8072778220054782,True,True,ok
S3_equal11,V_NS_diff,P_highlat_minus_main,-10,495,45,1.0,-0.060708506275411814,-0.060708506275411814,0.060708506275411814,28.50603119008632,0.7588611258399753,True,True,ok
S3_equal11,V_NS_diff,P_south_minus_main,-10,495,45,1.0,-0.09064240408846673,-0.09064240408846673,0.09064240408846673,25.367936925098565,0.6672895660394644,True,True,ok
S3_equal11,V_NS_diff,P_south_plus_highlat_minus_main,-10,495,45,1.0,-0.09466805008848292,-0.09466805008848292,0.09466805008848292,25.367936925098565,0.6533775747174384,True,True,ok
S3_equal11,V_pos_north_edge_lat,P_main_band_share,-10,495,45,1.0,-0.040819629900145794,-0.040819629900145794,0.040819629900145794,61.72908183878606,0.7542846491640387,True,True,ok
S3_equal11,V_pos_north_edge_lat,P_south_band_share_18_24,-10,495,45,1.0,-0.09716146052898152,-0.09716146052898152,0.09716146052898152,62.69567248495372,0.45140538584993206,True,True,ok
S3_equal11,V_pos_north_edge_lat,P_main_minus_south,-10,495,45,1.0,0.01546866059651783,0.01546866059651783,0.01546866059651783,60.87179284879912,0.9063173146826935,True,True,ok
S3_equal11,V_pos_north_edge_lat,P_spread_lat,-10,495,45,1.0,0.26332649420141424,0.26332649420141424,0.26332649420141424,65.95231304154872,0.03237872523002272,True,True,ok
S3_equal11,V_pos_north_edge_lat,P_north_band_share_35_45,-10,495,45,1.0,0.2050285273210729,0.2050285273210729,0.2050285273210729,69.33689118317166,0.09028183148258151,True,True,ok
S3_equal11,V_pos_north_edge_lat,P_north_minus_main_35_45,-10,495,45,1.0,0.12460414265780854,0.12460414265780854,0.12460414265780854,66.29852564803765,0.31899067525972535,True,True,ok
