window_id,mode,singular_value,explained_variance_ratio,cumulative_explained_variance_ratio,n_years,n_features,n_objects,sign_convention
W045,1,4.340651646104421,0.08564207596740468,0.08564207596740468,45,56232,5,largest_abs_loading_positive
W045,2,4.001628273639816,0.07278649472906175,0.15842857069646643,45,56232,5,largest_abs_loading_positive
W045,3,3.8961847097345483,0.06900116041986044,0.22742973111632686,45,56232,5,largest_abs_loading_positive
W045,4,3.3932093764367184,0.05233577214699123,0.27976550326331806,45,56232,5,largest_abs_loading_positive
W045,5,3.1935213746075544,0.046357176227615135,0.3261226794909332,45,56232,5,largest_abs_loading_positive
W081,1,4.397514127528966,0.08790059319007652,0.08790059319007652,45,46728,5,largest_abs_loading_positive
W081,2,4.189679882874989,0.0797882614589426,0.16768885464901911,45,46728,5,largest_abs_loading_positive
W081,3,3.6273650982528016,0.0598080798001025,0.2274969344491216,45,46728,5,largest_abs_loading_positive
W081,4,3.4588535757902736,0.05438030935798708,0.2818772438071087,45,46728,5,largest_abs_loading_positive
W081,5,3.4363196912281655,0.053674059183283766,0.3355513029903925,45,46728,5,largest_abs_loading_positive
W113,1,4.312360388269666,0.08452932781053314,0.08452932781053314,45,53064,5,largest_abs_loading_positive
W113,2,3.872676766590923,0.06817102426587779,0.15270035207641092,45,53064,5,largest_abs_loading_positive
W113,3,3.6927582097139693,0.06198392361549959,0.2146842756919105,45,53064,5,largest_abs_loading_positive
W113,4,3.233045296779499,0.04751173586830922,0.2621960115602197,45,53064,5,largest_abs_loading_positive
W113,5,3.216080767547404,0.04701443410631042,0.3092104456665301,45,53064,5,largest_abs_loading_positive
W160,1,4.335403326436546,0.08543510001307748,0.08543510001307748,45,47520,5,largest_abs_loading_positive
W160,2,3.917242834097097,0.069749051914932,0.1551841519280095,45,47520,5,largest_abs_loading_positive
W160,3,3.5486031175558037,0.057239018572394336,0.21242317050040382,45,47520,5,largest_abs_loading_positive
W160,4,3.3509721558365446,0.05104097449632639,0.2634641449967302,45,47520,5,largest_abs_loading_positive
W160,5,3.228548024884212,0.04737964704083516,0.31084379203756535,45,47520,5,largest_abs_loading_positive
