pc_phase,mode,window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,n_years_in_group,years_in_group,peak_source,detector_status
low,3,W045,H,CP003,43,33,53,within_system_window,unstable_window,system_relevant_first,CP001@30:unstable_window;CP002@55:unstable_window,,CP002@55:unstable_window,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019,v7_detector_zero_bootstrap,ok
low,3,W045,Je,CP003,49,39,59,late_or_catchup,unstable_window,system_relevant_first,CP001@16:unstable_window;CP002@29:unstable_window,CP001@16:unstable_window;CP002@29:unstable_window,,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019,v7_detector_zero_bootstrap,ok
low,3,W045,Jw,CP001,41,31,51,within_system_window,unstable_window,system_relevant_first,CP002@30:unstable_window;CP003@20:unstable_window,CP003@20:unstable_window,,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019,v7_detector_zero_bootstrap,ok
high,1,W081,P,CP001,88,78,92,late_or_catchup,unstable_window,system_relevant_first,CP002@72:unstable_window,,,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021,v7_detector_zero_bootstrap,ok
high,1,W081,V,CP002,85,75,92,within_system_window,unstable_window,system_relevant_first,CP001@71:unstable_window,,,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021,v7_detector_zero_bootstrap,ok
high,1,W081,H,CP001,83,73,92,within_system_window,unstable_window,system_relevant_first,CP002@75:unstable_window,,,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021,v7_detector_zero_bootstrap,ok
high,1,W081,Je,CP001,69,59,79,front_or_early,unstable_window,system_relevant_first,,,,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021,v7_detector_zero_bootstrap,ok
high,1,W081,Jw,CP001,83,73,92,within_system_window,unstable_window,system_relevant_first,CP002@72:unstable_window,,,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021,v7_detector_zero_bootstrap,ok
low,1,W081,P,CP001,78,68,88,within_system_window,unstable_window,system_relevant_first,CP002@66:unstable_window,,,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984,v7_detector_zero_bootstrap,ok
low,1,W081,V,CP001,75,65,85,within_system_window,unstable_window,system_relevant_first,,,,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984,v7_detector_zero_bootstrap,ok
low,1,W081,H,CP001,75,65,85,within_system_window,unstable_window,system_relevant_first,CP002@63:unstable_window;CP003@89:unstable_window,CP002@63:unstable_window,,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984,v7_detector_zero_bootstrap,ok
low,1,W081,Je,CP001,73,63,83,front_or_early,unstable_window,system_relevant_first,,,,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984,v7_detector_zero_bootstrap,ok
low,1,W081,Jw,CP001,86,76,92,within_system_window,unstable_window,system_relevant_first,CP002@66:unstable_window,,,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984,v7_detector_zero_bootstrap,ok
high,2,W081,P,CP002,83,73,92,within_system_window,unstable_window,system_relevant_first,CP001@75:unstable_window;CP003@64:unstable_window,CP003@64:unstable_window,,15,2010;2016;1980;2023;1993;2021;1987;1995;1991;2014;1982;1992;2020;2019;1983,v7_detector_zero_bootstrap,ok
high,2,W081,V,CP001,70,60,80,front_or_early,unstable_window,system_relevant_first,,,,15,2010;2016;1980;2023;1993;2021;1987;1995;1991;2014;1982;1992;2020;2019;1983,v7_detector_zero_bootstrap,ok
high,2,W081,H,CP002,83,73,92,within_system_window,unstable_window,system_relevant_first,CP001@72:unstable_window,,,15,2010;2016;1980;2023;1993;2021;1987;1995;1991;2014;1982;1992;2020;2019;1983,v7_detector_zero_bootstrap,ok
high,2,W081,Je,CP003,82,82,82,within_system_window,unstable_window,system_relevant_first,CP001@63:unstable_window;CP002@75:unstable_window,CP001@63:unstable_window,,15,2010;2016;1980;2023;1993;2021;1987;1995;1991;2014;1982;1992;2020;2019;1983,v7_detector_zero_bootstrap,ok
high,2,W081,Jw,CP001,79,69,89,within_system_window,unstable_window,system_relevant_first,,,,15,2010;2016;1980;2023;1993;2021;1987;1995;1991;2014;1982;1992;2020;2019;1983,v7_detector_zero_bootstrap,ok
low,2,W081,P,CP001,78,68,88,within_system_window,unstable_window,system_relevant_first,CP002@66:unstable_window,,,15,1984;1981;2001;2000;2018;1994;2011;1985;2013;2008;2022;2012;2006;1990;2009,v7_detector_zero_bootstrap,ok
low,2,W081,V,CP001,80,70,90,within_system_window,unstable_window,system_relevant_first,CP002@64:unstable_window,CP002@64:unstable_window,,15,1984;1981;2001;2000;2018;1994;2011;1985;2013;2008;2022;2012;2006;1990;2009,v7_detector_zero_bootstrap,ok
low,2,W081,H,CP001,75,65,85,within_system_window,unstable_window,system_relevant_first,,,,15,1984;1981;2001;2000;2018;1994;2011;1985;2013;2008;2022;2012;2006;1990;2009,v7_detector_zero_bootstrap,ok
low,2,W081,Je,CP002,76,66,86,within_system_window,unstable_window,system_relevant_first,CP001@90:unstable_window,,,15,1984;1981;2001;2000;2018;1994;2011;1985;2013;2008;2022;2012;2006;1990;2009,v7_detector_zero_bootstrap,ok
low,2,W081,Jw,CP001,83,73,92,within_system_window,unstable_window,system_relevant_first,,,,15,1984;1981;2001;2000;2018;1994;2011;1985;2013;2008;2022;2012;2006;1990;2009,v7_detector_zero_bootstrap,ok
high,3,W081,P,CP001,80,70,90,within_system_window,unstable_window,system_relevant_first,CP002@63:unstable_window,CP002@63:unstable_window,,15,1981;2001;2003;1994;1993;1990;1996;2016;1979;2022;1997;2010;2017;2020;1998,v7_detector_zero_bootstrap,ok
high,3,W081,V,CP001,80,70,90,within_system_window,unstable_window,system_relevant_first,CP002@63:unstable_window,CP002@63:unstable_window,,15,1981;2001;2003;1994;1993;1990;1996;2016;1979;2022;1997;2010;2017;2020;1998,v7_detector_zero_bootstrap,ok
high,3,W081,H,CP001,76,66,86,within_system_window,unstable_window,system_relevant_first,,,,15,1981;2001;2003;1994;1993;1990;1996;2016;1979;2022;1997;2010;2017;2020;1998,v7_detector_zero_bootstrap,ok
high,3,W081,Je,CP001,69,59,79,front_or_early,unstable_window,system_relevant_first,,,,15,1981;2001;2003;1994;1993;1990;1996;2016;1979;2022;1997;2010;2017;2020;1998,v7_detector_zero_bootstrap,ok
high,3,W081,Jw,CP001,73,63,83,front_or_early,unstable_window,system_relevant_first,,,,15,1981;2001;2003;1994;1993;1990;1996;2016;1979;2022;1997;2010;2017;2020;1998,v7_detector_zero_bootstrap,ok
low,3,W081,P,CP001,82,72,92,within_system_window,unstable_window,system_relevant_first,CP002@65:unstable_window,,,15,1987;1982;2004;2014;1991;1985;2018;1995;1986;2013;2015;2009;1983;1999;2000,v7_detector_zero_bootstrap,ok
low,3,W081,V,CP001,76,66,86,within_system_window,unstable_window,system_relevant_first,CP002@60:unstable_window;CP003@90:unstable_window,CP002@60:unstable_window,,15,1987;1982;2004;2014;1991;1985;2018;1995;1986;2013;2015;2009;1983;1999;2000,v7_detector_zero_bootstrap,ok
low,3,W081,H,CP001,76,66,86,within_system_window,unstable_window,system_relevant_first,CP002@61:unstable_window,CP002@61:unstable_window,,15,1987;1982;2004;2014;1991;1985;2018;1995;1986;2013;2015;2009;1983;1999;2000,v7_detector_zero_bootstrap,ok
low,3,W081,Je,CP002,79,69,89,within_system_window,unstable_window,system_relevant_first,CP001@63:unstable_window,CP001@63:unstable_window,,15,1987;1982;2004;2014;1991;1985;2018;1995;1986;2013;2015;2009;1983;1999;2000,v7_detector_zero_bootstrap,ok
low,3,W081,Jw,CP001,81,71,91,within_system_window,unstable_window,system_relevant_first,CP002@67:unstable_window,,,15,1987;1982;2004;2014;1991;1985;2018;1995;1986;2013;2015;2009;1983;1999;2000,v7_detector_zero_bootstrap,ok
high,1,W113,P,CP001,113,103,123,within_system_window,unstable_window,system_relevant_first,CP002@138:unstable_window;CP003@130:unstable_window,,CP002@138:unstable_window;CP003@130:unstable_window,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
high,1,W113,V,CP001,108,98,118,within_system_window,unstable_window,system_relevant_first,CP002@135:unstable_window;CP003@121:unstable_window,,CP002@135:unstable_window,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
high,1,W113,H,CP002,114,104,124,within_system_window,unstable_window,system_relevant_first,CP001@131:unstable_window,,CP001@131:unstable_window,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
high,1,W113,Je,CP003,111,101,121,within_system_window,unstable_window,system_relevant_first,CP001@132:unstable_window;CP002@107:unstable_window,,CP001@132:unstable_window,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
high,1,W113,Jw,CP001,108,98,118,within_system_window,unstable_window,system_relevant_first,CP002@123:unstable_window,,,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
low,1,W113,P,CP002,113,103,123,within_system_window,unstable_window,system_relevant_first,CP001@106:unstable_window;CP003@124:unstable_window,,CP003@124:unstable_window,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
low,1,W113,V,CP001,114,104,124,within_system_window,unstable_window,system_relevant_first,,,,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
low,1,W113,H,CP001,116,106,126,within_system_window,unstable_window,system_relevant_first,CP002@127:unstable_window;CP003@135:unstable_window,,CP002@127:unstable_window;CP003@135:unstable_window,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
low,1,W113,Je,CP001,109,99,119,within_system_window,unstable_window,system_relevant_first,CP002@129:unstable_window,,CP002@129:unstable_window,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
low,1,W113,Jw,CP001,103,98,113,front_or_early,unstable_window,system_relevant_first,CP002@137:unstable_window;CP003@130:unstable_window,,CP002@137:unstable_window;CP003@130:unstable_window,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
high,2,W113,P,CP001,104,98,114,front_or_early,unstable_window,system_relevant_first,CP002@137:unstable_window;CP003@123:unstable_window,,CP002@137:unstable_window,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
high,2,W113,V,CP001,101,98,111,front_or_early,unstable_window,system_relevant_first,CP002@120:unstable_window,,,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
high,2,W113,H,CP002,109,99,119,within_system_window,unstable_window,system_relevant_first,CP001@101:unstable_window;CP003@127:unstable_window;CP004@138:unstable_window,,CP003@127:unstable_window;CP004@138:unstable_window,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
high,2,W113,Je,CP003,118,118,118,within_system_window,unstable_window,system_relevant_first,CP001@106:unstable_window;CP002@131:unstable_window,,CP002@131:unstable_window,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
high,2,W113,Jw,CP002,101,98,111,front_or_early,unstable_window,system_relevant_first,CP001@130:unstable_window,,CP001@130:unstable_window,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
low,2,W113,P,CP001,112,102,122,within_system_window,unstable_window,system_relevant_first,CP002@100:unstable_window;CP003@129:unstable_window;CP004@137:unstable_window,,CP003@129:unstable_window;CP004@137:unstable_window,15,1983;2015;1982;1980;1992;1987;1986;1993;1979;2002;2019;1999;2014;2004;1991,v7_detector_zero_bootstrap,ok
low,2,W113,V,CP002,105,98,115,front_or_early,unstable_window,system_relevant_first,CP001@124:unstable_window,,CP001@124:unstable_window,15,1983;2015;1982;1980;1992;1987;1986;1993;1979;2002;2019;1999;2014;2004;1991,v7_detector_zero_bootstrap,ok
low,2,W113,H,CP001,118,108,128,within_system_window,unstable_window,system_relevant_first,CP002@135:unstable_window,,CP002@135:unstable_window,15,1983;2015;1982;1980;1992;1987;1986;1993;1979;2002;2019;1999;2014;2004;1991,v7_detector_zero_bootstrap,ok
low,2,W113,Je,CP002,113,103,123,within_system_window,unstable_window,system_relevant_first,CP001@137:unstable_window,,CP001@137:unstable_window,15,1983;2015;1982;1980;1992;1987;1986;1993;1979;2002;2019;1999;2014;2004;1991,v7_detector_zero_bootstrap,ok
low,2,W113,Jw,CP001,113,103,123,within_system_window,unstable_window,system_relevant_first,CP002@103:unstable_window;CP003@134:unstable_window,,CP003@134:unstable_window,15,1983;2015;1982;1980;1992;1987;1986;1993;1979;2002;2019;1999;2014;2004;1991,v7_detector_zero_bootstrap,ok
high,3,W113,P,CP004,118,118,118,within_system_window,unstable_window,system_relevant_first,CP001@106:unstable_window;CP002@128:unstable_window;CP003@137:unstable_window,,CP002@128:unstable_window;CP003@137:unstable_window,15,2005;1989;1987;1981;1998;1988;2000;2017;1993;2015;1994;2014;1999;1980;2021,v7_detector_zero_bootstrap,ok
high,3,W113,V,CP001,110,100,120,within_system_window,unstable_window,system_relevant_first,CP002@131:unstable_window,,CP002@131:unstable_window,15,2005;1989;1987;1981;1998;1988;2000;2017;1993;2015;1994;2014;1999;1980;2021,v7_detector_zero_bootstrap,ok
high,3,W113,H,CP002,109,99,119,within_system_window,unstable_window,system_relevant_first,CP001@130:unstable_window,,CP001@130:unstable_window,15,2005;1989;1987;1981;1998;1988;2000;2017;1993;2015;1994;2014;1999;1980;2021,v7_detector_zero_bootstrap,ok
high,3,W113,Je,CP001,104,98,114,front_or_early,unstable_window,system_relevant_first,CP002@135:unstable_window,,CP002@135:unstable_window,15,2005;1989;1987;1981;1998;1988;2000;2017;1993;2015;1994;2014;1999;1980;2021,v7_detector_zero_bootstrap,ok
high,3,W113,Jw,CP001,104,98,114,front_or_early,unstable_window,system_relevant_first,CP002@124:unstable_window,,CP002@124:unstable_window,15,2005;1989;1987;1981;1998;1988;2000;2017;1993;2015;1994;2014;1999;1980;2021,v7_detector_zero_bootstrap,ok
low,3,W113,P,CP001,116,106,126,within_system_window,unstable_window,system_relevant_first,CP002@101:unstable_window;CP003@134:unstable_window,,CP003@134:unstable_window,15,2022;2016;1983;1979;2007;1992;2013;2020;2006;1986;2019;1985;1982;2010;1984,v7_detector_zero_bootstrap,ok
low,3,W113,V,CP002,114,104,124,within_system_window,unstable_window,system_relevant_first,CP001@125:unstable_window;CP003@136:unstable_window,,CP001@125:unstable_window;CP003@136:unstable_window,15,2022;2016;1983;1979;2007;1992;2013;2020;2006;1986;2019;1985;1982;2010;1984,v7_detector_zero_bootstrap,ok
low,3,W113,H,CP001,117,107,127,within_system_window,unstable_window,system_relevant_first,CP002@105:unstable_window,,,15,2022;2016;1983;1979;2007;1992;2013;2020;2006;1986;2019;1985;1982;2010;1984,v7_detector_zero_bootstrap,ok
low,3,W113,Je,CP001,115,105,125,within_system_window,unstable_window,system_relevant_first,,,,15,2022;2016;1983;1979;2007;1992;2013;2020;2006;1986;2019;1985;1982;2010;1984,v7_detector_zero_bootstrap,ok
low,3,W113,Jw,CP002,113,103,123,within_system_window,unstable_window,system_relevant_first,CP001@129:unstable_window,,CP001@129:unstable_window,15,2022;2016;1983;1979;2007;1992;2013;2020;2006;1986;2019;1985;1982;2010;1984,v7_detector_zero_bootstrap,ok
high,1,W160,P,CP001,154,144,164,front_or_early,unstable_window,system_relevant_first,CP002@139:unstable_window,CP002@139:unstable_window,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
high,1,W160,V,CP001,148,138,158,front_or_early,unstable_window,system_relevant_first,,,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
high,1,W160,H,CP003,167,157,168,late_or_catchup,unstable_window,system_relevant_first,CP001@130:unstable_window;CP002@145:unstable_window;CP004@160:unstable_window,CP001@130:unstable_window,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
high,1,W160,Je,CP002,165,155,168,within_system_window,unstable_window,system_relevant_first,CP001@132:unstable_window;CP003@149:unstable_window,CP001@132:unstable_window,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
high,1,W160,Jw,CP001,148,138,158,front_or_early,unstable_window,system_relevant_first,CP002@140:unstable_window,CP002@140:unstable_window,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
low,1,W160,P,CP001,160,150,168,within_system_window,unstable_window,system_relevant_first,CP002@133:unstable_window;CP003@139:unstable_window;CP004@149:unstable_window,CP002@133:unstable_window;CP003@139:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
low,1,W160,V,CP001,161,151,168,within_system_window,unstable_window,system_relevant_first,CP002@137:unstable_window,CP002@137:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
low,1,W160,H,CP001,153,143,163,front_or_early,unstable_window,system_relevant_first,CP002@134:unstable_window,CP002@134:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
low,1,W160,Je,CP001,159,149,168,within_system_window,unstable_window,system_relevant_first,CP002@135:unstable_window;CP003@142:unstable_window,CP002@135:unstable_window;CP003@142:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
low,1,W160,Jw,CP002,163,153,168,within_system_window,unstable_window,system_relevant_first,CP001@130:unstable_window,CP001@130:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
high,2,W160,P,CP001,158,148,168,within_system_window,unstable_window,system_relevant_first,CP002@137:unstable_window;CP003@148:unstable_window,CP002@137:unstable_window,,15,1981;1988;1991;1996;2000;1997;2002;2009;1995;1982;1993;2015;2014;1987;1980,v7_detector_zero_bootstrap,ok
high,2,W160,V,CP001,158,148,168,within_system_window,unstable_window,system_relevant_first,CP002@136:unstable_window,CP002@136:unstable_window,,15,1981;1988;1991;1996;2000;1997;2002;2009;1995;1982;1993;2015;2014;1987;1980,v7_detector_zero_bootstrap,ok
high,2,W160,H,CP002,157,147,167,within_system_window,unstable_window,system_relevant_first,CP001@131:unstable_window;CP003@146:unstable_window,CP001@131:unstable_window,,15,1981;1988;1991;1996;2000;1997;2002;2009;1995;1982;1993;2015;2014;1987;1980,v7_detector_zero_bootstrap,ok
high,2,W160,Je,CP001,155,145,165,within_system_window,unstable_window,system_relevant_first,CP002@135:unstable_window,CP002@135:unstable_window,,15,1981;1988;1991;1996;2000;1997;2002;2009;1995;1982;1993;2015;2014;1987;1980,v7_detector_zero_bootstrap,ok
