window_id,object,field_role,n_years,analysis_start,analysis_end,n_days,n_features_raw,n_all_nan_features_removed,n_features_after_nan_filter,n_features_after_std_filter,n_partial_nan_values_filled,block_scale,block_variance_before_scale,block_variance_after_scale
W045,P,precip,45,0,74,75,10725,572,10153,10153,0,0.00992436679287576,1.0,9.849305623953509e-05
W045,V,v850,45,0,74,75,9075,484,8591,8591,0,0.010788924165398667,1.0,0.00011640088464672332
W045,H,z500,45,0,74,75,13200,704,12496,12496,0,0.008945703337056415,1.0,8.00256081946223e-05
W045,Je,u200,45,0,74,75,13200,704,12496,12496,0,0.008945703337056415,1.0,8.00256081946223e-05
W045,Jw,u200,45,0,74,75,13200,704,12496,12496,0,0.008945703337056415,1.0,8.00256081946223e-05
W081,P,precip,45,49,107,59,8437,0,8437,8437,0,0.010886943659923836,1.0,0.00011852554225435579
W081,V,v850,45,49,107,59,7139,0,7139,7139,0,0.01183535554371126,1.0,0.00014007564084605686
W081,H,z500,45,49,107,59,10384,0,10384,10384,0,0.009813358399735746,1.0,9.63020030816641e-05
W081,Je,u200,45,49,107,59,10384,0,10384,10384,0,0.009813358399735746,1.0,9.63020030816641e-05
W081,Jw,u200,45,49,107,59,10384,0,10384,10384,0,0.009813358399735746,1.0,9.63020030816641e-05
W113,P,precip,45,88,154,67,9581,0,9581,9581,0,0.010216322170996611,1.0,0.00010437323870159691
W113,V,v850,45,88,154,67,8107,0,8107,8107,0,0.011106313123300475,1.0,0.00012335019119279634
W113,H,z500,45,88,154,67,11792,0,11792,11792,0,0.009208868358546967,1.0,8.480325644504752e-05
W113,Je,u200,45,88,154,67,11792,0,11792,11792,0,0.009208868358546967,1.0,8.480325644504752e-05
W113,Jw,u200,45,88,154,67,11792,0,11792,11792,0,0.009208868358546967,1.0,8.480325644504752e-05
W160,P,precip,45,119,182,64,9152,572,8580,8580,0,0.010795837927188261,1.0,0.00011655011655011654
W160,V,v850,45,119,182,64,7744,484,7260,7260,0,0.011736313170325505,1.0,0.0001377410468319559
W160,H,z500,45,119,182,64,11264,704,10560,10560,0,0.009731236802019037,1.0,9.469696969696967e-05
W160,Je,u200,45,119,182,64,11264,704,10560,10560,0,0.009731236802019037,1.0,9.469696969696967e-05
W160,Jw,u200,45,119,182,64,11264,704,10560,10560,0,0.009731236802019037,1.0,9.469696969696967e-05
