n_valid_years,n_missing_years,n_low_quality_peak_years,Y_std,Y_range,Y_iqr,n_near_zero_delta_years,y_quality_flag,window_id,target_pair,target_set
45,0,45,5.34203835042147,25.0,5.0,14,warning_many_low_quality_peaks,W160,P-V,priority
45,0,45,6.087327455916558,31.0,8.0,9,warning_many_low_quality_peaks,W160,P-H,exploratory_full_pair
45,0,45,6.320321561951152,29.0,8.0,12,warning_many_low_quality_peaks,W160,P-Je,exploratory_full_pair
45,0,45,6.783074598594727,33.0,8.0,10,warning_many_low_quality_peaks,W160,P-Jw,exploratory_full_pair
45,0,45,5.715210964053415,28.0,5.0,10,warning_many_low_quality_peaks,W160,V-H,exploratory_full_pair
45,0,45,7.595719155876519,40.0,10.0,6,warning_many_low_quality_peaks,W160,V-Je,priority
45,0,45,7.605619931698832,41.0,9.0,9,warning_many_low_quality_peaks,W160,V-Jw,exploratory_full_pair
45,0,45,6.569519454159936,31.0,9.0,10,warning_many_low_quality_peaks,W160,H-Je,exploratory_full_pair
45,0,45,6.993503478878874,31.0,10.0,6,warning_many_low_quality_peaks,W160,H-Jw,priority
45,0,45,7.380837870917343,39.0,10.0,3,warning_many_low_quality_peaks,W160,Je-Jw,exploratory_full_pair
45,0,45,7.605619931698832,41.0,9.0,9,warning_many_low_quality_peaks,W160,Jw-V,priority
