window_id,year,som_grid,node_id,node_x,node_y,node_count,distance_to_node_center,som_role
W045,1979,2x2,0,0,0,16,1.684348350792835,topology_audit_only_not_primary_type_evidence
W045,1980,2x2,1,0,1,12,4.8047849679400185,topology_audit_only_not_primary_type_evidence
W045,1981,2x2,0,0,0,16,5.023738299964721,topology_audit_only_not_primary_type_evidence
W045,1982,2x2,3,1,1,9,5.701887650673725,topology_audit_only_not_primary_type_evidence
W045,1983,2x2,1,0,1,12,6.462888565116051,topology_audit_only_not_primary_type_evidence
W045,1984,2x2,0,0,0,16,5.605590208694072,topology_audit_only_not_primary_type_evidence
W045,1985,2x2,1,0,1,12,6.242755956517624,topology_audit_only_not_primary_type_evidence
W045,1986,2x2,1,0,1,12,6.311188212830122,topology_audit_only_not_primary_type_evidence
W045,1987,2x2,1,0,1,12,3.524890419924296,topology_audit_only_not_primary_type_evidence
W045,1988,2x2,3,1,1,9,6.292841115704978,topology_audit_only_not_primary_type_evidence
W045,1989,2x2,0,0,0,16,4.303601483765859,topology_audit_only_not_primary_type_evidence
W045,1990,2x2,0,0,0,16,4.308335206579611,topology_audit_only_not_primary_type_evidence
W045,1991,2x2,3,1,1,9,5.821781321531267,topology_audit_only_not_primary_type_evidence
W045,1992,2x2,2,1,0,8,7.70025181349292,topology_audit_only_not_primary_type_evidence
W045,1993,2x2,2,1,0,8,4.541892308877259,topology_audit_only_not_primary_type_evidence
W045,1994,2x2,0,0,0,16,3.6431040830763695,topology_audit_only_not_primary_type_evidence
W045,1995,2x2,0,0,0,16,2.7045423121790675,topology_audit_only_not_primary_type_evidence
W045,1996,2x2,3,1,1,9,4.878890663998028,topology_audit_only_not_primary_type_evidence
W045,1997,2x2,2,1,0,8,7.114505635721335,topology_audit_only_not_primary_type_evidence
W045,1998,2x2,3,1,1,9,7.315629894187189,topology_audit_only_not_primary_type_evidence
W045,1999,2x2,0,0,0,16,6.243592120868068,topology_audit_only_not_primary_type_evidence
W045,2000,2x2,0,0,0,16,5.31601095251833,topology_audit_only_not_primary_type_evidence
W045,2001,2x2,1,0,1,12,3.6551973305253256,topology_audit_only_not_primary_type_evidence
W045,2002,2x2,0,0,0,16,5.573876757950464,topology_audit_only_not_primary_type_evidence
W045,2003,2x2,0,0,0,16,6.302891256638652,topology_audit_only_not_primary_type_evidence
W045,2004,2x2,0,0,0,16,5.5980361095383655,topology_audit_only_not_primary_type_evidence
W045,2005,2x2,1,0,1,12,3.515159202934671,topology_audit_only_not_primary_type_evidence
W045,2006,2x2,2,1,0,8,4.112461339044867,topology_audit_only_not_primary_type_evidence
W045,2007,2x2,2,1,0,8,5.542963103433994,topology_audit_only_not_primary_type_evidence
W045,2008,2x2,3,1,1,9,4.930102426784964,topology_audit_only_not_primary_type_evidence
W045,2009,2x2,2,1,0,8,6.538681118475978,topology_audit_only_not_primary_type_evidence
W045,2010,2x2,0,0,0,16,4.9783605194552045,topology_audit_only_not_primary_type_evidence
W045,2011,2x2,3,1,1,9,6.204983754548886,topology_audit_only_not_primary_type_evidence
W045,2012,2x2,1,0,1,12,5.12814965679146,topology_audit_only_not_primary_type_evidence
W045,2013,2x2,1,0,1,12,4.1706769817416705,topology_audit_only_not_primary_type_evidence
W045,2014,2x2,0,0,0,16,2.7009762697163007,topology_audit_only_not_primary_type_evidence
W045,2015,2x2,1,0,1,12,7.192175708324729,topology_audit_only_not_primary_type_evidence
W045,2016,2x2,1,0,1,12,4.163126052841375,topology_audit_only_not_primary_type_evidence
W045,2017,2x2,0,0,0,16,3.5812264511117995,topology_audit_only_not_primary_type_evidence
W045,2018,2x2,1,0,1,12,4.731519248462589,topology_audit_only_not_primary_type_evidence
W045,2019,2x2,0,0,0,16,4.303253623440488,topology_audit_only_not_primary_type_evidence
W045,2020,2x2,2,1,0,8,6.8341873335422285,topology_audit_only_not_primary_type_evidence
W045,2021,2x2,3,1,1,9,6.4259057917729265,topology_audit_only_not_primary_type_evidence
W045,2022,2x2,3,1,1,9,6.49899145522045,topology_audit_only_not_primary_type_evidence
W045,2023,2x2,2,1,0,8,5.168331696494893,topology_audit_only_not_primary_type_evidence
W045,1979,2x3,0,0,0,9,2.472106495033126,topology_audit_only_not_primary_type_evidence
W045,1980,2x3,3,1,0,9,4.857800112407711,topology_audit_only_not_primary_type_evidence
W045,1981,2x3,0,0,0,9,4.410975675011293,topology_audit_only_not_primary_type_evidence
W045,1982,2x3,1,0,1,7,5.6626351209421735,topology_audit_only_not_primary_type_evidence
W045,1983,2x3,4,1,1,9,4.458945949982004,topology_audit_only_not_primary_type_evidence
W045,1984,2x3,0,0,0,9,4.736099867288204,topology_audit_only_not_primary_type_evidence
W045,1985,2x3,1,0,1,7,5.886871208389136,topology_audit_only_not_primary_type_evidence
W045,1986,2x3,4,1,1,9,5.409856834608396,topology_audit_only_not_primary_type_evidence
W045,1987,2x3,3,1,0,9,3.6028660551520737,topology_audit_only_not_primary_type_evidence
W045,1988,2x3,1,0,1,7,5.700221339961681,topology_audit_only_not_primary_type_evidence
W045,1989,2x3,0,0,0,9,4.146727255535755,topology_audit_only_not_primary_type_evidence
W045,1990,2x3,4,1,1,9,2.496787577759094,topology_audit_only_not_primary_type_evidence
W045,1991,2x3,3,1,0,9,6.453972494141542,topology_audit_only_not_primary_type_evidence
W045,1992,2x3,5,1,2,5,6.750220213543557,topology_audit_only_not_primary_type_evidence
W045,1993,2x3,5,1,2,5,4.242155157377647,topology_audit_only_not_primary_type_evidence
W045,1994,2x3,0,0,0,9,3.704887057625312,topology_audit_only_not_primary_type_evidence
W045,1995,2x3,0,0,0,9,2.7224497087356534,topology_audit_only_not_primary_type_evidence
W045,1996,2x3,0,0,0,9,4.6279091627014575,topology_audit_only_not_primary_type_evidence
