window_id,component,explained_variance_ratio
W045,1,0.14161645603703912
W045,2,0.12519897008574069
W045,3,0.11275204996698786
W045,4,0.08073148487741194
W045,5,0.0778725709570779
W045,6,0.06747118037491144
W045,7,0.05464177415834587
W045,8,0.05112413030869059
