lineage_id,lineage_day,lineage_status,lineage_strict_accepted_flag,object_a,object_b,sensitivity_group,n_configs,n_valid_configs,baseline_order_tau2,n_same_as_reference_tau2,n_order_changed_tau2,n_reversed_order_tau2,n_near_tie_tau2,frac_same_order_tau2,frac_reversed_order_tau2,frac_near_tie_tau2,frac_missing,order_stability_class_tau2
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,baseline,1,1,A_BEFORE_B,1,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,bootstrap_match_radius,2,2,A_BEFORE_B,2,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,candidate_band,6,6,A_BEFORE_B,6,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,detector_penalty,2,2,A_BEFORE_B,2,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,detector_width,2,2,A_BEFORE_B,2,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,local_peak_distance,2,2,A_BEFORE_B,2,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,smooth5_bootstrap_match_radius,2,2,A_BEFORE_B,2,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,smooth5_candidate_band,6,6,A_BEFORE_B,6,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,smooth5_detector_penalty,2,2,A_BEFORE_B,2,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,smooth5_detector_width,2,2,A_BEFORE_B,2,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
J018_W001,18,derived_non_strict_candidate_window,False,H,Je,smooth5_local_peak_distance,2,2,A_BEFORE_B,2,0,0,0,1.0,0.0,0.0,0.0,ORDER_STABLE
