lineage_id,lineage_day,lineage_status,lineage_strict_accepted_flag,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,input_source,assigned_objects,n_assigned_objects,object_order_sequence,object_order_sequence_tau2_grouped,n_near_tie_groups_tau2,reference_order_sequence_tau2_grouped,sequence_changed_from_reference_tau2,sequence_change_type
J018_W001,18,derived_non_strict_candidate_window,False,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@18 < H@19 < Je@26 < Jw@41,V@16≈P@18 < H@19 < Je@26 < Jw@41,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,False,UNCHANGED
J018_W001,18,derived_non_strict_candidate_window,False,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,baseline_smooth9,P;V;H;Je;Jw,5,V@16 < P@17 < H@19 < Je@26 < Jw@42,V@16≈P@17 < H@19 < Je@26 < Jw@42,4,V@16≈P@18 < H@19 < Je@26 < Jw@41,True,ORDER_OR_NEAR_TIE_GROUP_CHANGED
