window_id,object_A,object_B,raw_profile_window_family,state_distance_family,state_pattern_family,growth_distance_family,growth_pattern_family,profile_2d_mirror_family,selected_window_overlap_fraction,co_transition_veto,final_structure_class,evidence_level
W045,H,Je,unresolved,A_tendency,B_supported,unresolved,B_supported,not_run,0.47619047619047616,False,B_layer_specific_front_or_lead_candidate,Level4_window_or_curve_supported
W045,H,Jw,unresolved,A_supported,unresolved,A_supported,unresolved,not_run,0.7142857142857143,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
W045,H,P,unresolved,A_supported,unresolved,A_tendency,A_tendency,not_run,0.5238095238095238,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
W045,H,V,unresolved,A_supported,A_tendency,A_tendency,A_supported,not_run,0.5238095238095238,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
W045,Je,Jw,unresolved,A_supported,A_supported,A_supported,A_tendency,not_run,0.7619047619047619,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
W045,Je,P,unresolved,A_tendency,A_tendency,A_tendency,A_supported,not_run,0.9523809523809523,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
W045,Je,V,unresolved,A_tendency,A_supported,A_tendency,A_supported,not_run,0.9523809523809523,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
W045,Jw,P,unresolved,B_supported,unresolved,B_tendency,A_tendency,not_run,0.8095238095238095,True,co_transition_with_B_curve_tendency,Level2_curve_tendency_only
W045,Jw,V,unresolved,B_tendency,A_tendency,B_tendency,A_supported,not_run,0.8095238095238095,True,co_transition,Level3_window_overlap
W045,P,V,unresolved,A_tendency,A_supported,unresolved,A_tendency,not_run,1.0,True,co_transition_with_A_curve_tendency,Level2_curve_tendency_only
