object,candidate_id,point_day,n_matched_or_near,return_day_median,return_day_q02_5,return_day_q10,return_day_q90,return_day_q97_5,return_day_width80,return_day_width95
H,CP001,38,1000,38.0,36.0,36.0,39.0,40.0,3.0,4.0
H,CP002,48,851,49.0,40.0,47.0,56.0,56.0,9.0,16.0
H,CP003,58,763,56.0,50.0,51.0,58.0,59.0,7.0,9.0
Jw,CP001,16,715,18.0,15.0,15.0,21.0,23.0,6.0,8.0
Jw,CP002,40,995,40.0,33.0,37.0,44.0,46.0,7.0,13.0
