object,day,profile_score
H,14,0.02352251356069187
H,15,0.021369403089140558
H,16,0.01901051151148167
H,17,0.016834479923966528
H,18,0.014782687643829732
H,19,0.012693208147578215
H,20,0.010166061098256114
H,21,0.007262596987392183
H,22,0.004543109313784843
H,23,0.002807995863900436
H,24,0.0021758422395432957
H,25,0.0023014094131464866
H,26,0.0027925568074292674
H,27,0.003701340481065735
H,28,0.00578345866831775
H,29,0.010288430936570704
H,30,0.019696514281494708
H,31,0.0382020017228671
H,32,0.06953653359404824
H,33,0.11331639615354942
H,34,0.16542238905417952
H,35,0.2174509194504356
H,36,0.2586965521157521
H,37,0.2815902928630114
H,38,0.2829520409536668
H,39,0.26197576229634106
H,40,0.21921425411590456
H,41,0.16087609539243602
H,42,0.10182418189509687
H,43,0.053883603108905456
H,44,0.022523038882095336
H,45,0.008382543543508592
H,46,0.00613436869349572
H,47,0.007956952749124044
H,48,0.008775803099103918
H,49,0.008062176714179838
H,50,0.0072276196333976445
H,51,0.00800494886694781
H,52,0.011423540589436731
H,53,0.017983776240406285
H,54,0.028631903107652
H,55,0.041974583686093664
H,56,0.054239636182570106
H,57,0.06131966796223388
H,58,0.06265965540176067
H,59,0.060811803846834586
H,60,0.058663580701701204
Jw,14,3.586855260610706
Jw,15,3.701005124705545
Jw,16,3.7548200096440065
Jw,17,3.7153899505385333
Jw,18,3.6402238384756433
Jw,19,3.480171270756782
Jw,20,3.0498438744215712
Jw,21,2.554203878670338
Jw,22,2.1694568187748167
Jw,23,1.937320622302601
Jw,24,1.821210691561372
Jw,25,1.7732869803245022
Jw,26,1.8332489759737576
Jw,27,2.0054085300544315
Jw,28,2.389350056916682
Jw,29,3.04345490143704
Jw,30,4.110896577621032
Jw,31,5.325420028195762
Jw,32,6.364920932732863
Jw,33,7.162513743630211
Jw,34,7.976484539901606
Jw,35,9.03483307341839
Jw,36,10.364011258371288
Jw,37,11.984378873415901
Jw,38,13.351965293721
Jw,39,14.207163093560128
Jw,40,14.495777682247253
Jw,41,14.376974589219275
Jw,42,13.969219853541329
Jw,43,13.278561448000127
Jw,44,12.21718292078165
Jw,45,10.992113704581824
Jw,46,9.75921360823545
Jw,47,8.551066424548871
Jw,48,7.6869311086505645
Jw,49,7.084793449248562
Jw,50,6.471029102785096
Jw,51,5.77535959723233
Jw,52,5.069657720547692
Jw,53,4.370299514303411
Jw,54,3.660321975998149
Jw,55,3.0532723170326257
Jw,56,2.528945423394747
Jw,57,2.1530660034279925
Jw,58,1.8957143659174904
Jw,59,1.731940993782058
Jw,60,1.668274068263899
