object,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days
H,CP001,38,0.981,1.0,0.0,0.0,0.30116963314946477,1.0
H,CP002,48,0.514,0.62,0.231,0.149,0.05213239454277221,2.0
H,CP003,58,0.464,0.609,0.154,0.237,0.0744165413874189,3.0
Jw,CP001,16,0.405,0.645,0.07,0.285,5.720322117680757,3.0
Jw,CP002,40,0.692,0.921,0.074,0.005,16.669626703910605,2.0
