object,feature_index,lat_value,input_type,n_valid_days_shape_pattern,mean_shape_pattern_value,std_shape_pattern_value
H,0,15.0,shape_normalized_profile,175,0.313275133610292,0.5754809442723845
H,1,17.0,shape_normalized_profile,175,0.34934986446900956,0.5533828464346602
H,2,19.0,shape_normalized_profile,175,0.3932050510235457,0.49508785971742564
H,3,21.0,shape_normalized_profile,175,0.440013217287577,0.3906143438711976
H,4,23.0,shape_normalized_profile,175,0.4667160784924265,0.26290127097595717
H,5,25.0,shape_normalized_profile,175,0.4449607525064318,0.20427034014887513
H,6,27.0,shape_normalized_profile,175,0.33331681176414185,0.321172816531415
H,7,29.0,shape_normalized_profile,175,0.09067957654668711,0.4880682861287031
H,8,31.0,shape_normalized_profile,175,-0.3209537854436091,0.60738599923455
H,9,33.0,shape_normalized_profile,175,-0.9334319682318684,0.6319997155709757
H,10,35.0,shape_normalized_profile,175,-1.741143920826573,0.5884571934249244
Jw,0,25.0,shape_normalized_profile,175,-1.294982317727288,0.8442340197310756
Jw,1,27.0,shape_normalized_profile,175,-0.8156667054292,0.8463235968883817
Jw,2,29.0,shape_normalized_profile,175,-0.40382878215836154,0.7193624259993978
Jw,3,31.0,shape_normalized_profile,175,-0.11398770862069577,0.45063598123675686
Jw,4,33.0,shape_normalized_profile,175,0.11654297503116832,0.2924743423449409
Jw,5,35.0,shape_normalized_profile,175,0.3559137129533518,0.4059035549954784
Jw,6,37.0,shape_normalized_profile,175,0.567930089415817,0.4946041361768314
Jw,7,39.0,shape_normalized_profile,175,0.6620677034797724,0.5403368693272169
Jw,8,41.0,shape_normalized_profile,175,0.5911966859168859,0.5839369597818616
Jw,9,43.0,shape_normalized_profile,175,0.3889868437964331,0.6340360219510506
Jw,10,45.0,shape_normalized_profile,175,0.1422969349752371,0.6723575017720366
