object,replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
H,18,bootstrap,18,CP001,38,05-09,37,0.3497200628891718,0.3414555111579096,-1,1,strict
H,18,bootstrap,18,CP002,48,05-19,51,0.01597736752120983,0.00046932384678580186,3,3,matched
H,18,bootstrap,18,CP003,58,05-29,51,0.01597736752120983,0.00046932384678580186,-7,7,near
H,19,bootstrap,19,CP001,38,05-09,37,0.20783324240561452,0.19444050765821735,-1,1,strict
H,19,bootstrap,19,CP002,48,05-19,47,0.020588476109781862,0.007108374458487391,-1,1,strict
H,19,bootstrap,19,CP003,58,05-29,47,0.020588476109781862,0.007108374458487391,-11,11,no_match
H,20,bootstrap,20,CP001,38,05-09,42,0.166984312472606,0.1471362830536448,4,4,matched
H,20,bootstrap,20,CP002,48,05-19,42,0.166984312472606,0.1471362830536448,-6,6,near
H,20,bootstrap,20,CP003,58,05-29,58,0.02903269398328096,0.005498789735403197,0,0,strict
H,21,bootstrap,21,CP001,38,05-09,37,0.7193527825826467,0.7126014917963484,-1,1,strict
H,21,bootstrap,21,CP002,48,05-19,50,0.13324193835224807,0.12418666526107694,2,2,strict
H,21,bootstrap,21,CP003,58,05-29,50,0.13324193835224807,0.12418666526107694,-8,8,near
H,22,bootstrap,22,CP001,38,05-09,36,0.2788383624150466,0.27040949936631586,-2,2,strict
H,22,bootstrap,22,CP002,48,05-19,47,0.04620161593498642,0.036919876286441305,-1,1,strict
H,22,bootstrap,22,CP003,58,05-29,56,0.10925864557512088,0.053377948079574966,-2,2,strict
H,23,bootstrap,23,CP001,38,05-09,38,0.27585673379277903,0.26385730454177664,0,0,strict
H,23,bootstrap,23,CP002,48,05-19,47,0.01624719659003676,0.0010564940781590398,-1,1,strict
H,23,bootstrap,23,CP003,58,05-29,56,0.04919175557314759,0.016623139307586736,-2,2,strict
H,24,bootstrap,24,CP001,38,05-09,36,0.3704162594893986,0.3616804188895687,-2,2,strict
H,24,bootstrap,24,CP002,48,05-19,46,0.008844324161795869,0.0013981566521249628,-2,2,strict
H,24,bootstrap,24,CP003,58,05-29,57,0.23189607915699828,0.09581562433490493,-1,1,strict
H,25,bootstrap,25,CP001,38,05-09,36,0.2218678120907321,0.21595703926590798,-2,2,strict
H,25,bootstrap,25,CP002,48,05-19,46,0.039333233168480086,0.033297442355463586,-2,2,strict
H,25,bootstrap,25,CP003,58,05-29,55,0.1386570787709515,0.06672434940652486,-3,3,matched
H,26,bootstrap,26,CP001,38,05-09,38,0.2625946662581549,0.25800907118653077,0,0,strict
H,26,bootstrap,26,CP002,48,05-19,47,0.007561432056804165,0.0007257926854332686,-1,1,strict
H,26,bootstrap,26,CP003,58,05-29,56,0.07843953770498684,0.04492145235799862,-2,2,strict
H,27,bootstrap,27,CP001,38,05-09,37,0.2944876554523983,0.2826266115766547,-1,1,strict
H,27,bootstrap,27,CP002,48,05-19,46,0.01337384104384913,0.0003635014582942797,-2,2,strict
H,27,bootstrap,27,CP003,58,05-29,56,0.19108241523052333,0.07730319382710825,-2,2,strict
H,28,bootstrap,28,CP001,38,05-09,38,0.2374655464320242,0.22692704905276004,0,0,strict
H,28,bootstrap,28,CP002,48,05-19,54,0.04345689804066441,0.006167796235030193,6,6,near
