window_id,target_pair,target_set,min_corr_without_year,max_abs_delta_corr,worst_left_out_year,min_loading_corr,single_year_dominated_flag
W045,P-V,exploratory_full_pair,0.636155060404683,0.055390626886009486,2003,0.9187475782966291,False
W045,P-H,exploratory_full_pair,0.6575011401367313,0.10039062785417474,1991,0.8839133498717187,False
W045,P-Je,exploratory_full_pair,0.6814599629708119,0.04656942010318177,2003,0.931805090809849,False
W045,P-Jw,priority,0.7417027606813756,0.030475742796561622,2015,0.9657795400616987,False
W045,V-H,exploratory_full_pair,0.6435207329792906,0.03544110232841746,1988,0.9156662411306262,False
W045,V-Je,exploratory_full_pair,0.6883481928856608,0.027177212495741565,1989,0.9444098860766058,False
W045,V-Jw,priority,0.7617409620354417,0.01930622372192181,2022,0.9580268568211828,False
W045,H-Je,exploratory_full_pair,0.7038619545865887,0.04558622020003378,2020,0.9342336167806976,False
W045,H-Jw,exploratory_full_pair,0.7114756252134992,0.03344322375672781,2003,0.9359800342415164,False
W045,Je-Jw,priority,0.6857310542497719,0.031226047321779693,1983,0.9579158981254582,False
