window_id,anchor_day,field,feature_index,lat_value,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,left_out_year_index,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label,near_left_boundary,near_right_boundary
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,0,0.35048992408870405,0.10168425378726853,0.027300289884218468,5.4346034665353145,clear_separation,36.0,38.0,40.0,5.0,0.8614612526940121,1,1,1,monotonic_clear_progress,False,False
W002,45,H,1,17.0,40,48,30,60,30,37,53,60,0,0.3348425442322164,0.08231343166287225,0.021693181971993936,6.438870231873949,clear_separation,36.0,39.0,45.0,10.0,0.9226673746552301,1,1,1,monotonic_clear_progress,False,False
W002,45,H,2,19.0,40,48,30,60,30,37,53,60,0,0.10485991968867958,0.0405359498670369,0.04810425262777186,2.3659675121444983,clear_separation,34.0,45.0,45.0,12.0,0.7246275451342552,3,5,3,nonmonotonic_progress,False,False
W002,45,H,3,21.0,40,48,30,60,30,37,53,60,0,0.5290287385714503,0.0659494093979299,0.10105118471830835,6.335650976150326,clear_separation,37.0,38.0,41.0,5.0,0.7820111631042748,1,3,3,nonmonotonic_progress,False,False
W002,45,H,4,23.0,40,48,30,60,30,37,53,60,0,0.8465379748829813,0.12474478968310257,0.0948967759273171,7.7083585934438785,clear_separation,37.0,39.0,43.0,7.0,0.9040494871002014,1,1,3,nonmonotonic_progress,False,False
W002,45,H,5,25.0,40,48,30,60,30,37,53,60,0,0.7728989840416953,0.12527176549814711,0.0735487483592821,7.774841428969981,clear_separation,37.0,39.0,43.0,7.0,0.9230326169900862,1,1,3,nonmonotonic_progress,False,False
W002,45,H,6,27.0,40,48,30,60,30,37,53,60,0,0.6609885846922336,0.11442869953633009,0.05699366923258612,7.711812518184943,clear_separation,37.0,39.0,43.0,7.0,0.9288327199869525,1,1,3,nonmonotonic_progress,False,False
W002,45,H,7,29.0,40,48,30,60,30,37,53,60,0,0.5596032340541524,0.10245838243497488,0.044756981790628036,7.60251128664771,clear_separation,37.0,39.0,51.0,15.0,0.9386099213959423,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,31.0,40,48,30,60,30,37,53,60,0,0.49187999092119394,0.09270720516349518,0.038615781508647765,7.491148402552186,clear_separation,37.0,39.0,52.0,16.0,0.9547797951849697,1,1,1,monotonic_clear_progress,False,False
W002,45,H,9,33.0,40,48,30,60,30,37,53,60,0,0.46583485301871785,0.08452065646203026,0.03738446800005156,7.6425803273917605,clear_separation,37.0,42.0,52.0,16.0,0.9690606503952195,1,3,1,nonmonotonic_progress,False,False
W002,45,H,10,35.0,40,48,30,60,30,37,53,60,0,0.47386316751707414,0.07614834385110597,0.038468249241890254,8.268666075675938,clear_separation,37.0,49.0,52.0,16.0,0.9741757080075223,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,1,0.30387445904099597,0.09546292812331861,0.026014122744247303,5.002993682605555,clear_separation,35.0,37.0,39.0,5.0,0.8468943596960034,1,1,3,nonmonotonic_progress,False,False
W002,45,H,1,17.0,40,48,30,60,30,37,53,60,1,0.29403575342021493,0.0751021213660921,0.01939114697843651,6.2234222302887865,clear_separation,36.0,39.0,48.0,13.0,0.9513646392189067,1,3,3,nonmonotonic_progress,False,False
W002,45,H,2,19.0,40,48,30,60,30,37,53,60,1,0.07749079999243458,0.032124873217570876,0.04213008838943702,2.087154805909539,clear_separation,34.0,47.0,47.0,14.0,0.6404374142907405,5,5,3,nonmonotonic_progress,False,False
W002,45,H,3,21.0,40,48,30,60,30,37,53,60,1,0.5148622617970301,0.07519618733215362,0.09179187360684876,6.16645595973395,clear_separation,37.0,38.0,40.0,4.0,0.7724791865077879,1,1,3,nonmonotonic_progress,False,False
W002,45,H,4,23.0,40,48,30,60,30,37,53,60,1,0.8157914575647496,0.1308894259836021,0.08931038681124842,7.4095563225330565,clear_separation,37.0,39.0,42.0,6.0,0.8908132914363983,1,1,3,nonmonotonic_progress,False,False
W002,45,H,5,25.0,40,48,30,60,30,37,53,60,1,0.7432645529109855,0.12797574117503363,0.0709604217179853,7.472392571512654,clear_separation,37.0,39.0,42.0,6.0,0.9157868630670865,1,1,3,nonmonotonic_progress,False,False
W002,45,H,6,27.0,40,48,30,60,30,37,53,60,1,0.6336507174047201,0.11454176839344588,0.05620656446550066,7.422042801679949,clear_separation,37.0,39.0,43.0,7.0,0.9252013634644815,1,1,3,nonmonotonic_progress,False,False
W002,45,H,7,29.0,40,48,30,60,30,37,53,60,1,0.537291754024914,0.10184885588991117,0.04548494827792675,7.2935299139572205,clear_separation,36.0,39.0,51.0,16.0,0.9371918273047745,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,31.0,40,48,30,60,30,37,53,60,1,0.47521577024108463,0.09284279312773573,0.04068850482801219,7.117668704028516,clear_separation,36.0,39.0,52.0,17.0,0.95180782727268,1,1,1,monotonic_clear_progress,False,False
W002,45,H,9,33.0,40,48,30,60,30,37,53,60,1,0.45258952132112085,0.08564016546894923,0.04135437229843719,7.127700596745241,clear_separation,37.0,49.0,52.0,16.0,0.9601784630232056,1,1,1,monotonic_clear_progress,False,False
W002,45,H,10,35.0,40,48,30,60,30,37,53,60,1,0.46160127219838687,0.07807134575024209,0.04298035575069399,7.626514397853232,clear_separation,37.0,50.0,53.0,17.0,0.9607576149360609,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,2,0.38138110954276283,0.08686196442501079,0.025991983596804588,6.758843907920362,clear_separation,36.0,39.0,48.0,13.0,0.9377596706524202,1,1,3,nonmonotonic_progress,False,False
W002,45,H,1,17.0,40,48,30,60,30,37,53,60,2,0.3717203691200789,0.06192871160960467,0.018955699772595577,9.191397025921605,clear_separation,38.0,45.0,48.0,11.0,0.975292880384318,1,1,1,monotonic_clear_progress,False,False
W002,45,H,2,19.0,40,48,30,60,30,37,53,60,2,0.14841597525918648,0.02434575491355151,0.04290069162906826,4.4140912385819115,clear_separation,46.0,46.0,47.0,2.0,0.79917867736477,1,1,3,nonmonotonic_progress,False,False
W002,45,H,3,21.0,40,48,30,60,30,37,53,60,2,0.47251071038110165,0.10714407189464983,0.09361734872822691,4.707186359913134,clear_separation,36.0,37.0,38.0,3.0,0.6526887159582093,1,3,3,nonmonotonic_progress,False,False
W002,45,H,4,23.0,40,48,30,60,30,37,53,60,2,0.8106963263389836,0.15063529489532743,0.08952481875638117,6.7512986565949245,clear_separation,37.0,38.0,40.0,4.0,0.8498845795308972,1,1,3,nonmonotonic_progress,False,False
W002,45,H,5,25.0,40,48,30,60,30,37,53,60,2,0.7587686403024582,0.13768180979268652,0.07041403057710867,7.2924921415709365,clear_separation,37.0,39.0,42.0,6.0,0.8988942291946996,1,1,3,nonmonotonic_progress,False,False
W002,45,H,6,27.0,40,48,30,60,30,37,53,60,2,0.6562921026913296,0.12032828983896027,0.05520395464068392,7.47773840218809,clear_separation,37.0,39.0,42.0,6.0,0.9175877421570725,1,1,3,nonmonotonic_progress,False,False
W002,45,H,7,29.0,40,48,30,60,30,37,53,60,2,0.5602405534411342,0.10518946145108674,0.04502236828315055,7.45933997907997,clear_separation,36.0,39.0,51.0,16.0,0.9354913644314969,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,31.0,40,48,30,60,30,37,53,60,2,0.4962479832184157,0.09429883393779721,0.04098736402308638,7.336269193618164,clear_separation,36.0,39.0,51.0,16.0,0.9570333639327679,1,1,1,monotonic_clear_progress,False,False
W002,45,H,9,33.0,40,48,30,60,30,37,53,60,2,0.4734459160500296,0.08585892726178476,0.04254876344447665,7.374105296008868,clear_separation,37.0,49.0,52.0,16.0,0.9723444500955342,1,1,1,monotonic_clear_progress,False,False
W002,45,H,10,35.0,40,48,30,60,30,37,53,60,2,0.4838731050833964,0.07816370396265522,0.04548376584353455,7.8266559895485575,clear_separation,37.0,49.0,52.0,16.0,0.9742505084201011,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,3,0.30811772234269574,0.09693301355382361,0.034487169088072755,4.689047239838177,clear_separation,35.0,37.0,40.0,6.0,0.8456277867890434,1,1,5,nonmonotonic_progress,False,False
W002,45,H,1,17.0,40,48,30,60,30,37,53,60,3,0.298342452649647,0.08202790245230734,0.0203436323632947,5.828621270184359,clear_separation,35.0,39.0,46.0,12.0,0.929843319942301,1,1,3,nonmonotonic_progress,False,False
W002,45,H,2,19.0,40,48,30,60,30,37,53,60,3,0.06985976100671332,0.050312307631175016,0.03553228574674708,1.6275867414861,clear_separation,34.0,34.0,35.0,2.0,0.5796928746192526,7,5,5,nonmonotonic_progress,False,False
W002,45,H,3,21.0,40,48,30,60,30,37,53,60,3,0.5481085236702631,0.05511860712319787,0.07729638066971252,8.27864779958588,clear_separation,37.0,39.0,41.0,5.0,0.8495923832409411,1,3,3,nonmonotonic_progress,False,False
W002,45,H,4,23.0,40,48,30,60,30,37,53,60,3,0.8463122693006488,0.11526556731119836,0.08126294187666615,8.612615775587384,clear_separation,37.0,39.0,52.0,16.0,0.9228726861820425,1,1,1,monotonic_clear_progress,False,False
W002,45,H,5,25.0,40,48,30,60,30,37,53,60,3,0.7634945275937013,0.11706971809794497,0.06716417272693649,8.288317900327383,clear_separation,37.0,39.0,51.0,15.0,0.9363430100320725,1,1,1,monotonic_clear_progress,False,False
W002,45,H,6,27.0,40,48,30,60,30,37,53,60,3,0.646478890425743,0.10730997843439895,0.05437037630110091,7.99699990113641,clear_separation,37.0,39.0,51.0,15.0,0.9418733796396214,1,1,1,monotonic_clear_progress,False,False
W002,45,H,7,29.0,40,48,30,60,30,37,53,60,3,0.5444057832745252,0.09595994875873427,0.04504785318707802,7.721640586611121,clear_separation,37.0,39.0,51.0,15.0,0.9515833015430073,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,31.0,40,48,30,60,30,37,53,60,3,0.47751113354975216,0.08697175455180572,0.04224307917796903,7.390964640189434,clear_separation,37.0,40.0,52.0,16.0,0.9649173269042038,1,1,1,monotonic_clear_progress,False,False
W002,45,H,9,33.0,40,48,30,60,30,37,53,60,3,0.4514362993822266,0.07974001858520594,0.04391279314532462,7.301674633306585,clear_separation,37.0,49.0,52.0,16.0,0.9718635158846515,1,1,1,monotonic_clear_progress,False,False
W002,45,H,10,35.0,40,48,30,60,30,37,53,60,3,0.4573914408236016,0.07296727525110253,0.04593136593843092,7.693804340232807,clear_separation,37.0,50.0,53.0,17.0,0.9685889328228333,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,4,0.303690327635616,0.09428532573033488,0.029699034978878658,4.898848949876455,clear_separation,35.0,38.0,40.0,6.0,0.831041739120195,1,1,3,nonmonotonic_progress,False,False
W002,45,H,1,17.0,40,48,30,60,30,37,53,60,4,0.28631512736586373,0.0694038925639705,0.016486789241672795,6.666965993053392,clear_separation,36.0,40.0,46.0,11.0,0.9364316654624112,1,1,3,nonmonotonic_progress,False,False
W002,45,H,2,19.0,40,48,30,60,30,37,53,60,4,0.04756800153805796,0.027203566358231818,0.035222080264188396,1.5239890689237936,clear_separation,33.0,34.0,46.0,14.0,0.4842539746740915,5,5,5,nonmonotonic_progress,False,False
W002,45,H,3,21.0,40,48,30,60,30,37,53,60,4,0.5766799137381895,0.10217333828737891,0.08340006610745619,6.215113804831664,clear_separation,37.0,38.0,39.0,3.0,0.776203574418868,1,3,5,nonmonotonic_progress,False,False
W002,45,H,4,23.0,40,48,30,60,30,37,53,60,4,0.864515543554873,0.1525770343735331,0.08538586608388714,7.265969122798607,clear_separation,37.0,38.0,41.0,5.0,0.882937375334607,1,1,3,nonmonotonic_progress,False,False
