window_id,anchor_day,field,feature_index,lat_value,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,day,relative_to_anchor,raw_progress,progress
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,30,-15,-0.4915880898300722,0.0
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,31,-14,-0.3849252716568091,0.0
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,32,-13,-0.2578538224884513,0.0
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,33,-12,-0.07343086484082104,0.0
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,34,-11,0.08766777890994439,0.08766777890994439
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,35,-10,0.24854147298985477,0.24854147298985477
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,36,-9,0.373242029421732,0.373242029421732
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,37,-8,0.49834676749462586,0.49834676749462586
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,38,-7,0.629676031645362,0.629676031645362
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,39,-6,0.7508042578820361,0.7508042578820361
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,40,-5,0.860707559809284,0.860707559809284
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,41,-4,0.9027921104196704,0.9027921104196704
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,42,-3,0.8883818803167801,0.8883818803167801
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,43,-2,0.8537654394824944,0.8537654394824944
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,44,-1,0.7944627299346742,0.7944627299346742
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,45,0,0.7930851265745826,0.7930851265745826
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,46,1,0.7798831885888026,0.7798831885888026
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,47,2,0.7913617540637168,0.7913617540637168
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,48,3,0.8362982403529827,0.8362982403529827
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,49,4,0.8228183348320437,0.8228183348320437
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,50,5,0.7720759509319826,0.7720759509319826
W002,45,H,0,15.0,40,48,30,60,30,37,53,60,51,6,0.7066787779090817,0.7066787779090817
