map_kind,window,v_index,lag_label,lag,region,n_samples,region_mean_R2_map,region_integrated_R2_map,n_valid_grid,region_mean_beta_map,positive_beta_area_fraction,sign_consistent_beta_area_fraction,region_mean_partial_R2_map
simple_R2,S3,V_strength,lag0,0.0,main_meiyu,900.0,0.03076576833600225,121.50689046586989,4545,0.5185492456533417,0.6992299229922992,0.6992299229922992,
simple_R2,S3,V_strength,lag0,0.0,south_china,900.0,0.015358566744028999,25.26195710105531,1769,-0.15103470271495953,0.570944036178632,0.429055963821368,
simple_R2,S3,V_strength,lag0,0.0,scs,900.0,0.05751551516186861,229.7497689875181,4141,-0.9943370407621345,0.35112291716976574,0.6488770828302343,
simple_R2,S3,V_strength,lag0,0.0,south_china_scs,900.0,0.058342260868146076,341.79964919492977,6161,-0.9649440088112579,0.3658496997240708,0.6341503002759292,
simple_R2,S3,V_strength,lag0,0.0,north_northeast,900.0,0.012950696969344073,58.653358119617934,6161,0.3735932023424601,0.8292484986203539,0.8292484986203539,
simple_R2,S3,V_strength,lag0,0.0,main_easm_domain,900.0,0.039725808641520734,765.0353951242556,22701,-0.2543689059544675,0.5799744504647373,0.4200255495352628,
simple_R2,S3,V_strength,lag1,1.0,main_meiyu,900.0,0.03626842638037615,143.23918920018966,4545,0.4670629895724573,0.684048404840484,0.684048404840484,
simple_R2,S3,V_strength,lag1,1.0,south_china,900.0,0.020875655716012402,34.336532043872445,1769,-0.44137745471171025,0.3894855850763143,0.6105144149236857,
simple_R2,S3,V_strength,lag1,1.0,scs,900.0,0.0617121046427291,246.51334071333244,4141,-1.1757402783634603,0.2678097078000483,0.7321902921999517,
simple_R2,S3,V_strength,lag1,1.0,south_china_scs,900.0,0.06587866179181547,385.95184956515857,6161,-1.1797783097319101,0.2747930530757994,0.7252069469242006,
simple_R2,S3,V_strength,lag1,1.0,north_northeast,900.0,0.014448268089905493,65.43581743063487,6161,0.40399141705827146,0.8506735919493589,0.8506735919493589,
simple_R2,S3,V_strength,lag1,1.0,main_easm_domain,900.0,0.04268614259470329,822.0451913504218,22701,-0.3130183131401053,0.5680366503678252,0.4319633496321748,
simple_R2,S3,V_strength,lag2,2.0,main_meiyu,900.0,0.037678302065891525,148.80737812430448,4545,0.3830524403900325,0.6745874587458746,0.6745874587458746,
simple_R2,S3,V_strength,lag2,2.0,south_china,900.0,0.028622775355229946,47.07908851052598,1769,-0.7599358810235857,0.18315432447710572,0.8168456755228943,
simple_R2,S3,V_strength,lag2,2.0,scs,900.0,0.0574948174534131,229.66709053592393,4141,-1.2041300990081891,0.21444095629075102,0.785559043709249,
simple_R2,S3,V_strength,lag2,2.0,south_china_scs,900.0,0.06419755953039245,376.1030683443932,6161,-1.2623152691014194,0.19201428339555268,0.8079857166044473,
simple_R2,S3,V_strength,lag2,2.0,north_northeast,900.0,0.014281830631704915,64.6820266606504,6161,0.3972160613238035,0.8570037331602013,0.8570037331602013,
simple_R2,S3,V_strength,lag2,2.0,main_easm_domain,900.0,0.04040797413263605,778.172465554839,22701,-0.34061694249403046,0.5427073697193956,0.4572926302806044,
simple_R2,S3,V_strength,lag3,3.0,main_meiyu,900.0,0.035865783038880175,141.64898219291945,4545,0.3006913143859756,0.6686468646864686,0.6686468646864686,
simple_R2,S3,V_strength,lag3,3.0,south_china,900.0,0.036511232584716606,60.05411876211346,1769,-1.012384483106681,0.08818541548897682,0.9118145845110232,
simple_R2,S3,V_strength,lag3,3.0,scs,900.0,0.04846126220339387,193.58191897853035,4141,-1.1069038746952495,0.21178459309345568,0.7882154069065443,
