window,v_index,lag,map_r2_key,map_beta_key,n_samples,n_years,target_day_min,target_day_max,source_day_min,source_day_max
S3,V_strength,0,S3__V_strength__lag0__r2,S3__V_strength__lag0__beta,900,45,87,106,87,106
S3,V_strength,1,S3__V_strength__lag1__r2,S3__V_strength__lag1__beta,900,45,87,106,86,105
S3,V_strength,2,S3__V_strength__lag2__r2,S3__V_strength__lag2__beta,900,45,87,106,85,104
S3,V_strength,3,S3__V_strength__lag3__r2,S3__V_strength__lag3__beta,900,45,87,106,84,103
S3,V_strength,4,S3__V_strength__lag4__r2,S3__V_strength__lag4__beta,900,45,87,106,83,102
S3,V_strength,5,S3__V_strength__lag5__r2,S3__V_strength__lag5__beta,900,45,87,106,82,101
S3,V_NS_diff,0,S3__V_NS_diff__lag0__r2,S3__V_NS_diff__lag0__beta,900,45,87,106,87,106
S3,V_NS_diff,1,S3__V_NS_diff__lag1__r2,S3__V_NS_diff__lag1__beta,900,45,87,106,86,105
S3,V_NS_diff,2,S3__V_NS_diff__lag2__r2,S3__V_NS_diff__lag2__beta,900,45,87,106,85,104
S3,V_NS_diff,3,S3__V_NS_diff__lag3__r2,S3__V_NS_diff__lag3__beta,900,45,87,106,84,103
S3,V_NS_diff,4,S3__V_NS_diff__lag4__r2,S3__V_NS_diff__lag4__beta,900,45,87,106,83,102
S3,V_NS_diff,5,S3__V_NS_diff__lag5__r2,S3__V_NS_diff__lag5__beta,900,45,87,106,82,101
S3,V_pos_centroid_lat,0,S3__V_pos_centroid_lat__lag0__r2,S3__V_pos_centroid_lat__lag0__beta,900,45,87,106,87,106
S3,V_pos_centroid_lat,1,S3__V_pos_centroid_lat__lag1__r2,S3__V_pos_centroid_lat__lag1__beta,900,45,87,106,86,105
S3,V_pos_centroid_lat,2,S3__V_pos_centroid_lat__lag2__r2,S3__V_pos_centroid_lat__lag2__beta,900,45,87,106,85,104
S3,V_pos_centroid_lat,3,S3__V_pos_centroid_lat__lag3__r2,S3__V_pos_centroid_lat__lag3__beta,900,45,87,106,84,103
S3,V_pos_centroid_lat,4,S3__V_pos_centroid_lat__lag4__r2,S3__V_pos_centroid_lat__lag4__beta,900,45,87,106,83,102
S3,V_pos_centroid_lat,5,S3__V_pos_centroid_lat__lag5__r2,S3__V_pos_centroid_lat__lag5__beta,900,45,87,106,82,101
T3_early,V_strength,0,T3_early__V_strength__lag0__r2,T3_early__V_strength__lag0__beta,270,45,107,112,107,112
T3_early,V_strength,1,T3_early__V_strength__lag1__r2,T3_early__V_strength__lag1__beta,270,45,107,112,106,111
T3_early,V_strength,2,T3_early__V_strength__lag2__r2,T3_early__V_strength__lag2__beta,270,45,107,112,105,110
T3_early,V_strength,3,T3_early__V_strength__lag3__r2,T3_early__V_strength__lag3__beta,270,45,107,112,104,109
T3_early,V_strength,4,T3_early__V_strength__lag4__r2,T3_early__V_strength__lag4__beta,270,45,107,112,103,108
T3_early,V_strength,5,T3_early__V_strength__lag5__r2,T3_early__V_strength__lag5__beta,270,45,107,112,102,107
T3_early,V_NS_diff,0,T3_early__V_NS_diff__lag0__r2,T3_early__V_NS_diff__lag0__beta,270,45,107,112,107,112
T3_early,V_NS_diff,1,T3_early__V_NS_diff__lag1__r2,T3_early__V_NS_diff__lag1__beta,270,45,107,112,106,111
T3_early,V_NS_diff,2,T3_early__V_NS_diff__lag2__r2,T3_early__V_NS_diff__lag2__beta,270,45,107,112,105,110
T3_early,V_NS_diff,3,T3_early__V_NS_diff__lag3__r2,T3_early__V_NS_diff__lag3__beta,270,45,107,112,104,109
T3_early,V_NS_diff,4,T3_early__V_NS_diff__lag4__r2,T3_early__V_NS_diff__lag4__beta,270,45,107,112,103,108
T3_early,V_NS_diff,5,T3_early__V_NS_diff__lag5__r2,T3_early__V_NS_diff__lag5__beta,270,45,107,112,102,107
T3_early,V_pos_centroid_lat,0,T3_early__V_pos_centroid_lat__lag0__r2,T3_early__V_pos_centroid_lat__lag0__beta,270,45,107,112,107,112
T3_early,V_pos_centroid_lat,1,T3_early__V_pos_centroid_lat__lag1__r2,T3_early__V_pos_centroid_lat__lag1__beta,270,45,107,112,106,111
T3_early,V_pos_centroid_lat,2,T3_early__V_pos_centroid_lat__lag2__r2,T3_early__V_pos_centroid_lat__lag2__beta,270,45,107,112,105,110
T3_early,V_pos_centroid_lat,3,T3_early__V_pos_centroid_lat__lag3__r2,T3_early__V_pos_centroid_lat__lag3__beta,270,45,107,112,104,109
T3_early,V_pos_centroid_lat,4,T3_early__V_pos_centroid_lat__lag4__r2,T3_early__V_pos_centroid_lat__lag4__beta,270,45,107,112,103,108
T3_early,V_pos_centroid_lat,5,T3_early__V_pos_centroid_lat__lag5__r2,T3_early__V_pos_centroid_lat__lag5__beta,270,45,107,112,102,107
T3_full,V_strength,0,T3_full__V_strength__lag0__r2,T3_full__V_strength__lag0__beta,495,45,107,117,107,117
T3_full,V_strength,1,T3_full__V_strength__lag1__r2,T3_full__V_strength__lag1__beta,495,45,107,117,106,116
T3_full,V_strength,2,T3_full__V_strength__lag2__r2,T3_full__V_strength__lag2__beta,495,45,107,117,105,115
T3_full,V_strength,3,T3_full__V_strength__lag3__r2,T3_full__V_strength__lag3__beta,495,45,107,117,104,114
T3_full,V_strength,4,T3_full__V_strength__lag4__r2,T3_full__V_strength__lag4__beta,495,45,107,117,103,113
T3_full,V_strength,5,T3_full__V_strength__lag5__r2,T3_full__V_strength__lag5__beta,495,45,107,117,102,112
T3_full,V_NS_diff,0,T3_full__V_NS_diff__lag0__r2,T3_full__V_NS_diff__lag0__beta,495,45,107,117,107,117
T3_full,V_NS_diff,1,T3_full__V_NS_diff__lag1__r2,T3_full__V_NS_diff__lag1__beta,495,45,107,117,106,116
T3_full,V_NS_diff,2,T3_full__V_NS_diff__lag2__r2,T3_full__V_NS_diff__lag2__beta,495,45,107,117,105,115
