map_kind,window,v_index,lag_label,lag,region,n_samples,region_mean_R2_map,region_integrated_R2_map,n_valid_grid,region_mean_beta_map,positive_beta_area_fraction,sign_consistent_beta_area_fraction,region_mean_partial_R2_map
lag_minus_tau0_delta_R2,T3_early,V_pos_centroid_lat,positive_lag_max_minus_tau0,,main_easm_domain,,0.00462607888944572,89.0885349370601,22701,,,,
lag_minus_tau0_delta_R2,T3_full,V_strength,positive_lag_max_minus_tau0,,main_meiyu,,0.024524575250164892,96.85780787592651,4545,,,,
lag_minus_tau0_delta_R2,T3_full,V_strength,positive_lag_max_minus_tau0,,south_china,,0.02334955875414576,38.405637805045885,1769,,,,
lag_minus_tau0_delta_R2,T3_full,V_strength,positive_lag_max_minus_tau0,,scs,,0.009280978253526025,37.073520140169904,4141,,,,
lag_minus_tau0_delta_R2,T3_full,V_strength,positive_lag_max_minus_tau0,,south_china_scs,,0.016413940259120977,96.16149492652256,6161,,,,
lag_minus_tau0_delta_R2,T3_full,V_strength,positive_lag_max_minus_tau0,,north_northeast,,0.0011794194832192028,5.341559105757865,6161,,,,
lag_minus_tau0_delta_R2,T3_full,V_strength,positive_lag_max_minus_tau0,,main_easm_domain,,0.01029635778654314,198.28616249577738,22701,,,,
lag_minus_tau0_delta_R2,T3_full,V_NS_diff,positive_lag_max_minus_tau0,,main_meiyu,,0.029682626451658818,117.22911001642461,4545,,,,
lag_minus_tau0_delta_R2,T3_full,V_NS_diff,positive_lag_max_minus_tau0,,south_china,,0.04097056219071427,67.3888782539114,1769,,,,
lag_minus_tau0_delta_R2,T3_full,V_NS_diff,positive_lag_max_minus_tau0,,scs,,0.00229838677514146,9.181067563188654,4141,,,,
lag_minus_tau0_delta_R2,T3_full,V_NS_diff,positive_lag_max_minus_tau0,,south_china_scs,,0.012349870507010986,72.35203682694204,6161,,,,
lag_minus_tau0_delta_R2,T3_full,V_NS_diff,positive_lag_max_minus_tau0,,north_northeast,,0.002476342597697154,11.215288995905874,6161,,,,
lag_minus_tau0_delta_R2,T3_full,V_NS_diff,positive_lag_max_minus_tau0,,main_easm_domain,,0.008808932880032464,169.64149194070887,22701,,,,
lag_minus_tau0_delta_R2,T3_full,V_pos_centroid_lat,positive_lag_max_minus_tau0,,main_meiyu,,0.014729417499723167,58.17263197261303,4545,,,,
lag_minus_tau0_delta_R2,T3_full,V_pos_centroid_lat,positive_lag_max_minus_tau0,,south_china,,0.007774147339517689,12.78701195634224,1769,,,,
lag_minus_tau0_delta_R2,T3_full,V_pos_centroid_lat,positive_lag_max_minus_tau0,,scs,,0.001906030144626204,7.613771417654618,4141,,,,
lag_minus_tau0_delta_R2,T3_full,V_pos_centroid_lat,positive_lag_max_minus_tau0,,south_china_scs,,-0.002879255950822871,-16.868195700502746,6161,,,,
lag_minus_tau0_delta_R2,T3_full,V_pos_centroid_lat,positive_lag_max_minus_tau0,,north_northeast,,0.005259487178480301,23.82007591832088,6161,,,,
lag_minus_tau0_delta_R2,T3_full,V_pos_centroid_lat,positive_lag_max_minus_tau0,,main_easm_domain,,0.0037303099864231305,71.83791273203721,22701,,,,
lag_minus_tau0_delta_R2,T3_late,V_strength,positive_lag_max_minus_tau0,,main_meiyu,,0.019715806328269365,77.86596758488818,4545,,,,
lag_minus_tau0_delta_R2,T3_late,V_strength,positive_lag_max_minus_tau0,,south_china,,-0.0010081467764098257,-1.6582120611699267,1769,,,,
lag_minus_tau0_delta_R2,T3_late,V_strength,positive_lag_max_minus_tau0,,scs,,0.008459111770757533,33.79051669278306,4141,,,,
lag_minus_tau0_delta_R2,T3_late,V_strength,positive_lag_max_minus_tau0,,south_china_scs,,0.010186822149960431,59.679761899125346,6161,,,,
lag_minus_tau0_delta_R2,T3_late,V_strength,positive_lag_max_minus_tau0,,north_northeast,,0.015820293947454375,71.6496856234188,6161,,,,
lag_minus_tau0_delta_R2,T3_late,V_strength,positive_lag_max_minus_tau0,,main_easm_domain,,0.013386447213232093,257.7947758219118,22701,,,,
lag_minus_tau0_delta_R2,T3_late,V_NS_diff,positive_lag_max_minus_tau0,,main_meiyu,,0.02879417293912757,113.72023539797979,4545,,,,
lag_minus_tau0_delta_R2,T3_late,V_NS_diff,positive_lag_max_minus_tau0,,south_china,,0.0403268053249581,66.33001914307903,1769,,,,
lag_minus_tau0_delta_R2,T3_late,V_NS_diff,positive_lag_max_minus_tau0,,scs,,0.007882727656310715,31.488109824487704,4141,,,,
lag_minus_tau0_delta_R2,T3_late,V_NS_diff,positive_lag_max_minus_tau0,,south_china_scs,,0.0170987722613753,100.17360098214837,6161,,,,
lag_minus_tau0_delta_R2,T3_late,V_NS_diff,positive_lag_max_minus_tau0,,north_northeast,,0.017798642804225807,80.60957436581046,6161,,,,
lag_minus_tau0_delta_R2,T3_late,V_NS_diff,positive_lag_max_minus_tau0,,main_easm_domain,,0.01504289159492083,289.69440544259373,22701,,,,
lag_minus_tau0_delta_R2,T3_late,V_pos_centroid_lat,positive_lag_max_minus_tau0,,main_meiyu,,0.020416826130940702,80.63458806747548,4545,,,,
lag_minus_tau0_delta_R2,T3_late,V_pos_centroid_lat,positive_lag_max_minus_tau0,,south_china,,0.03332513747684233,54.81359083548948,1769,,,,
lag_minus_tau0_delta_R2,T3_late,V_pos_centroid_lat,positive_lag_max_minus_tau0,,scs,,-0.0008397839086043928,-3.354575864587037,4141,,,,
lag_minus_tau0_delta_R2,T3_late,V_pos_centroid_lat,positive_lag_max_minus_tau0,,south_china_scs,,0.005231615221516751,30.649553528248493,6161,,,,
lag_minus_tau0_delta_R2,T3_late,V_pos_centroid_lat,positive_lag_max_minus_tau0,,north_northeast,,0.016663092352101058,75.46669692152875,6161,,,,
lag_minus_tau0_delta_R2,T3_late,V_pos_centroid_lat,positive_lag_max_minus_tau0,,main_easm_domain,,0.010167045998864678,195.79588985026555,22701,,,,
lag_minus_tau0_delta_R2,S4,V_strength,positive_lag_max_minus_tau0,,main_meiyu,,0.013075679136874333,51.641327312207764,4545,,,,
lag_minus_tau0_delta_R2,S4,V_strength,positive_lag_max_minus_tau0,,south_china,,-0.002330113968996062,-3.8325997540254013,1769,,,,
lag_minus_tau0_delta_R2,S4,V_strength,positive_lag_max_minus_tau0,,scs,,0.00989077344569204,39.50938990740663,4141,,,,
lag_minus_tau0_delta_R2,S4,V_strength,positive_lag_max_minus_tau0,,south_china_scs,,0.007387531871307112,43.28004716402366,6161,,,,
lag_minus_tau0_delta_R2,S4,V_strength,positive_lag_max_minus_tau0,,north_northeast,,0.0006038200276894914,2.7346846588800315,6161,,,,
lag_minus_tau0_delta_R2,S4,V_strength,positive_lag_max_minus_tau0,,main_easm_domain,,0.0060827890160126945,117.14170352869657,22701,,,,
lag_minus_tau0_delta_R2,S4,V_NS_diff,positive_lag_max_minus_tau0,,main_meiyu,,0.013848203064372438,54.69234749852738,4545,,,,
lag_minus_tau0_delta_R2,S4,V_NS_diff,positive_lag_max_minus_tau0,,south_china,,0.01355483351173941,22.295154775339455,1769,,,,
lag_minus_tau0_delta_R2,S4,V_NS_diff,positive_lag_max_minus_tau0,,scs,,0.00706832156903604,28.234907451409875,4141,,,,
lag_minus_tau0_delta_R2,S4,V_NS_diff,positive_lag_max_minus_tau0,,south_china_scs,,0.006942762832813546,40.67435621088357,6161,,,,
lag_minus_tau0_delta_R2,S4,V_NS_diff,positive_lag_max_minus_tau0,,north_northeast,,0.00039539823179094525,1.790747953102065,6161,,,,
lag_minus_tau0_delta_R2,S4,V_NS_diff,positive_lag_max_minus_tau0,,main_easm_domain,,0.004221496695940838,81.29713411092963,22701,,,,
lag_minus_tau0_delta_R2,S4,V_pos_centroid_lat,positive_lag_max_minus_tau0,,main_meiyu,,0.0066378587063399335,26.215681076144087,4545,,,,
lag_minus_tau0_delta_R2,S4,V_pos_centroid_lat,positive_lag_max_minus_tau0,,south_china,,0.009309607071797153,15.312554771222523,1769,,,,
lag_minus_tau0_delta_R2,S4,V_pos_centroid_lat,positive_lag_max_minus_tau0,,scs,,0.006589436148522297,26.321965970752387,4141,,,,
lag_minus_tau0_delta_R2,S4,V_pos_centroid_lat,positive_lag_max_minus_tau0,,south_china_scs,,0.0036895342192078467,21.615231961407602,6161,,,,
lag_minus_tau0_delta_R2,S4,V_pos_centroid_lat,positive_lag_max_minus_tau0,,north_northeast,,0.0016541534187385683,7.49161632642058,6161,,,,
lag_minus_tau0_delta_R2,S4,V_pos_centroid_lat,positive_lag_max_minus_tau0,,main_easm_domain,,0.0019279444264379848,37.128148588925185,22701,,,,
