v_index,region,T3_early_region_mean_R2,T3_full_region_mean_R2,T3_late_region_mean_R2,max_subwindow_region_mean_R2,full_minus_max_subwindow_R2,dilution_flag
V_strength,main_easm_domain,0.05880439766017411,0.040821925702704,0.0449713800065639,0.05880439766017411,-0.01798247195747011,True
V_strength,main_meiyu,0.06686525457438683,0.03995370479526099,0.03250821522854433,0.06686525457438683,-0.02691154977912584,True
V_strength,north_northeast,0.03281595233353788,0.028437816249057692,0.046305967135757076,0.046305967135757076,-0.017868150886699383,True
V_strength,scs,0.05469584218787163,0.037271607936506974,0.03568566020930777,0.05469584218787163,-0.017424234251364655,True
V_strength,south_china,0.05204202690451814,0.04016288819265582,0.04945884310852659,0.05204202690451814,-0.011879138711862317,True
V_strength,south_china_scs,0.07556852397391481,0.049640842256621666,0.04458683193434937,0.07556852397391481,-0.025927681717293143,True
V_NS_diff,main_easm_domain,0.07015070219227305,0.05477497568845787,0.059209789725966515,0.07015070219227305,-0.015375726503815183,True
V_NS_diff,main_meiyu,0.08293136125892044,0.05841815863802087,0.04856073752442183,0.08293136125892044,-0.024513202620899566,True
V_NS_diff,north_northeast,0.03877339690440915,0.029936303748060982,0.04214244825048166,0.04214244825048166,-0.01220614450242068,True
V_NS_diff,scs,0.06923613263054852,0.05708351712184568,0.06130702246443021,0.06923613263054852,-0.012152615508702842,True
V_NS_diff,south_china,0.07632010659314169,0.06001767631235649,0.05905926478723269,0.07632010659314169,-0.0163024302807852,True
V_NS_diff,south_china_scs,0.09593125482162138,0.07692247635525314,0.07418618625101217,0.09593125482162138,-0.01900877846636824,True
V_pos_centroid_lat,main_easm_domain,0.05100169300572392,0.04424642931452084,0.05688607377009727,0.05688607377009727,-0.012639644455576436,True
V_pos_centroid_lat,main_meiyu,0.04767996211305158,0.04517368149888397,0.05971395183188819,0.05971395183188819,-0.014540270333004222,True
V_pos_centroid_lat,north_northeast,0.034728595549878775,0.020501313144215123,0.032164907946420664,0.034728595549878775,-0.014227282405663653,True
V_pos_centroid_lat,scs,0.06740369998224016,0.06067399947441801,0.06746359776373877,0.06746359776373877,-0.006789598289320756,True
V_pos_centroid_lat,south_china,0.06029680376942433,0.07190860238339297,0.10018539025063204,0.10018539025063204,-0.02827678786723907,True
V_pos_centroid_lat,south_china_scs,0.06743201784657651,0.06816810611437883,0.08439626350524944,0.08439626350524944,-0.016228157390870607,True
