window,v_index,lag,region,n_years,n_samples,observed_region_series_R2,observed_region_series_beta,boot_R2_mean,boot_R2_ci90_low,boot_R2_ci90_high,boot_R2_ci95_low,boot_R2_ci95_high,boot_beta_mean,boot_beta_ci90_low,boot_beta_ci90_high,boot_beta_ci95_low,boot_beta_ci95_high,prob_R2_gt_0_05,prob_R2_gt_0_10,prob_beta_gt_0,prob_beta_lt_0
S3,V_strength,0,main_meiyu,45,900,0.07844581572728279,0.5185492456533537,0.08191315154953512,0.03430665009054502,0.140406051553302,0.02953195767921286,0.1495916366094544,0.524348529037347,0.3339593263781522,0.7267559393144024,0.31054730910258455,0.7857176623471688,0.843,0.27,1.0,0.0
S3,V_strength,0,south_china,45,900,0.0016529301339721603,-0.15103470271495822,0.006133149985445076,2.5376709119701465e-05,0.022622311143032887,9.843794979456954e-06,0.02764417648063217,-0.16097986337975756,-0.5759434330394962,0.2472772749422461,-0.6362601850666454,0.32112625092217717,0.002,0.0,0.263,0.737
S3,V_strength,0,scs,45,900,0.08820457569754897,-0.994337040762151,0.09027725234375286,0.03735842533807187,0.1475658213409278,0.03220111474920005,0.15621116390691528,-0.992279455492243,-1.303385620519632,-0.6630493538932176,-1.365152442024989,-0.6098420433165013,0.886,0.373,0.0,1.0
S3,V_strength,0,south_china_scs,45,900,0.11288447727564639,-0.9649440088112692,0.11509481664817532,0.055040091873741405,0.18271698986127954,0.04378129781404107,0.19380620052461492,-0.9668314860836137,-1.2482566250238014,-0.6919320570060928,-1.3029261238787264,-0.6014481598135718,0.963,0.639,0.0,1.0
S3,V_strength,0,north_northeast,45,900,0.06672767905445033,0.3735932023424674,0.06965769103583276,0.01876072480353312,0.13273335613709064,0.010174343906945967,0.14792641855708416,0.36896907044682237,0.19606233843623408,0.5203553442861292,0.1534956806607509,0.5454451215227731,0.69,0.184,0.999,0.001
S3,V_strength,0,main_easm_domain,45,900,0.058730982796004125,-0.2543689059544793,0.0621186101209031,0.018089815426596267,0.11640583323497189,0.013342622946729278,0.12617710867095372,-0.25301166990580215,-0.35541145961989057,-0.14359197373044674,-0.37548800490936346,-0.12447226060094545,0.629,0.105,0.0,1.0
S3,V_strength,1,main_meiyu,45,900,0.06464308270137223,0.4670629895724683,0.06920789047694954,0.02462555641790757,0.1254080492628699,0.020268194925081567,0.13536616597528328,0.47816298925349854,0.2884079030256663,0.6807493462279505,0.2494766649100256,0.7259408606094158,0.717,0.167,1.0,0.0
S3,V_strength,1,south_china,45,900,0.014338465586239182,-0.4413774547117063,0.01799360990975093,0.0005106709456007684,0.047931282240022716,0.00011588788424116844,0.055893296748730836,-0.4398639515380313,-0.8286559143662177,-0.027253114474982718,-0.9321130965907343,0.050737421362857374,0.043,0.001,0.04,0.96
S3,V_strength,1,scs,45,900,0.12526451224612814,-1.1757402783634796,0.12681486588523294,0.06918445509794278,0.18553585624745147,0.06121832351542903,0.1988320534458808,-1.1744775900059556,-1.4549853883702866,-0.868874943052095,-1.5132829367563116,-0.8095894295064681,0.988,0.753,0.0,1.0
S3,V_strength,1,south_china_scs,45,900,0.17140054263902763,-1.1797783097319237,0.1720939977716915,0.10979917175124886,0.2379622812504681,0.09921153847656325,0.25737699051740703,-1.1824046656026925,-1.4351107521304618,-0.9185528132969947,-1.5048302709243002,-0.8794108944520905,0.999,0.973,0.0,1.0
S3,V_strength,1,north_northeast,45,900,0.07925629103640726,0.40399141705827946,0.08183091713495973,0.028229043960932027,0.14912422705177225,0.022367579445260077,0.16396520816157162,0.40036411385835596,0.24650741891267292,0.5559743938716288,0.21646997552064487,0.5858341410682096,0.787,0.293,1.0,0.0
S3,V_strength,1,main_easm_domain,45,900,0.09033584203226089,-0.3130183131401196,0.09206563990823709,0.0364110700152184,0.15107034673867223,0.02874903799271529,0.17447647694638818,-0.31136070590246995,-0.413608260890099,-0.20139948058815768,-0.43079954735380355,-0.1800136240704348,0.878,0.397,0.0,1.0
S3,V_strength,2,main_meiyu,45,900,0.044610234289659566,0.38305244039004166,0.047645967580969895,0.01121898485027362,0.09656018546210957,0.006960437070398247,0.11077930598499733,0.3821646199407248,0.19685746512547309,0.5875652760364003,0.14941177431812167,0.6222911042723621,0.41,0.041,1.0,0.0
S3,V_strength,2,south_china,45,900,0.043609707671788886,-0.7599358810235788,0.04784753149041958,0.010485091194648268,0.09553886703860896,0.006660405786613088,0.10615934805780322,-0.7701905415706386,-1.1820329582580142,-0.35317875154636763,-1.2324800396879896,-0.26866767569406075,0.42,0.038,0.0,1.0
S3,V_strength,2,scs,45,900,0.13480281807836164,-1.204130099008209,0.1351171863783683,0.07428007274982329,0.19959246834425012,0.0641584752464723,0.21397325708293757,-1.193544163484786,-1.4669731654220672,-0.9031004230528843,-1.5113632083453674,-0.8674957483571747,0.992,0.819,0.0,1.0
S3,V_strength,2,south_china_scs,45,900,0.20132325181645894,-1.262315269101434,0.20521615802318524,0.1313882383469975,0.28144737479982945,0.12011268456795142,0.30017971415509015,-1.2696799172908055,-1.5292561804156473,-1.0236751717102326,-1.5661790743950765,-0.9794931313660423,1.0,0.993,0.0,1.0
S3,V_strength,2,north_northeast,45,900,0.07861220122354377,0.39721606132381154,0.08352323851190072,0.03141842121483236,0.14630755483850855,0.025671132770364175,0.15648406180087998,0.40213331761694254,0.25814468825432973,0.5491342848150459,0.22487456371903805,0.5763758906042158,0.823,0.304,1.0,0.0
S3,V_strength,2,main_easm_domain,45,900,0.10974885144620519,-0.34061694249404595,0.10952925148708681,0.04900586000445823,0.183886949624145,0.035713364248622224,0.2002879775891898,-0.33578448275245965,-0.4429329687443223,-0.23221654024188576,-0.47083495331209646,-0.20651403582883135,0.945,0.552,0.0,1.0
S3,V_strength,3,main_meiyu,45,900,0.028027333147555733,0.3006913143859829,0.030872590943818088,0.003542419986434003,0.067641908977291,0.0013247339036050406,0.07498574906636371,0.29742261602046244,0.10688201318955777,0.47826813991478645,0.06901084867934949,0.5114098171212222,0.182,0.006,0.994,0.006
S3,V_strength,3,south_china,45,900,0.07891184658571045,-1.0123844831066722,0.0820348953939587,0.027683788281273176,0.14862980136554726,0.022000991945209575,0.1645014158745451,-1.0146951985606056,-1.4239162093959288,-0.6111178049685015,-1.5034150258721153,-0.5291039219733025,0.801,0.299,0.0,1.0
S3,V_strength,3,scs,45,900,0.11614323907610305,-1.1069038746952684,0.11998763602771055,0.0556943524551366,0.1900494920351388,0.049785396885824944,0.20472549359898223,-1.1051601361700827,-1.4114997056590686,-0.7939025520523276,-1.4802089490332666,-0.7251323423780589,0.974,0.675,0.0,1.0
S3,V_strength,3,south_china_scs,45,900,0.19220158816319646,-1.2214856444745112,0.1966099507173496,0.11767714162606205,0.2817781471668689,0.10333024458385227,0.3015233593655785,-1.231840916164744,-1.50654300798186,-0.9674921453682471,-1.562281399476699,-0.9096369431881675,1.0,0.978,0.0,1.0
S3,V_strength,3,north_northeast,45,900,0.06845297768444265,0.3670853127846744,0.07211785739194582,0.025543837194352267,0.13480942081307118,0.018011373525659572,0.14619071210827791,0.3659249992889078,0.22395549886445504,0.5052944532746048,0.19220747456274626,0.5271953999546712,0.725,0.19,1.0,0.0
S3,V_strength,3,main_easm_domain,45,900,0.10787025511788012,-0.33443068724751324,0.11369217114695597,0.048412649709805154,0.18896264206053476,0.03654048048956545,0.2055590848687936,-0.3368783692254243,-0.4452878825265818,-0.22347909311013042,-0.46124346665052884,-0.19668407530917686,0.943,0.597,0.0,1.0
S3,V_strength,4,main_meiyu,45,900,0.016064664735585522,0.22673477210241566,0.020142211866474063,0.0007190789735859321,0.051352784865104764,0.00019464377449539733,0.05944788110013361,0.22729485424126722,0.025809376441284913,0.41604046613420614,-0.02335492467086882,0.44964854262390697,0.056,0.001,0.964,0.036
S3,V_strength,4,south_china,45,900,0.10248221708064832,-1.149081765688025,0.10652724306130022,0.04560518665184907,0.18158090217841472,0.03721590399720703,0.1950962083396529,-1.1502942001622658,-1.5584077261579814,-0.7530944670365439,-1.6452421429783646,-0.6468168894949977,0.929,0.531,0.0,1.0
S3,V_strength,4,scs,45,900,0.08134145238687435,-0.922616467897639,0.08427247548411963,0.027980886751016433,0.15484439905689054,0.0215920516741333,0.17146564084476942,-0.9126663907708393,-1.2504819423870004,-0.5582748930813511,-1.3198967786485574,-0.4797924550114534,0.798,0.309,0.0,1.0
S3,V_strength,4,south_china_scs,45,900,0.15202483303407843,-1.0819805375914429,0.15776795102369567,0.08128965308655058,0.24564922681331583,0.07247574368483453,0.268410856000908,-1.0871471955934806,-1.3587347856817784,-0.7917715124922783,-1.4300914439391665,-0.7474849707979129,0.998,0.872,0.0,1.0
S3,V_strength,4,north_northeast,45,900,0.05346184984564471,0.3231060776218011,0.056727772008698406,0.013081068869699017,0.1171710212900017,0.007678114646329523,0.1338670721422821,0.316659199685336,0.15957203133125003,0.47043568281350795,0.12029666482289196,0.5022809653323868,0.529,0.109,0.999,0.001
S3,V_strength,4,main_easm_domain,45,900,0.08693685080762806,-0.29902639183455054,0.08998690905454938,0.02728306188499053,0.17059178944355416,0.02072287680248327,0.18481837403521842,-0.29628300261347745,-0.41733871929450317,-0.17172303350711865,-0.43576703400691547,-0.14784072058941508,0.815,0.367,0.0,1.0
S3,V_strength,5,main_meiyu,45,900,0.009163330948280562,0.1712492705026361,0.012448795478467192,0.0001350079615695319,0.03916063176834869,5.5879576225945775e-05,0.045431115443147124,0.16589901173808608,-0.018264284772831017,0.35457573811389764,-0.049614930829279556,0.3895716984740865,0.014,0.0,0.931,0.069
S3,V_strength,5,south_china,45,900,0.10249840291792224,-1.1492247611184596,0.10797132343821308,0.04353958598461018,0.18319961788476577,0.034140920740560854,0.19357292904876983,-1.1565238142249468,-1.55941129205784,-0.74469967243578,-1.6399832223411943,-0.6358316049796233,0.925,0.534,0.0,1.0
S3,V_strength,5,scs,45,900,0.045884851643020134,-0.6929783318944469,0.0494537620387193,0.005703892133725147,0.10569007694845682,0.003212821458338308,0.12217018740793617,-0.674835193348576,-1.042539578430302,-0.261929026630833,-1.1035676683981106,-0.18852127626885462,0.433,0.074,0.002,0.998
S3,V_strength,5,south_china_scs,45,900,0.09988274037916182,-0.8770556576340088,0.10569209625944631,0.03689378894728201,0.18669372671231,0.030254321924705292,0.20181463379136627,-0.8797349900355577,-1.1814643703188603,-0.5520542476871118,-1.2409811559413204,-0.49934475281134055,0.894,0.506,0.0,1.0
S3,V_strength,5,north_northeast,45,900,0.038129126706808805,0.27287975348094423,0.040921544940534245,0.0034470630916163788,0.09269313085326389,0.0016049835786546304,0.10505133440179755,0.2615835441236437,0.08054180493512715,0.4226285853643251,0.051660864136368,0.45388697549106755,0.324,0.037,0.994,0.006
S3,V_strength,5,main_easm_domain,45,900,0.05634187388395547,-0.24073706447873236,0.06195595664511981,0.009914791660446096,0.1329773659843087,0.006205142713984768,0.15109324223206214,-0.23939855624220094,-0.36351529269171834,-0.1024441286660969,-0.3893848045116617,-0.07826995958357696,0.566,0.164,0.003,0.997
S3,V_NS_diff,0,main_meiyu,45,900,0.05416186677882926,0.005292530701207585,0.05824781058973544,0.020010553480454003,0.11164111641935297,0.016740025688642756,0.12665916847032407,0.00538282649285771,0.003266159509249356,0.007622712314780006,0.0029322400655709506,0.008294004581864129,0.566,0.079,1.0,0.0
S3,V_NS_diff,0,south_china,45,900,0.04709947092682773,-0.009903049945163415,0.051082992006855815,0.011947927796936536,0.09831636220996892,0.007366392423543803,0.11443859072817121,-0.009945235752765909,-0.014922747825844272,-0.004985000387591159,-0.015988788116189284,-0.003953013329919191,0.476,0.049,0.0,1.0
S3,V_NS_diff,0,scs,45,900,0.15418887375769538,-0.016148271293979503,0.15689840249095444,0.0945258955573513,0.22243558537234015,0.0801435948275261,0.2331030542732537,-0.01622659954482653,-0.0195342766242111,-0.012681434766220462,-0.020202396255960445,-0.011810573948774893,0.995,0.929,0.0,1.0
S3,V_NS_diff,0,south_china_scs,45,900,0.229825787360446,-0.016912033792509346,0.23247296372494938,0.1585740514743552,0.3145501802987107,0.14503538254530768,0.32888901549258986,-0.016937142699074145,-0.020024594159118097,-0.013987714035889744,-0.02060521408547937,-0.013511489733342007,1.0,0.998,0.0,1.0
S3,V_NS_diff,0,north_northeast,45,900,0.09667286665509571,0.0055234409177763585,0.09896701808493162,0.04029862288953326,0.16391863811742594,0.03335382081684321,0.17881168928994126,0.005492042919955278,0.0035415095659501127,0.007466773936446973,0.003237393648817328,0.007725347879951071,0.915,0.456,1.0,0.0
S3,V_NS_diff,0,main_easm_domain,45,900,0.1554044520858308,-0.0050824553818416916,0.15667512067880116,0.07980574878233836,0.23645342056179044,0.07165612127502084,0.24865735380072226,-0.0050742275015803655,-0.006226154198314689,-0.003830179212120642,-0.006435430320353116,-0.0036379574274433887,0.994,0.881,0.0,1.0
S3,V_NS_diff,1,main_meiyu,45,900,0.03837430234792064,0.004413873909804677,0.04181395194648967,0.008488759766872063,0.08969426290058827,0.0051553284207874,0.09815508005803197,0.0044061047483517765,0.0022173911669646123,0.0067681708647305515,0.001653155993102026,0.007231768053438495,0.329,0.024,0.999,0.001
S3,V_NS_diff,1,south_china,45,900,0.09126324491129323,-0.01365815416964077,0.0939789779633355,0.036337470903776765,0.16202383103755313,0.029768282266946056,0.17514882494555423,-0.013660894526455905,-0.018842631705366653,-0.00866156293626614,-0.01982233599171889,-0.007583170978487429,0.88,0.396,0.0,1.0
S3,V_NS_diff,1,scs,45,900,0.13727062358104777,-0.015096331524450543,0.13890476875574018,0.08050627307242515,0.20296969956293617,0.07314924410146928,0.21874698795730343,-0.015140654016763025,-0.018576936431786824,-0.01173491631963042,-0.01916277187535541,-0.010910838496670678,0.996,0.844,0.0,1.0
S3,V_NS_diff,1,south_china_scs,45,900,0.23972715889135493,-0.017113474066351556,0.24254461927520055,0.1669393356630898,0.3188656358201426,0.14767973097825116,0.32821337085366714,-0.017172478082223983,-0.020190929984268902,-0.014249724997579044,-0.02079458855268735,-0.01378346339941459,1.0,1.0,0.0,1.0
S3,V_NS_diff,1,north_northeast,45,900,0.11202622474657642,0.005891153883357461,0.11413779505329812,0.05516606652780333,0.1735076666242779,0.04562021166916444,0.18688094004159111,0.005920573267455443,0.004067036090373458,0.007796526411780151,0.003704124296162983,0.008139006949218383,0.967,0.614,1.0,0.0
S3,V_NS_diff,1,main_easm_domain,45,900,0.15329319668028,-0.005001340111225241,0.15370557036215166,0.07575246106746478,0.2337702182882862,0.0642970534807148,0.24699619410558027,-0.004976163260980813,-0.0062338786500613745,-0.0036639471966008553,-0.006423010308012481,-0.0033683547168317555,0.99,0.882,0.0,1.0
S3,V_NS_diff,2,main_meiyu,45,900,0.02235948351882155,0.003332056066392262,0.02611796285669353,0.0012071799228482384,0.06252372649423078,0.0004211326249085204,0.07072368864984525,0.0032827945419073583,0.0007946864309144675,0.005619240075280868,0.00044109465420015623,0.006034915377461092,0.124,0.004,0.991,0.009
S3,V_NS_diff,2,south_china,45,900,0.13423146048167428,-0.016381473202239132,0.13878040050169466,0.07062320406510901,0.20982703335753408,0.055976670729419455,0.22340291164521014,-0.016525272419170057,-0.021420601063924422,-0.011525442785821795,-0.02246727711595115,-0.010557802347451394,0.986,0.827,0.0,1.0
S3,V_NS_diff,2,scs,45,900,0.10058586772463386,-0.012780058601949536,0.1019941725074373,0.043979796514470114,0.1624168432353721,0.03344407792993989,0.17726360664776772,-0.01265442788084724,-0.01607592455808812,-0.008798354645007282,-0.016749530647242092,-0.007768251950421888,0.929,0.511,0.0,1.0
S3,V_NS_diff,2,south_china_scs,45,900,0.21047836463323505,-0.015858606851904256,0.21109737474333815,0.13206313924503038,0.2940558163712225,0.12256757539135352,0.31353601529061337,-0.015840180629761995,-0.018746584156407623,-0.012983907565619268,-0.01918299699228053,-0.012601013917371087,1.0,0.991,0.0,1.0
S3,V_NS_diff,2,north_northeast,45,900,0.10610438426198456,0.005670076547825008,0.11019586478416647,0.052290918157018994,0.17646840319310897,0.045309885664923714,0.1880787271275066,0.005732586966364742,0.003887228082649981,0.007521811652695586,0.0035442395516193845,0.007986878631048666,0.959,0.593,1.0,0.0
S3,V_NS_diff,2,main_easm_domain,45,900,0.13078943938905796,-0.004568704072641834,0.13391805734716455,0.06072233638589557,0.2105613062154742,0.050582274570322085,0.2228326693048126,-0.0045762751501429175,-0.005821791106263865,-0.003180520784557697,-0.005974799861642498,-0.002918592354362324,0.975,0.776,0.0,1.0
S3,V_NS_diff,3,main_meiyu,45,900,0.011193009334011824,0.0023426968522657064,0.015059416178629959,0.00013463004463418787,0.04328756036244261,1.8214877897469888e-05,0.050484045204927115,0.002255008682748712,-0.0003208068653940381,0.004610658225795507,-0.0007206317119268528,0.0049471189896439565,0.027,0.001,0.923,0.077
S3,V_NS_diff,3,south_china,45,900,0.1566049153824366,-0.017582868862077623,0.15873649326185865,0.08156005368742412,0.2372335079802237,0.07177645599475699,0.25391824755711434,-0.017608348837578284,-0.02252801684849991,-0.012822647191029093,-0.023223290623539696,-0.012098705874412478,0.999,0.895,0.0,1.0
S3,V_NS_diff,3,scs,45,900,0.0627133027401001,-0.010027794903752761,0.06496377729213096,0.017972898999913525,0.1251329636324631,0.01026773294336692,0.1416942507383435,-0.00985844713870338,-0.013810836156410072,-0.005598350595740378,-0.014643310296152671,-0.0044820513924032045,0.631,0.143,0.0,1.0
S3,V_NS_diff,3,south_china_scs,45,900,0.16011183180065688,-0.013744668186995804,0.1617119164635738,0.08454577806209784,0.24319038753381614,0.07174236035987784,0.25703543524094685,-0.01368701681595332,-0.016752377563116844,-0.010337798985458451,-0.017285533631093766,-0.009646478032629526,0.995,0.906,0.0,1.0
