v_index,map_kind,window_a,window_b,spatial_pattern_similarity_main_easm_domain
V_strength,positive_lag_max_R2,T3_early,S3,0.7854559705131575
V_strength,positive_lag_max_R2,T3_late,S4,0.43056625212724126
V_strength,positive_lag_max_R2,T3_full,T3_early,0.8663056251756394
V_strength,positive_lag_max_R2,T3_full,T3_late,0.7529224227158814
V_strength,positive_lag_max_R2,T3_early,S4,0.4671176967152255
V_strength,positive_lag_max_R2,T3_late,S3,0.3473671385385655
V_NS_diff,positive_lag_max_R2,T3_early,S3,0.8081767930556003
V_NS_diff,positive_lag_max_R2,T3_late,S4,0.5731639297787867
V_NS_diff,positive_lag_max_R2,T3_full,T3_early,0.9312056679107402
V_NS_diff,positive_lag_max_R2,T3_full,T3_late,0.8025919118911012
V_NS_diff,positive_lag_max_R2,T3_early,S4,0.6692779699960848
V_NS_diff,positive_lag_max_R2,T3_late,S3,0.5845409956991632
V_pos_centroid_lat,positive_lag_max_R2,T3_early,S3,0.47578214156430526
V_pos_centroid_lat,positive_lag_max_R2,T3_late,S4,0.4292366575179014
V_pos_centroid_lat,positive_lag_max_R2,T3_full,T3_early,0.803722922949477
V_pos_centroid_lat,positive_lag_max_R2,T3_full,T3_late,0.8630423015794978
V_pos_centroid_lat,positive_lag_max_R2,T3_early,S4,0.41570935034243445
V_pos_centroid_lat,positive_lag_max_R2,T3_late,S3,0.5209832239223657
