pair,field_early_candidate,field_late_candidate,bootstrap_id,delta_late_minus_early,H_midpoint,P_midpoint,V_midpoint,Je_midpoint,Jw_midpoint,H_onset,H_finish,H_duration,five_field_midpoint_range,tail_type,tail_interpretation
H-P,H,P,11,-1.0,43.0,42.0,45.0,48.0,45.0,39.0,53.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,13,-11.0,52.0,41.0,44.0,45.0,48.0,37.0,54.0,18.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,30,-8.0,50.0,42.0,45.0,45.0,46.0,38.0,53.0,16.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,35,-5.0,49.0,44.0,47.0,45.0,50.0,39.0,52.0,14.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,36,-9.0,51.0,42.0,45.0,49.0,42.0,49.0,54.0,6.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,42,-1.0,41.0,40.0,42.0,50.0,45.0,37.0,51.0,15.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,44,-9.0,50.0,41.0,44.0,51.0,43.0,38.0,52.0,15.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,59,-12.0,52.0,40.0,46.0,45.0,42.0,50.0,54.0,5.0,12.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,62,-6.0,46.0,40.0,44.0,46.0,42.0,39.0,51.0,13.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,72,-9.0,51.0,42.0,43.0,46.0,43.0,38.0,54.0,17.0,9.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,93,0.0,43.0,43.0,46.0,47.0,44.0,38.0,54.0,17.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
H-P,H,P,98,-11.0,52.0,41.0,43.0,42.0,43.0,42.0,54.0,13.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,101,-10.0,51.0,41.0,42.0,46.0,42.0,38.0,53.0,16.0,10.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,109,-11.0,51.0,40.0,46.0,47.0,40.0,37.0,54.0,18.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,122,-9.0,51.0,42.0,42.0,46.0,40.0,38.0,54.0,17.0,11.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,131,-5.0,46.0,41.0,42.0,49.0,43.0,41.0,51.0,11.0,8.0,mixed_tail,Both H late-side and P early-side effects occur in this tail sample.
H-P,H,P,156,-6.0,48.0,42.0,45.0,47.0,42.0,37.0,51.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
