window_id,anchor_day,field,role_label,evidence_level,confirmed_edges_95,confirmed_edges_90,supported_edges,not_distinguishable_edges,failed_90_edges,implementation_validity_label,main_failure_type,quality_flags,role_interpretation,do_not_overinterpret
W002,45,P,middle_early_unresolved,supported_tendency_only,none,none,P<V; H<P; P<Je,P/Jw,P<V; H<P; P<Je; P/Jw,valid_for_statistical_audit,tail_uncertainty,none,P: role_label=middle_early_unresolved; evidence=supported_tendency_only; supported_early_edges=2; supported_late_edges=1; not_distinguishable_edges=1.,Do not treat supported tendencies as 90% confirmed field order.
W002,45,V,middle_late_unresolved,supported_tendency_only,none,none,P<V; H<V; V<Je; Jw<V,none,P<V; H<V; V<Je; Jw<V,valid_for_statistical_audit,tail_uncertainty,none,V: role_label=middle_late_unresolved; evidence=supported_tendency_only; supported_early_edges=1; supported_late_edges=3; not_distinguishable_edges=0.,Do not treat supported tendencies as 90% confirmed field order.
W002,45,H,early_broad_candidate,supported_tendency_only,none,none,H<P; H<V; H<Je; H<Jw,none,H<P; H<V; H<Je; H<Jw,partly_valid_with_caution,tail_uncertainty,midpoint=broad_transition_midpoint_limited,H: role_label=early_broad_candidate; evidence=supported_tendency_only; supported_early_edges=4; supported_late_edges=0; not_distinguishable_edges=0.,Do not treat supported tendencies as 90% confirmed field order.
W002,45,Je,late_candidate,supported_tendency_only,none,none,P<Je; V<Je; H<Je; Jw<Je,none,P<Je; V<Je; H<Je; Jw<Je,valid_for_statistical_audit,tail_uncertainty,none,Je: role_label=late_candidate; evidence=supported_tendency_only; supported_early_edges=0; supported_late_edges=4; not_distinguishable_edges=0.,Do not treat supported tendencies as 90% confirmed field order.
W002,45,Jw,middle_early_unresolved,supported_tendency_only,none,none,Jw<V; H<Jw; Jw<Je,P/Jw,P/Jw; Jw<V; H<Jw; Jw<Je,partly_valid_with_caution,central_overlap,midpoint=broad_or_uncertain_midpoint_caution,Jw: role_label=middle_early_unresolved; evidence=supported_tendency_only; supported_early_edges=2; supported_late_edges=1; not_distinguishable_edges=1.,Do not treat supported tendencies as 90% confirmed field order.
