object,candidate_id,point_day,month_day,registry_rank,source_run_tag,peak_score,peak_prominence,is_formal_primary,nearest_primary_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,object_support_class
P,CP001,18,04-19,1,P_object_native_peak_discovery_v10_2,4.698734265329099,0.2983249254912179,False,45,0.574,0.793,0.029,0.178,7.438819024012823,2.0,object_weak_candidate
P,CP002,34,05-05,2,P_object_native_peak_discovery_v10_2,13.170076876576443,0.0554153458362804,False,45,0.513,0.6,0.204,0.196,18.845171169777103,2.0,object_weak_candidate
P,CP003,45,05-16,3,P_object_native_peak_discovery_v10_2,26.563465838769996,23.644273666339963,True,45,0.79,0.985,0.01,0.005,29.238095423720186,1.0,object_strong_candidate
P,CP004,65,06-05,4,P_object_native_peak_discovery_v10_2,17.206599258152806,1.8098269116812349,False,82,0.699,0.811,0.088,0.101,23.830949528722574,1.0,object_candidate
P,CP005,82,06-22,5,P_object_native_peak_discovery_v10_2,59.21762425438138,57.01919573862771,True,82,0.538,0.916,0.077,0.007,68.9784010843959,2.0,object_candidate
P,CP006,95,07-05,6,P_object_native_peak_discovery_v10_2,33.259216108942724,2.697079011936019,False,82,0.454,0.695,0.161,0.144,47.24245301857129,3.0,object_weak_candidate
P,CP007,113,07-23,7,P_object_native_peak_discovery_v10_2,26.61681235144173,13.671071573827309,True,113,0.665,0.938,0.029,0.033,32.99046848682678,2.0,object_candidate
P,CP008,126,08-05,8,P_object_native_peak_discovery_v10_2,5.946778876241709,2.2733764861211645,False,138,0.627,0.839,0.098,0.063,12.958043917429864,2.0,object_candidate
P,CP009,138,08-17,9,P_object_native_peak_discovery_v10_2,5.071550450487186,1.9478064100064796,True,138,0.617,0.918,0.063,0.019,10.807102635374704,1.0,object_candidate
P,CP010,158,09-06,10,P_object_native_peak_discovery_v10_2,21.186921722771807,15.203520896940669,True,158,0.726,0.957,0.039,0.004,25.18466626736317,1.0,object_strong_candidate
V,CP001,16,04-17,1,V_object_native_peak_discovery_v10_2,5.335538519795408,0.6464691597620895,False,45,0.488,0.589,0.078,0.333,8.801055899684997,3.0,object_weak_candidate
V,CP002,30,05-01,2,V_object_native_peak_discovery_v10_2,6.941599316355871,1.4532927572151897,False,45,0.542,0.669,0.081,0.25,10.774758674097004,2.0,object_weak_candidate
V,CP003,45,05-16,3,V_object_native_peak_discovery_v10_2,19.23500775537361,15.74030989036649,True,45,0.821,0.984,0.01,0.006,21.37825472469836,1.0,object_strong_candidate
V,CP004,69,06-09,4,V_object_native_peak_discovery_v10_2,15.678308096706484,0.3020306044769025,False,80,0.372,0.712,0.188,0.1,21.60541188484506,4.0,object_weak_candidate
V,CP005,80,06-20,5,V_object_native_peak_discovery_v10_2,20.958436491781047,17.66532173359322,True,80,0.518,0.901,0.059,0.04,23.740133205216296,2.0,object_candidate
V,CP006,95,07-05,6,V_object_native_peak_discovery_v10_2,10.70290382054478,3.944954001370127,False,80,0.783,0.943,0.02,0.037,13.161181219295068,1.0,object_candidate
V,CP007,114,07-24,7,V_object_native_peak_discovery_v10_2,20.004865865386734,16.643147862922163,True,114,0.729,0.933,0.053,0.014,22.851197201953735,2.0,object_candidate
V,CP008,136,08-15,8,V_object_native_peak_discovery_v10_2,8.498506242322458,4.24103342475215,True,136,0.674,0.833,0.071,0.096,11.897121538279263,1.0,object_candidate
V,CP009,161,09-09,9,V_object_native_peak_discovery_v10_2,34.08042868585578,13.347286740821886,True,161,0.717,0.879,0.074,0.047,37.19365614470814,1.0,object_candidate
H,CP001,19,04-20,1,H_object_native_peak_discovery_v10_2,18.08402735192542,4.598182544472039,True,19,0.623,0.784,0.055,0.161,19.25951443202105,2.0,object_weak_candidate
H,CP002,35,05-06,2,H_object_native_peak_discovery_v10_2,10.10918859242761,2.7174480345794594,True,35,0.734,0.908,0.032,0.06,12.091400365609124,1.0,object_candidate
H,CP003,57,05-28,3,H_object_native_peak_discovery_v10_2,3.066305324426809,0.3353298556509663,False,77,0.419,0.724,0.136,0.14,5.448642399694845,3.0,object_weak_candidate
H,CP004,77,06-17,4,H_object_native_peak_discovery_v10_2,13.498661553176769,7.605537770951037,True,77,0.73,0.942,0.057,0.001,15.33332424279672,1.0,object_candidate
H,CP005,95,07-05,5,H_object_native_peak_discovery_v10_2,13.787305052806545,9.529727098226754,True,95,0.663,0.889,0.018,0.093,16.54195292505463,2.0,object_candidate
H,CP006,115,07-25,6,H_object_native_peak_discovery_v10_2,34.607065236011024,34.03240521836985,True,115,0.854,0.996,0.004,0.0,35.04591756724116,1.0,object_strong_candidate
H,CP007,129,08-08,7,H_object_native_peak_discovery_v10_2,4.241067494898854,3.690235040788872,False,115,0.645,0.887,0.054,0.059,6.884640926412253,2.0,object_candidate
H,CP008,155,09-03,8,H_object_native_peak_discovery_v10_2,9.746850391531572,9.19946629316152,True,155,0.798,0.936,0.045,0.019,11.537571951131884,1.0,object_candidate
Je,CP001,26,04-27,1,Je_object_native_peak_discovery_v10_2,6.0665828732930125,2.9349912308518817,True,26,0.653,0.825,0.164,0.011,7.630832487305387,1.0,object_candidate
Je,CP002,33,05-04,2,Je_object_native_peak_discovery_v10_2,5.442389697096082,0.4286553699451207,False,26,0.628,0.763,0.189,0.048,7.607185992803982,2.0,object_weak_candidate
Je,CP003,46,05-17,3,Je_object_native_peak_discovery_v10_2,12.201986759874025,9.170480551400946,True,46,0.883,0.978,0.01,0.012,13.181579552710543,1.0,object_strong_candidate
