scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,perturbed_candidate_id,perturbed_candidate_day,perturbed_candidate_date,perturbed_score,nearest_joint_candidate_day,distance_to_nearest_joint_candidate,nearest_joint_lineage_status,nearest_joint_derived_window_id,nearest_strict_accepted_window_id,distance_to_nearest_strict_anchor,matched_object_native_baseline_candidate_id,matched_object_native_baseline_candidate_day,object_support_class,was_v10_window_conditioned_main_peak,v10_window_id_if_main,candidate_provenance_class
joint_all,joint_all,DET_WIDTH_16,,detector_width,detector_width,16,CP003,57,05-28,0.6402641353782885,45,12,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,DET_WIDTH_16,,detector_width,detector_width,16,CP004,67,06-07,2.261580088378947,81,14,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,CP003,67,06-07,4.100315665450135,81,14,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,CP002,29,04-30,1.9693938413877645,18,11,derived_non_strict_candidate_window,W001,nan,,,,,False,,NEW_CANDIDATE_NO_KNOWN_LINEAGE
P_only,P,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,CP004,56,05-27,3.1552029820093086,45,11,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
P_only,P,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,CP012,167,09-15,6.1414343546850265,160,7,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
V_only,V,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,CP009,124,08-03,7.788324494013061,132,8,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
H_only,H,DET_WIDTH_16,,detector_width,detector_width,16,CP008,143,08-22,0.9077969534209345,135,8,derived_non_strict_candidate_window,W006,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
H_only,H,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,CP009,145,08-24,1.652550934661777,135,10,derived_non_strict_candidate_window,W006,nan,,,,,False,,NEW_CANDIDATE_NO_KNOWN_LINEAGE
H_only,H,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,CP012,164,09-12,1.3596681177375163,160,4,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
H_only,H,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,CP013,170,09-18,4.387268544976413,160,10,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
Je_only,Je,DET_WIDTH_16,,detector_width,detector_width,16,CP005,57,05-28,2.100927853689174,45,12,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
Je_only,Je,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,CP006,58,05-29,2.361569882960393,45,13,strict_accepted_main_window,W002,W045,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
Je_only,Je,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,CP007,65,06-05,2.0180325721082655,81,16,strict_accepted_main_window,W003,W081,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
Jw_only,Jw,DET_WIDTH_16,,detector_width,detector_width,16,CP001,13,04-14,4.034301271674057,18,5,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
Jw_only,Jw,DET_WIDTH_16,,detector_width,detector_width,16,CP002,22,04-23,1.5291790042895603,18,4,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
Jw_only,Jw,DET_WIDTH_16,,detector_width,detector_width,16,CP010,165,09-13,5.223054999900967,160,5,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
Jw_only,Jw,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,CP001,13,04-14,6.511302757676903,18,5,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
Jw_only,Jw,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,CP002,21,04-22,2.2741201294977103,18,3,derived_non_strict_candidate_window,W001,nan,,,,,False,,JOINT_NON_STRICT_OR_KNOWN_LINEAGE
Jw_only,Jw,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,CP003,31,05-02,3.796884349561493,18,13,derived_non_strict_candidate_window,W001,nan,,,,,False,,NEW_CANDIDATE_NO_KNOWN_LINEAGE
Jw_only,Jw,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,CP011,165,09-13,5.75682920002907,160,5,strict_accepted_main_window,W007,W160,,,,,False,,JOINT_STRICT_ACCEPTED_LINEAGE
