window_id,day,detector_score,score_valid,object
W113,89,,False,Je
W113,90,,False,Je
W113,91,,False,Je
W113,92,,False,Je
W113,93,,False,Je
W113,94,,False,Je
W113,95,,False,Je
W113,96,,False,Je
W113,97,,False,Je
W113,98,7.7147048331992805,True,Je
W113,99,8.025558597418406,True,Je
W113,100,8.442616051620583,True,Je
W113,101,8.822241314475939,True,Je
W113,102,9.165242255288085,True,Je
W113,103,9.797636407812524,True,Je
W113,104,10.84306222495865,True,Je
W113,105,12.148908320994156,True,Je
W113,106,13.627491080921544,True,Je
W113,107,15.007958053776406,True,Je
W113,108,15.954546190829195,True,Je
W113,109,16.4185735104349,True,Je
W113,110,16.616007311174407,True,Je
W113,111,16.652666002833563,True,Je
W113,112,16.52608405744318,True,Je
W113,113,15.97026287747683,True,Je
W113,114,14.979102104031966,True,Je
W113,115,13.700008757934901,True,Je
W113,116,12.08899032801864,True,Je
W113,117,10.207532071216573,True,Je
W113,118,8.155632810917906,True,Je
W113,119,6.03625809555917,True,Je
W113,120,4.0916696042531235,True,Je
W113,121,2.477748873347459,True,Je
W113,122,1.3547048205209187,True,Je
W113,123,0.802899018518926,True,Je
W113,124,0.7352800161203428,True,Je
W113,125,1.0386617718686848,True,Je
W113,126,1.6470039373908483,True,Je
W113,127,2.558955589928118,True,Je
W113,128,3.8510624919159175,True,Je
W113,129,5.4262419075344805,True,Je
W113,130,7.169800288198494,True,Je
W113,131,8.974037721894558,True,Je
W113,132,10.590987890412219,True,Je
W113,133,11.870410231608481,True,Je
W113,134,12.976642677800852,True,Je
W113,135,13.841185358144521,True,Je
W113,136,14.318820217804232,True,Je
W113,137,14.240249383136952,True,Je
W113,138,13.750776375835876,True,Je
W113,139,13.232198830990125,True,Je
W113,140,,False,Je
W113,141,,False,Je
W113,142,,False,Je
W113,143,,False,Je
W113,144,,False,Je
W113,145,,False,Je
W113,146,,False,Je
W113,147,,False,Je
W113,148,,False,Je
W113,149,,False,Je
W113,88,,False,Jw
W113,89,,False,Jw
W113,90,,False,Jw
W113,91,,False,Jw
W113,92,,False,Jw
W113,93,,False,Jw
W113,94,,False,Jw
W113,95,,False,Jw
W113,96,,False,Jw
W113,97,,False,Jw
W113,98,16.291766664249817,True,Jw
W113,99,18.927794741614395,True,Jw
W113,100,21.302514341065404,True,Jw
W113,101,23.157290434282555,True,Jw
W113,102,24.345248599960204,True,Jw
W113,103,24.911597581426918,True,Jw
W113,104,25.06998583750547,True,Jw
W113,105,24.970813645892488,True,Jw
W113,106,24.791482501662728,True,Jw
W113,107,24.717924468339127,True,Jw
W113,108,24.63696658932396,True,Jw
W113,109,24.177378157853518,True,Jw
W113,110,23.169081002425564,True,Jw
W113,111,21.627147807683592,True,Jw
W113,112,19.549915189674103,True,Jw
W113,113,16.974676152538258,True,Jw
W113,114,14.111621373811143,True,Jw
W113,115,11.225043992467075,True,Jw
W113,116,8.434314439627272,True,Jw
W113,117,5.948034365374281,True,Jw
W113,118,4.004679185263858,True,Jw
W113,119,2.7205455202745465,True,Jw
W113,120,2.1439715806905593,True,Jw
W113,121,2.397203370365875,True,Jw
W113,122,3.599617656844903,True,Jw
W113,123,5.67557313388403,True,Jw
W113,124,8.387013933312813,True,Jw
W113,125,11.433817336810872,True,Jw
W113,126,14.523707083738184,True,Jw
W113,127,17.390305430396086,True,Jw
W113,128,19.792465354859125,True,Jw
W113,129,21.380172099834784,True,Jw
W113,130,21.9408475625849,True,Jw
W113,131,21.47710969290609,True,Jw
W113,132,20.301949065145898,True,Jw
W113,133,18.72500026854774,True,Jw
W113,134,17.020522882260472,True,Jw
W113,135,15.420223374474315,True,Jw
W113,136,13.900717968339862,True,Jw
W113,137,12.45161098074556,True,Jw
W113,138,11.104984619657227,True,Jw
W113,139,9.990737642106847,True,Jw
W113,140,,False,Jw
W113,141,,False,Jw
W113,142,,False,Jw
W113,143,,False,Jw
W113,144,,False,Jw
W113,145,,False,Jw
W113,146,,False,Jw
W113,147,,False,Jw
W113,148,,False,Jw
W113,149,,False,Jw
