baseline_config,field,signal,growth_window_id,growth_window_start,growth_window_center,growth_window_end,peak_growth_day,threshold_q75,integrated_positive_growth,early_growth_share,core_growth_share,late_growth_share,classification
C0_full_stage,H,R_diff,GW001,34,38.17186333937215,42,38,0.0006867827390120498,0.009248991350758334,0.6084974402465922,0.3743060263527017,0.01719653340070607,W45_pattern_candidate
C0_full_stage,H,R_diff,GW002,62,66.17784155863555,70,65,0.0006867827390120498,0.010055485956599367,0.6084974402465922,0.3743060263527017,0.01719653340070607,late_pattern_candidate
C0_full_stage,H,S_pattern,GW001,34,38.17186333937219,42,38,0.038444824650028256,0.5177413910853936,0.6084974402465885,0.37430602635270577,0.017196533400705837,W45_pattern_candidate
C0_full_stage,H,S_pattern,GW002,62,66.17784155863555,70,65,0.038444824650028256,0.5628874641322339,0.6084974402465885,0.37430602635270577,0.017196533400705837,late_pattern_candidate
C0_full_stage,Jw,R_diff,GW001,31,32.54734542206543,34,33,0.07000026662142292,0.3602105298113256,0.43630076176487187,0.24612118198125996,0.3175780562538682,early_pattern_candidate
C0_full_stage,Jw,R_diff,GW002,36,38.0141312460782,40,38,0.07000026662142292,0.5548727695562794,0.43630076176487187,0.24612118198125996,0.3175780562538682,W45_pattern_candidate
C0_full_stage,Jw,R_diff,GW003,42,46.15965865921626,50,45,0.07000026662142292,0.8916399090824161,0.43630076176487187,0.24612118198125996,0.3175780562538682,W45_pattern_candidate
C0_full_stage,Jw,S_pattern,GW001,31,32.54734542206543,34,33,0.030644818013020984,0.15769348697114383,0.4363007617648719,0.24612118198125998,0.31757805625386815,early_pattern_candidate
C0_full_stage,Jw,S_pattern,GW002,36,38.0141312460782,40,38,0.030644818013020984,0.2429130039660337,0.4363007617648719,0.24612118198125998,0.31757805625386815,W45_pattern_candidate
C0_full_stage,Jw,S_pattern,GW003,42,46.159658659216255,50,45,0.030644818013020984,0.3903434096151704,0.4363007617648719,0.24612118198125998,0.31757805625386815,W45_pattern_candidate
C1_buffered_stage,H,R_diff,GW001,34,38.54356476153837,43,38,0.0006121368793208501,0.009501751867716733,0.564842937638448,0.3699319911387931,0.06522507122275903,W45_pattern_candidate
C1_buffered_stage,H,R_diff,GW002,63,66.4763829226069,70,65,0.0006121368793208501,0.007411214500223933,0.564842937638448,0.3699319911387931,0.06522507122275903,late_pattern_candidate
C1_buffered_stage,H,S_pattern,GW001,34,38.54356476153838,43,38,0.03588089358987627,0.5569527979774774,0.5648429376384482,0.36993199113879266,0.06522507122275925,W45_pattern_candidate
C1_buffered_stage,H,S_pattern,GW002,63,66.47638292260689,70,65,0.03588089358987627,0.4344142753648651,0.5648429376384482,0.36993199113879266,0.06522507122275925,late_pattern_candidate
C1_buffered_stage,Jw,R_diff,GW001,31,32.541663528424365,34,33,0.06993061574827342,0.38062519577178244,0.4463010035971449,0.23996463076410876,0.3137343656387464,early_pattern_candidate
C1_buffered_stage,Jw,R_diff,GW002,36,38.00514925796966,40,38,0.06993061574827342,0.5663768647392888,0.4463010035971449,0.23996463076410876,0.3137343656387464,W45_pattern_candidate
C1_buffered_stage,Jw,R_diff,GW003,43,46.8875308013036,51,45,0.06993061574827342,0.8897544888655627,0.4463010035971449,0.23996463076410876,0.3137343656387464,W45_pattern_candidate
C1_buffered_stage,Jw,S_pattern,GW001,31,32.54166352842438,34,33,0.028546526787448477,0.155375828323738,0.446301003597145,0.2399646307641087,0.31373436563874635,early_pattern_candidate
C1_buffered_stage,Jw,S_pattern,GW002,36,38.005149257969656,40,38,0.028546526787448477,0.23120191590005268,0.446301003597145,0.2399646307641087,0.31373436563874635,W45_pattern_candidate
C1_buffered_stage,Jw,S_pattern,GW003,43,46.887530801303605,51,45,0.028546526787448477,0.36320859009854256,0.446301003597145,0.2399646307641087,0.31373436563874635,W45_pattern_candidate
C2_immediate_pre,H,R_diff,GW001,34,38.91050089116753,44,38,0.00046801276305279995,0.008637146410416534,0.49454523976754344,0.35692412330105655,0.14853063693140006,W45_pattern_candidate
C2_immediate_pre,H,R_diff,GW002,63,65.03798723014775,67,65,0.00046801276305279995,0.0033176196533416663,0.49454523976754344,0.35692412330105655,0.14853063693140006,late_pattern_candidate
C2_immediate_pre,H,R_diff,GW003,69,69.53959888692769,70,70,0.00046801276305279995,0.0013097261049933831,0.49454523976754344,0.35692412330105655,0.14853063693140006,late_pattern_candidate
C2_immediate_pre,H,S_pattern,GW001,34,38.910500891167615,44,38,0.031730734049775146,0.5855887217908594,0.49454523976753656,0.3569241233010685,0.148530636931395,W45_pattern_candidate
C2_immediate_pre,H,S_pattern,GW002,63,65.03798723014773,67,65,0.031730734049775146,0.2249308463551742,0.49454523976753656,0.3569241233010685,0.148530636931395,late_pattern_candidate
C2_immediate_pre,H,S_pattern,GW003,69,69.53959888692768,70,70,0.031730734049775146,0.08879794312554481,0.49454523976753656,0.3569241233010685,0.148530636931395,late_pattern_candidate
C2_immediate_pre,Jw,R_diff,GW001,32,32.9322867818675,34,33,0.06500429315543355,0.2541104503579812,0.4211681022140597,0.26462380591578705,0.31420809187015325,early_pattern_candidate
C2_immediate_pre,Jw,R_diff,GW002,36,42.915989951639226,50,38,0.06500429315543355,1.4277141703507172,0.4211681022140597,0.26462380591578705,0.31420809187015325,W45_pattern_candidate
C2_immediate_pre,Jw,S_pattern,GW001,32,32.9322867818675,34,33,0.03204397264349122,0.125264162171968,0.4211681022140597,0.2646238059157872,0.3142080918701532,early_pattern_candidate
C2_immediate_pre,Jw,S_pattern,GW002,36,42.91598995163922,50,38,0.03204397264349122,0.7037940356962258,0.4211681022140597,0.2646238059157872,0.3142080918701532,W45_pattern_candidate
