baseline_config,field,signal,peak_day,peak_score,peak_prominence,peak_rank,candidate_band_start,candidate_band_end,support_floor,left_stop_reason,right_stop_reason,overlap_with_W45_days,overlap_with_H_object_window_day32_37,overlap_with_Jw_object_window_day37_49,classification
C0_full_stage,H,R_diff,38,0.00034872481426102234,0.0003329808608172776,1,34,42,0.00017436240713051117,below_floor,below_floor,3,4,6,W45_pattern_candidate
C0_full_stage,H,R_diff,61,0.0002828587670903959,0.00021106159824052625,2,58,67,0.00014142938354519795,below_floor,below_floor,0,0,0,late_pattern_candidate
C0_full_stage,H,R_diff,14,2.2529693287415162e-05,1.6213705885213097e-05,3,10,16,1.6588766030913243e-05,below_floor,below_floor,0,0,0,early_pattern_candidate
C0_full_stage,H,S_pattern,38,1.0927476407195356,1.0434131303041903,1,34,42,0.5463738203597678,below_floor,below_floor,3,4,6,W45_pattern_candidate
C0_full_stage,H,S_pattern,61,0.8863528999215502,0.6613726757947095,2,58,67,0.4431764499607751,below_floor,below_floor,0,0,0,late_pattern_candidate
C0_full_stage,H,S_pattern,14,0.07059798494158559,0.05080650452400779,3,10,16,0.05198177531800133,below_floor,below_floor,0,0,0,early_pattern_candidate
C0_full_stage,Jw,R_diff,39,4.677126895529752,1.6882723919516165,1,33,49,2.338563447764876,below_floor,max_half_width,9,5,13,W45_pattern_candidate
C0_full_stage,Jw,R_diff,44,4.655116463360688,1.6357809314130556,2,34,50,2.327558231680344,max_half_width,below_floor,9,4,13,W45_pattern_candidate
C0_full_stage,Jw,R_diff,20,0.25171060098386,0.02486755990019629,3,19,21,0.22877697484274703,below_floor,below_floor,0,0,0,early_pattern_candidate
C0_full_stage,Jw,S_pattern,39,0.896383508315557,0.32356178557744286,1,33,49,0.4481917541577785,below_floor,max_half_width,9,5,13,W45_pattern_candidate
C0_full_stage,Jw,S_pattern,44,0.8921651518655525,0.31350166093144816,2,34,50,0.4460825759327762,max_half_width,below_floor,9,4,13,W45_pattern_candidate
C0_full_stage,Jw,S_pattern,20,0.048240989955987544,0.004765932394926155,3,19,21,0.04384570098522719,below_floor,below_floor,0,0,0,early_pattern_candidate
C1_buffered_stage,H,R_diff,38,0.0003213768869779289,0.0002970894986453221,1,34,43,0.00016068844348896444,below_floor,below_floor,4,4,7,W45_pattern_candidate
C1_buffered_stage,H,R_diff,61,0.0002046555375915454,0.0001595497365769766,2,57,66,0.0001023277687957727,below_floor,below_floor,0,0,0,late_pattern_candidate
C1_buffered_stage,H,R_diff,14,1.9284872663486663e-05,1.3576967053441303e-05,3,13,15,1.8981281681928034e-05,below_floor,below_floor,0,0,0,early_pattern_candidate
C1_buffered_stage,H,S_pattern,38,1.1041906109200519,1.0207437071529017,1,34,43,0.5520953054600259,below_floor,below_floor,4,4,7,W45_pattern_candidate
C1_buffered_stage,H,S_pattern,61,0.7031579812922086,0.5481829224239155,2,57,66,0.3515789906461043,below_floor,below_floor,0,0,0,late_pattern_candidate
C1_buffered_stage,H,S_pattern,14,0.06625919968312041,0.04664790827415606,3,13,15,0.06521611810202264,below_floor,below_floor,0,0,0,early_pattern_candidate
C1_buffered_stage,Jw,R_diff,39,4.826679685659808,1.8310625700262237,1,33,49,2.413339842829904,below_floor,max_half_width,9,5,13,W45_pattern_candidate
C1_buffered_stage,Jw,R_diff,43,4.664579249892019,1.80782806134565,2,33,50,2.3322896249460094,max_half_width,below_floor,9,5,13,W45_pattern_candidate
C1_buffered_stage,Jw,R_diff,20,0.29136307691243185,0.03517543756659991,3,18,22,0.25633010624389313,below_floor,below_floor,0,0,0,early_pattern_candidate
C1_buffered_stage,Jw,S_pattern,39,0.8043041799056758,0.30512306070702166,1,33,49,0.4021520899528379,below_floor,max_half_width,9,5,13,W45_pattern_candidate
C1_buffered_stage,Jw,S_pattern,43,0.7772922241631135,0.30125132823938616,2,33,50,0.38864611208155675,max_half_width,below_floor,9,5,13,W45_pattern_candidate
C1_buffered_stage,Jw,S_pattern,20,0.048551914751478326,0.005861534907502242,3,18,22,0.04271412012281606,below_floor,below_floor,0,0,0,early_pattern_candidate
C2_immediate_pre,H,R_diff,39,0.0002468684078349676,0.00020133746229437417,1,35,44,0.0001234342039174838,below_floor,below_floor,5,3,8,W45_pattern_candidate
C2_immediate_pre,H,R_diff,61,0.00012105455997116523,7.612816954455941e-05,2,55,66,6.0527279985582616e-05,below_floor,below_floor,0,0,0,late_pattern_candidate
C2_immediate_pre,H,R_diff,12,1.3701018666041668e-05,9.738306054547752e-06,3,11,13,1.3569924397692724e-05,below_floor,below_floor,0,0,0,early_pattern_candidate
C2_immediate_pre,H,S_pattern,39,1.1347765711722522,0.9254851080972201,1,35,44,0.5673882855861261,below_floor,below_floor,5,3,8,W45_pattern_candidate
C2_immediate_pre,H,S_pattern,61,0.556449809408884,0.349937296404266,2,55,66,0.278224904704442,below_floor,below_floor,0,0,0,late_pattern_candidate
