baseline_config,field,signal,day,score
C0_full_stage,H,R_diff,4,
C0_full_stage,H,R_diff,5,
C0_full_stage,H,R_diff,6,6.315987402202063e-06
C0_full_stage,H,R_diff,7,1.0230921758495083e-05
C0_full_stage,H,R_diff,8,1.3440416393198811e-05
C0_full_stage,H,R_diff,9,1.5983106375348897e-05
C0_full_stage,H,R_diff,10,1.78351667856033e-05
C0_full_stage,H,R_diff,11,1.9367802513995933e-05
C0_full_stage,H,R_diff,12,2.0300623448525622e-05
C0_full_stage,H,R_diff,13,2.1378471819817985e-05
C0_full_stage,H,R_diff,14,2.2529693287415162e-05
C0_full_stage,H,R_diff,15,1.9591831337183768e-05
C0_full_stage,H,R_diff,16,1.6892234604058382e-05
C0_full_stage,H,R_diff,17,1.4453298945909211e-05
C0_full_stage,H,R_diff,18,1.1979126371490234e-05
C0_full_stage,H,R_diff,19,9.752868069461627e-06
C0_full_stage,H,R_diff,20,8.232300365375511e-06
C0_full_stage,H,R_diff,21,7.20682855877381e-06
C0_full_stage,H,R_diff,22,6.415003741885948e-06
C0_full_stage,H,R_diff,23,5.64825306611552e-06
C0_full_stage,H,R_diff,24,5.221438292891239e-06
C0_full_stage,H,R_diff,25,5.4112091179375265e-06
C0_full_stage,H,R_diff,26,6.5234041827748295e-06
C0_full_stage,H,R_diff,27,9.385304785645463e-06
C0_full_stage,H,R_diff,28,1.5743953443744717e-05
C0_full_stage,H,R_diff,29,2.6800111762574616e-05
C0_full_stage,H,R_diff,30,4.3681537795343303e-05
C0_full_stage,H,R_diff,31,6.80649903575634e-05
C0_full_stage,H,R_diff,32,0.00010292454409529564
C0_full_stage,H,R_diff,33,0.00014863404785892987
C0_full_stage,H,R_diff,34,0.0002019285773492794
C0_full_stage,H,R_diff,35,0.0002563733216188961
C0_full_stage,H,R_diff,36,0.00030554969331112987
C0_full_stage,H,R_diff,37,0.00033945124469384825
C0_full_stage,H,R_diff,38,0.00034872481426102234
C0_full_stage,H,R_diff,39,0.0003362334909338037
C0_full_stage,H,R_diff,40,0.0003071012414569067
C0_full_stage,H,R_diff,41,0.00026399922962396736
C0_full_stage,H,R_diff,42,0.00020961996984565463
C0_full_stage,H,R_diff,43,0.00015280464852596186
C0_full_stage,H,R_diff,44,0.000101235544114351
C0_full_stage,H,R_diff,45,6.0105610125700336e-05
C0_full_stage,H,R_diff,46,3.17830971456764e-05
C0_full_stage,H,R_diff,47,1.584230309649279e-05
C0_full_stage,H,R_diff,48,8.740399671354918e-06
C0_full_stage,H,R_diff,49,6.050813978069379e-06
C0_full_stage,H,R_diff,50,5.5623006393767784e-06
C0_full_stage,H,R_diff,51,6.959876227102236e-06
C0_full_stage,H,R_diff,52,1.0288560755004843e-05
C0_full_stage,H,R_diff,53,1.6572794000747712e-05
C0_full_stage,H,R_diff,54,2.8592264154541936e-05
C0_full_stage,H,R_diff,55,4.9014968570882246e-05
C0_full_stage,H,R_diff,56,7.837696401641235e-05
C0_full_stage,H,R_diff,57,0.00011432408754961351
C0_full_stage,H,R_diff,58,0.00015227690288065426
C0_full_stage,H,R_diff,59,0.00019124084361008472
C0_full_stage,H,R_diff,60,0.0002334384644428412
C0_full_stage,H,R_diff,61,0.0002828587670903959
C0_full_stage,H,R_diff,62,0.000279458907773994
C0_full_stage,H,R_diff,63,0.00027361049133575846
C0_full_stage,H,R_diff,64,0.0002579060183951796
C0_full_stage,H,R_diff,65,0.00023049505241116083
C0_full_stage,H,R_diff,66,0.00019160531273747773
C0_full_stage,H,R_diff,67,0.00014825503011178082
C0_full_stage,H,R_diff,68,0.00010835897805872649
C0_full_stage,H,R_diff,69,7.179716884986966e-05
C0_full_stage,H,R_diff,70,
C0_full_stage,H,S_pattern,4,
C0_full_stage,H,S_pattern,5,
C0_full_stage,H,S_pattern,6,0.0197914804175778
C0_full_stage,H,S_pattern,7,0.03205913418485123
C0_full_stage,H,S_pattern,8,0.04211625529166495
C0_full_stage,H,S_pattern,9,0.05008390876927424
C0_full_stage,H,S_pattern,10,0.05588743797342361
C0_full_stage,H,S_pattern,11,0.0606900330506695
C0_full_stage,H,S_pattern,12,0.06361307676231705
C0_full_stage,H,S_pattern,13,0.06699057161389267
C0_full_stage,H,S_pattern,14,0.07059798494158559
C0_full_stage,H,S_pattern,15,0.06139203921134606
C0_full_stage,H,S_pattern,16,0.052932710134726176
C0_full_stage,H,S_pattern,17,0.04529017631631479
C0_full_stage,H,S_pattern,18,0.03753722575798345
C0_full_stage,H,S_pattern,19,0.030561127678100614
C0_full_stage,H,S_pattern,20,0.02579634839299162
C0_full_stage,H,S_pattern,21,0.022582978275746162
C0_full_stage,H,S_pattern,22,0.02010175335244691
C0_full_stage,H,S_pattern,23,0.017699099575875846
C0_full_stage,H,S_pattern,24,0.01636165292054284
C0_full_stage,H,S_pattern,25,0.016956309833002833
C0_full_stage,H,S_pattern,26,0.020441431864528826
C0_full_stage,H,S_pattern,27,0.02940934869713979
C0_full_stage,H,S_pattern,28,0.04933451041534532
C0_full_stage,H,S_pattern,29,0.08397956698788818
C0_full_stage,H,S_pattern,30,0.13687840789308683
C0_full_stage,H,S_pattern,31,0.21328524552070158
C0_full_stage,H,S_pattern,32,0.32251949999772794
C0_full_stage,H,S_pattern,33,0.46575264646026965
C0_full_stage,H,S_pattern,34,0.6327538720175812
C0_full_stage,H,S_pattern,35,0.8033593563914887
C0_full_stage,H,S_pattern,36,0.957456116783232
C0_full_stage,H,S_pattern,37,1.0636884202363206
C0_full_stage,H,S_pattern,38,1.0927476407195356
C0_full_stage,H,S_pattern,39,1.0536054187236386
C0_full_stage,H,S_pattern,40,0.9623179749201629
C0_full_stage,H,S_pattern,41,0.8272555422667327
C0_full_stage,H,S_pattern,42,0.6568552570081463
C0_full_stage,H,S_pattern,43,0.47882144412798067
C0_full_stage,H,S_pattern,44,0.3172269292689731
C0_full_stage,H,S_pattern,45,0.18834410679392172
C0_full_stage,H,S_pattern,46,0.09959401510986898
C0_full_stage,H,S_pattern,47,0.04964269425145849
C0_full_stage,H,S_pattern,48,0.027388504428795597
C0_full_stage,H,S_pattern,49,0.018960545474745235
C0_full_stage,H,S_pattern,50,0.01742976310284041
C0_full_stage,H,S_pattern,51,0.021809140089391645
C0_full_stage,H,S_pattern,52,0.03223974902748197
C0_full_stage,H,S_pattern,53,0.051931726117121074
C0_full_stage,H,S_pattern,54,0.08959537124971544
C0_full_stage,H,S_pattern,55,0.15359099517845307
C0_full_stage,H,S_pattern,56,0.24559836012009484
C0_full_stage,H,S_pattern,57,0.35824057204527426
C0_full_stage,H,S_pattern,58,0.47716772524927853
C0_full_stage,H,S_pattern,59,0.5992632933419765
C0_full_stage,H,S_pattern,60,0.7314917689859778
C0_full_stage,H,S_pattern,61,0.8863528999215502
C0_full_stage,H,S_pattern,62,0.8756992610210644
C0_full_stage,H,S_pattern,63,0.8573729389370726
C0_full_stage,H,S_pattern,64,0.8081621427655241
C0_full_stage,H,S_pattern,65,0.7222684317821165
C0_full_stage,H,S_pattern,66,0.6004053766202176
C0_full_stage,H,S_pattern,67,0.4645649743129198
C0_full_stage,H,S_pattern,68,0.3395485861118585
C0_full_stage,H,S_pattern,69,0.22498022412684074
C0_full_stage,H,S_pattern,70,
C0_full_stage,Jw,R_diff,4,
C0_full_stage,Jw,R_diff,5,
C0_full_stage,Jw,R_diff,6,0.0005807921447766993
C0_full_stage,Jw,R_diff,7,0.0012647799671779364
C0_full_stage,Jw,R_diff,8,0.0020548044674502256
C0_full_stage,Jw,R_diff,9,0.0033645541053119827
C0_full_stage,Jw,R_diff,10,0.006663681346363219
C0_full_stage,Jw,R_diff,11,0.014189505108298328
C0_full_stage,Jw,R_diff,12,0.028443626619242948
C0_full_stage,Jw,R_diff,13,0.051494563458124046
C0_full_stage,Jw,R_diff,14,0.08344771436529964
C0_full_stage,Jw,R_diff,15,0.1164789965655943
C0_full_stage,Jw,R_diff,16,0.14911742146864632
C0_full_stage,Jw,R_diff,17,0.18406706722521118
C0_full_stage,Jw,R_diff,18,0.2197327876492218
C0_full_stage,Jw,R_diff,19,0.24492149405864494
C0_full_stage,Jw,R_diff,20,0.25171060098386
C0_full_stage,Jw,R_diff,21,0.24217417132303518
C0_full_stage,Jw,R_diff,22,0.22807185923852138
C0_full_stage,Jw,R_diff,23,0.2268430410836637
C0_full_stage,Jw,R_diff,24,0.25072517732545063
C0_full_stage,Jw,R_diff,25,0.3003524397995939
C0_full_stage,Jw,R_diff,26,0.37082758961955237
C0_full_stage,Jw,R_diff,27,0.4601157293491304
C0_full_stage,Jw,R_diff,28,0.6042341364486031
