baseline_config,segment,start_day,end_day,best_lag,best_corr,corr_lag0,n_overlap_best,lag_interpretation
C0_full_stage,pre_early_25_29,25,29,-5,0.984411439578115,-0.6529209749719096,5,H_pattern_trajectory_earlier_than_Jw_in_segment
C0_full_stage,early_30_39,30,39,3,0.987707245201487,0.9781411327822713,10,Jw_pattern_trajectory_earlier_than_H_in_segment
C0_full_stage,core_40_45,40,45,-8,0.9996334461509807,0.9163497341211745,6,H_pattern_trajectory_earlier_than_Jw_in_segment
C0_full_stage,late_46_53,46,53,-8,0.9990765056914201,-0.5939673429417981,8,H_pattern_trajectory_earlier_than_Jw_in_segment
C0_full_stage,search_35_53,35,53,-6,0.9781296264236873,0.8245466144595317,19,H_pattern_trajectory_earlier_than_Jw_in_segment
C0_full_stage,broad_30_53,30,53,-4,0.9627609821827249,0.9119040098618004,24,H_pattern_trajectory_earlier_than_Jw_in_segment
C1_buffered_stage,pre_early_25_29,25,29,-5,0.9859722474242304,-0.9463507132544162,5,H_pattern_trajectory_earlier_than_Jw_in_segment
C1_buffered_stage,early_30_39,30,39,3,0.9867223191984136,0.9754720339976113,10,Jw_pattern_trajectory_earlier_than_H_in_segment
C1_buffered_stage,core_40_45,40,45,-8,0.9995063351982437,0.9295478805540094,6,H_pattern_trajectory_earlier_than_Jw_in_segment
C1_buffered_stage,late_46_53,46,53,-8,0.9993227336346062,0.5121521335813249,8,H_pattern_trajectory_earlier_than_Jw_in_segment
C1_buffered_stage,search_35_53,35,53,-6,0.9771803099002667,0.8836847064588013,19,H_pattern_trajectory_earlier_than_Jw_in_segment
C1_buffered_stage,broad_30_53,30,53,-4,0.9614421850122268,0.9396443780171996,24,H_pattern_trajectory_earlier_than_Jw_in_segment
C2_immediate_pre,pre_early_25_29,25,29,8,0.9457394709640135,-0.9800451395864004,5,Jw_pattern_trajectory_earlier_than_H_in_segment
C2_immediate_pre,early_30_39,30,39,1,0.9858250783963213,0.9770609174578203,10,near_zero_lag
C2_immediate_pre,core_40_45,40,45,-8,0.9996190598290113,0.956692714657219,6,H_pattern_trajectory_earlier_than_Jw_in_segment
C2_immediate_pre,late_46_53,46,53,-8,0.998843502524083,0.8777433053856093,8,H_pattern_trajectory_earlier_than_Jw_in_segment
C2_immediate_pre,search_35_53,35,53,-5,0.9829760085382682,0.9462672204661772,19,H_pattern_trajectory_earlier_than_Jw_in_segment
C2_immediate_pre,broad_30_53,30,53,-2,0.9738853576533971,0.9681840857784207,24,H_pattern_trajectory_earlier_than_Jw_in_segment
